Team,G,Sack,FR,INT,DefTD,PA,PaYd/G,RuYd/G,Safety,KickTD,Home or Away,Opponent,Week
Carolina Panthers,1,6,1,2,2,3,225.0,63.0,0,0,Home,Atlanta Falcons,17
Jacksonville Jaguars,1,3,1,1,1,23,235.0,123.0,1,0,Home,Houston Texans,17
Seattle Seahawks,1,4,1,2,1,6,203.0,42.0,0,0,Away,St. Louis Rams,17
Dallas Cowboys,1,3,2,2,1,17,309.0,104.0,0,0,Home,Washington Redskins,17
Pittsburgh Steelers,1,3,1,2,0,17,221.0,116.0,0,1,Away,Cincinnati Bengals,17
Denver Broncos,1,3,1,1,1,14,132.0,67.0,0,0,Away,Oakland Raiders,17
Kansas City Chiefs,1,7,1,2,0,7,249.0,112.0,0,0,Away,San Diego Chargers,17
Green Bay Packers,1,2,1,0,0,20,202.0,111.0,0,1,Away,Detroit Lions,17
New York Jets,1,7,1,0,0,24,208.0,179.0,0,0,Home,Miami Dolphins,17
Oakland Raiders,1,1,1,0,1,47,309.0,142.0,0,0,Home,Denver Broncos,17
Tampa Bay Buccaneers,1,2,0,3,0,23,268.0,70.0,1,0,Away,New Orleans Saints,17
Baltimore Ravens,1,4,1,1,0,10,150.0,109.0,0,0,Away,Cleveland Browns,17
Houston Texans,1,5,0,0,0,17,112.0,121.0,0,0,Away,Jacksonville Jaguars,17
Indianapolis Colts,1,4,1,0,0,10,50.0,142.0,0,0,Home,Tennessee Titans,17
San Francisco 49ers,1,2,0,3,0,17,299.0,98.0,0,0,Away,Arizona Cardinals,17
St. Louis Rams,1,3,1,1,0,20,222.0,132.0,0,0,Home,Seattle Seahawks,17
New York Giants,1,4,0,1,0,34,262.0,164.0,0,0,Away,Philadelphia Eagles,17
Detroit Lions,1,1,2,0,0,30,225.0,152.0,1,0,Home,Green Bay Packers,17
Buffalo Bills,1,4,0,0,0,9,144.0,116.0,0,0,Home,New England Patriots,17
San Diego Chargers,1,4,0,0,0,19,140.0,111.0,0,0,Home,Kansas City Chiefs,17
Chicago Bears,1,3,0,1,0,13,190.0,121.0,0,0,Home,Minnesota Vikings,17
New Orleans Saints,1,3,0,1,0,20,97.0,183.0,0,0,Home,Tampa Bay Buccaneers,17
Cincinnati Bengals,1,0,1,2,0,27,317.0,29.0,0,0,Home,Pittsburgh Steelers,17
New England Patriots,1,2,1,0,0,17,164.0,104.0,0,0,Away,Buffalo Bills,17
Miami Dolphins,1,1,1,0,0,37,390.0,104.0,0,0,Away,New York Jets,17
Minnesota Vikings,1,2,0,0,0,9,165.0,99.0,0,0,Away,Chicago Bears,17
Washington Redskins,1,1,0,1,0,44,283.0,174.0,0,0,Away,Dallas Cowboys,17
Arizona Cardinals,1,1,0,0,0,20,189.0,206.0,0,0,Home,San Francisco 49ers,17
Atlanta Falcons,1,1,0,0,0,34,112.0,194.0,0,0,Away,Carolina Panthers,17
Philadelphia Eagles,1,0,0,1,0,26,429.0,76.0,0,0,Home,New York Giants,17
Cleveland Browns,1,1,0,0,0,20,290.0,129.0,0,0,Home,Baltimore Ravens,17
Tennessee Titans,1,1,0,0,0,27,314.0,64.0,0,0,Away,Indianapolis Colts,17
