Team,G,Sack,FR,INT,DefTD,PA,PaYd/G,RuYd/G,Safety,KickTD,Home or Away,Opponent,Week
Atlanta Falcons,1,5,2,2,1,14,271.0,57.0,0,0,Home,New Orleans Saints,16
Cincinnati Bengals,1,2,0,4,1,28,300.0,85.0,0,0,Away,Denver Broncos,16
San Diego Chargers,1,2,3,0,1,35,92.0,355.0,0,0,Home,San Francisco 49ers,16
San Francisco 49ers,1,2,0,3,1,38,348.0,98.0,0,0,Away,San Diego Chargers,16
Green Bay Packers,1,7,0,1,0,3,93.0,16.0,0,0,Home,Tampa Bay Buccaneers,16
Denver Broncos,1,0,1,1,1,37,146.0,207.0,0,0,Home,Cincinnati Bengals,16
Pittsburgh Steelers,1,6,1,0,0,12,288.0,39.0,0,0,Away,Kansas City Chiefs,16
Chicago Bears,1,4,1,2,0,20,229.0,138.0,0,0,Away,Detroit Lions,16
Minnesota Vikings,1,2,1,1,0,37,377.0,116.0,1,0,Home,Miami Dolphins,16
New York Jets,1,4,0,1,0,17,146.0,85.0,0,0,Away,New England Patriots,16
Houston Texans,1,2,0,3,0,13,178.0,33.0,0,0,Away,Baltimore Ravens,16
Seattle Seahawks,1,4,0,1,0,6,187.0,29.0,0,0,Home,Arizona Cardinals,16
Miami Dolphins,1,4,0,1,0,35,238.0,119.0,0,0,Away,Minnesota Vikings,16
Dallas Cowboys,1,2,1,2,0,7,228.0,1.0,0,0,Away,Indianapolis Colts,16
New York Giants,1,2,2,1,0,27,281.0,106.0,0,0,Home,St. Louis Rams,16
Washington Redskins,1,3,1,1,0,24,361.0,134.0,0,0,Away,Philadelphia Eagles,16
Oakland Raiders,1,2,0,2,0,24,308.0,13.0,0,0,Away,Buffalo Bills,16
Philadelphia Eagles,1,2,1,1,0,27,205.0,100.0,0,0,Home,Washington Redskins,16
Jacksonville Jaguars,1,4,0,0,0,13,262.0,95.0,0,0,Away,Tennessee Titans,16
Carolina Panthers,1,3,0,1,0,13,144.0,84.0,0,0,Away,Cleveland Browns,16
Tennessee Titans,1,4,0,0,0,21,111.0,177.0,0,0,Home,Jacksonville Jaguars,16
Cleveland Browns,1,1,1,1,0,17,195.0,209.0,0,0,Home,Carolina Panthers,16
New England Patriots,1,2,0,1,0,16,191.0,116.0,0,0,Home,New York Jets,16
Detroit Lions,1,2,0,1,0,14,170.0,64.0,0,0,Home,Chicago Bears,16
Indianapolis Colts,1,1,1,0,0,42,250.0,127.0,0,0,Home,Dallas Cowboys,16
Tampa Bay Buccaneers,1,1,1,0,0,20,310.0,121.0,0,0,Away,Green Bay Packers,16
Arizona Cardinals,1,1,0,0,0,35,329.0,267.0,0,0,Away,Seattle Seahawks,16
Baltimore Ravens,1,0,0,1,0,25,190.0,123.0,0,0,Home,Houston Texans,16
Buffalo Bills,1,1,0,0,0,26,207.0,140.0,0,0,Home,Oakland Raiders,16
Kansas City Chiefs,1,1,0,0,0,20,214.0,68.0,0,0,Home,Pittsburgh Steelers,16
St. Louis Rams,1,1,0,0,0,37,386.0,128.0,0,0,Away,New York Giants,16
New Orleans Saints,1,0,0,0,0,30,322.0,81.0,0,0,Away,Atlanta Falcons,16
