Team,G,Sack,FR,INT,DefTD,PA,PaYd/G,RuYd/G,Safety,KickTD,Home or Away,Opponent,Week
Cleveland Browns,1,3,2,2,2,25,269.0,93.0,0,0,Away,Indianapolis Colts,14
New York Giants,1,8,1,2,1,7,146.0,61.0,0,0,Home,Tennessee Titans,14
St. Louis Rams,1,7,0,2,0,0,179.0,27.0,0,1,Home,Washington Redskins,14
Minnesota Vikings,1,3,1,1,1,24,242.0,168.0,1,0,Away,New York Jets,14
San Diego Chargers,1,1,1,1,1,23,310.0,87.0,0,0,Away,New England Patriots,14
Detroit Lions,1,6,1,2,0,17,207.0,26.0,0,0,Away,Tampa Bay Buccaneers,14
Arizona Cardinals,1,5,1,1,0,14,264.0,126.0,0,0,Away,Kansas City Chiefs,14
Oakland Raiders,1,5,0,2,0,13,151.0,97.0,0,0,Away,San Francisco 49ers,14
Tennessee Titans,1,0,0,1,1,36,260.0,142.0,0,0,Away,New York Giants,14
Denver Broncos,1,4,1,2,0,17,341.0,74.0,0,0,Away,Buffalo Bills,14
Baltimore Ravens,1,6,0,0,0,13,186.0,63.0,0,0,Home,Miami Dolphins,14
New York Jets,1,3,1,1,0,30,297.0,114.0,0,0,Home,Minnesota Vikings,14
Houston Texans,1,4,0,1,0,13,188.0,74.0,0,0,Home,Jacksonville Jaguars,14
Pittsburgh Steelers,1,3,2,0,0,21,322.0,86.0,0,0,Home,Cincinnati Bengals,14
Seattle Seahawks,1,3,1,1,0,14,82.0,57.0,0,0,Home,Philadelphia Eagles,14
New England Patriots,1,4,0,1,0,14,163.0,53.0,0,0,Home,San Diego Chargers,14
Tampa Bay Buccaneers,1,4,1,0,0,34,294.0,113.0,0,0,Home,Detroit Lions,14
Philadelphia Eagles,1,2,2,0,0,24,252.0,188.0,0,0,Away,Seattle Seahawks,14
Carolina Panthers,1,2,1,1,0,10,218.0,92.0,0,0,Home,New Orleans Saints,14
Washington Redskins,1,4,0,0,0,24,198.0,131.0,0,0,Away,St. Louis Rams,14
Indianapolis Colts,1,1,0,2,0,24,137.0,111.0,0,0,Home,Cleveland Browns,14
Buffalo Bills,1,0,1,2,0,24,173.0,133.0,0,0,Home,Denver Broncos,14
Green Bay Packers,1,1,0,1,0,37,374.0,91.0,0,0,Away,Atlanta Falcons,14
Jacksonville Jaguars,1,2,0,0,0,27,131.0,173.0,0,0,Away,Houston Texans,14
Kansas City Chiefs,1,2,0,0,0,17,225.0,141.0,0,0,Home,Arizona Cardinals,14
Miami Dolphins,1,1,0,1,0,28,264.0,183.0,0,0,Away,Baltimore Ravens,14
Dallas Cowboys,1,0,1,1,0,28,341.0,35.0,0,0,Home,Chicago Bears,14
Atlanta Falcons,1,1,0,0,0,43,323.0,179.0,0,0,Home,Green Bay Packers,14
Chicago Bears,1,1,0,0,0,41,203.0,194.0,0,0,Away,Dallas Cowboys,14
San Francisco 49ers,1,1,0,0,0,24,245.0,85.0,0,0,Home,Oakland Raiders,14
Cincinnati Bengals,1,0,0,0,0,42,350.0,193.0,0,0,Away,Pittsburgh Steelers,14
New Orleans Saints,1,0,0,0,0,41,226.0,271.0,0,0,Away,Carolina Panthers,14
