Team,G,Sack,FR,INT,DefTD,PA,PaYd/G,RuYd/G,Safety,KickTD,Home or Away,Opponent,Week
Green Bay Packers,1,6,1,2,1,10,188.0,111.0,0,0,Away,Minnesota Vikings,5
Carolina Panthers,1,4,2,2,0,24,262.0,85.0,0,1,Away,Chicago Bears,5
Philadelphia Eagles,1,4,3,0,1,28,341.0,125.0,0,0,Away,St. Louis Rams,5
New England Patriots,1,1,3,0,1,17,241.0,79.0,0,0,Away,Cincinnati Bengals,5
Pittsburgh Steelers,1,1,0,2,1,9,187.0,56.0,0,0,Home,Jacksonville Jaguars,5
Tampa Bay Buccaneers,1,0,0,3,1,37,371.0,140.0,0,0,Home,New Orleans Saints,5
Detroit Lions,1,2,0,1,1,17,294.0,49.0,0,0,Away,Buffalo Bills,5
Buffalo Bills,1,6,1,1,0,14,194.0,69.0,0,0,Home,Detroit Lions,5
Indianapolis Colts,1,4,2,1,0,13,197.0,90.0,0,0,Away,Baltimore Ravens,5
Baltimore Ravens,1,1,2,2,0,20,305.0,117.0,0,0,Home,Indianapolis Colts,5
Jacksonville Jaguars,1,4,1,0,0,17,261.0,111.0,0,0,Away,Pittsburgh Steelers,5
Chicago Bears,1,2,2,1,0,31,231.0,90.0,0,0,Home,Carolina Panthers,5
Houston Texans,1,1,2,1,0,20,316.0,140.0,0,0,Home,Dallas Cowboys,5
San Diego Chargers,1,2,1,1,0,0,60.0,91.0,0,0,Away,New York Jets,5
Tennessee Titans,1,1,0,1,0,29,285.0,175.0,1,0,Away,Cleveland Browns,5
New York Jets,1,3,0,1,0,31,277.0,162.0,0,0,Home,San Diego Chargers,5
Arizona Cardinals,1,1,0,2,0,41,476.0,92.0,0,0,Home,Denver Broncos,5
Atlanta Falcons,1,1,2,0,0,30,193.0,124.0,0,0,Home,New York Giants,5
Kansas City Chiefs,1,3,0,0,0,22,186.0,171.0,0,0,Home,San Francisco 49ers,5
St. Louis Rams,1,0,2,1,0,34,207.0,145.0,0,0,Home,Philadelphia Eagles,5
Minnesota Vikings,1,2,0,1,0,42,164.0,156.0,0,0,Home,Green Bay Packers,5
Cleveland Browns,1,3,0,0,0,28,261.0,149.0,0,0,Home,Tennessee Titans,5
Washington Redskins,1,3,0,0,0,27,178.0,225.0,0,0,Away,Seattle Seahawks,5
Denver Broncos,1,3,0,0,0,20,178.0,37.0,0,0,Away,Arizona Cardinals,5
New Orleans Saints,1,1,0,1,0,31,248.0,66.0,0,0,Away,Tampa Bay Buccaneers,5
New York Giants,1,1,0,1,0,20,307.0,90.0,0,0,Away,Atlanta Falcons,5
Seattle Seahawks,1,1,0,0,0,17,275.0,32.0,0,0,Home,Washington Redskins,5
San Francisco 49ers,1,0,0,1,0,17,158.0,107.0,0,0,Away,Kansas City Chiefs,5
Cincinnati Bengals,1,1,0,0,0,43,285.0,220.0,0,0,Home,New England Patriots,5
Dallas Cowboys,1,0,0,1,0,17,154.0,176.0,0,0,Away,Houston Texans,5
