Team,G,Sack,FR,INT,DefTD,PA,PaYd/G,RuYd/G,Safety,KickTD,Home or Away,Opponent,Week
Jacksonville Jaguars,1,4,3,0,2,24,213.0,116.0,0,0,Away,New York Giants,13
St. Louis Rams,1,6,2,3,1,0,183.0,61.0,0,0,Away,Oakland Raiders,13
Indianapolis Colts,1,6,1,0,1,27,341.0,84.0,0,0,Away,Washington Redskins,13
Buffalo Bills,1,2,1,2,1,10,241.0,74.0,0,0,Away,Cleveland Browns,13
Denver Broncos,1,6,2,1,0,16,110.0,41.0,0,0,Home,Kansas City Chiefs,13
Arizona Cardinals,1,1,0,1,1,29,358.0,142.0,0,0,Home,Atlanta Falcons,13
Houston Texans,1,3,1,3,0,21,237.0,83.0,0,0,Away,Tennessee Titans,13
Philadelphia Eagles,1,4,1,2,0,10,174.0,93.0,0,0,Home,Dallas Cowboys,13
Seattle Seahawks,1,4,1,2,0,3,100.0,64.0,0,0,Home,San Francisco 49ers,13
Tennessee Titans,1,0,1,0,1,45,358.0,99.0,0,0,Home,Houston Texans,13
New York Giants,1,7,0,0,0,25,140.0,118.0,0,0,Home,Jacksonville Jaguars,13
Minnesota Vikings,1,4,0,1,0,13,170.0,178.0,0,0,Away,Carolina Panthers,13
Tampa Bay Buccaneers,1,2,0,3,0,14,176.0,112.0,0,0,Away,Cincinnati Bengals,13
Detroit Lions,1,3,0,2,0,17,256.0,13.0,0,0,Away,Chicago Bears,13
Baltimore Ravens,1,2,1,1,0,34,376.0,64.0,0,0,Away,San Diego Chargers,13
San Francisco 49ers,1,4,0,0,0,19,222.0,157.0,0,0,Away,Seattle Seahawks,13
Washington Redskins,1,1,2,1,0,49,361.0,126.0,0,0,Home,Indianapolis Colts,13
New York Jets,1,2,0,1,0,16,217.0,74.0,0,0,Away,Miami Dolphins,13
Atlanta Falcons,1,0,1,2,0,18,294.0,35.0,0,0,Away,Arizona Cardinals,13
Carolina Panthers,1,3,0,0,0,31,118.0,92.0,0,0,Home,Minnesota Vikings,13
Chicago Bears,1,2,1,0,0,34,383.0,91.0,0,0,Home,Detroit Lions,13
Miami Dolphins,1,2,0,1,0,13,49.0,277.0,0,0,Home,New York Jets,13
Cleveland Browns,1,1,0,2,0,26,181.0,106.0,0,0,Home,Buffalo Bills,13
New England Patriots,1,3,0,0,0,26,348.0,130.0,0,0,Home,Green Bay Packers,13
New Orleans Saints,1,1,0,2,0,32,435.0,103.0,0,0,Home,Pittsburgh Steelers,13
Kansas City Chiefs,1,1,1,0,0,29,174.0,214.0,0,0,Away,Denver Broncos,13
Cincinnati Bengals,1,1,0,1,0,13,188.0,75.0,0,0,Home,Tampa Bay Buccaneers,13
Dallas Cowboys,1,1,1,0,0,33,208.0,256.0,0,0,Away,Philadelphia Eagles,13
Green Bay Packers,1,1,0,0,0,21,236.0,84.0,0,0,Away,New England Patriots,13
Oakland Raiders,1,1,0,0,0,52,176.0,172.0,0,0,Home,St. Louis Rams,13
Pittsburgh Steelers,1,1,0,0,0,35,250.0,143.0,0,0,Away,New Orleans Saints,13
San Diego Chargers,1,0,0,0,0,33,225.0,125.0,0,0,Home,Baltimore Ravens,13
