Player,Team,Games Played,Kicking Points,Field Goals Made,Field Goals Attempted,Field Goal %,Longest Field Goal,Field Goals Made 0-19 YDs,Field Goals Made 20-29 YDs,Field Goals Made 30-39 YDs,Field Goals Made 40-49 YDs,Field Goals Made 50+,Extra Points Made,Extra Points Attempted,Extra Point %
"Kern, Brett",TEN,16,0,0,0,-,0,0,0,0,0,0,0,0,-
"Huber, Kevin",CIN,16,0,0,0,-,0,0,0,0,0,0,0,0,-
"McAfee, Pat",IND,16,0,0,0,-,0,0,0,0,0,0,0,0,-
"Morstead, Thomas",NO,16,0,0,0,-,0,0,0,0,0,0,0,0,-
"Colquitt, Britton",DEN,16,0,0,0,-,0,0,0,0,0,0,0,0,-
"Masthay, Tim",GB,16,0,0,0,-,0,0,0,0,0,0,0,0,-
"Bosher, Matt",ATL,16,0,0,0,-,0,0,0,0,0,0,0,0,-
"Jones, Chris",DAL,16,0,0,0,-,0,0,0,0,0,0,0,0,-
"Hekker, Johnny",STL,16,0,0,0,-,0,0,0,0,0,0,0,0,-
"Butler, Drew",ARZ,15,0,0,0,-,0,0,0,0,0,0,0,0,-
"Nortman, Brad",CAR,16,0,0,0,-,0,0,0,0,0,0,0,0,-
"Anger, Bryan",JAX,16,0,0,0,-,0,0,0,0,0,0,0,0,-
"Way, Tress",WSH,16,0,0,0,-,0,0,0,0,0,0,0,0,-
"Lanning, Spencer",CLE,16,0,0,0,-,0,0,0,0,0,0,0,0,-
"Schmidt, Colton",BUF,16,0,0,0,-,0,0,0,0,0,0,0,0,-
"Martin, Sam",DET,16,0,0,0,-,0,0,0,0,0,0,0,0,-
"King, Marquette",OAK,16,0,0,0,-,0,0,0,0,0,0,0,0,-
"Locke, Jeff",MIN,16,0,0,0,-,0,0,0,0,0,0,0,0,-
"Allen, Ryan",NE,16,0,0,0,-,0,0,0,0,0,0,0,0,-
"Quigley, Ryan",NYJ,16,0,0,0,-,0,0,0,0,0,0,0,0,-
"Wing, Brad",PIT,16,0,0,0,-,0,0,0,0,0,0,0,0,-
"Gay, Jordan",BUF,16,0,0,0,-,0,0,0,0,0,0,0,0,-
"O'Donnell, Pat",CHI,16,0,0,0,-,0,0,0,0,0,0,0,0,-
"Gostkowski, Stephen",NE,16,156,35,37,94.6%,53,1,11,10,12,1,51,51,100.0%
"Parkey, Cody",PHI,16,150,32,36,88.9%,54,0,10,14,4,4,54,54,100.0%
"Vinatieri, Adam",IND,16,140,30,31,96.8%,53,0,10,10,7,3,50,50,100.0%
"Crosby, Mason",GB,16,134,27,33,81.8%,55,0,7,11,5,4,53,55,96.4%
"Hauschka, Steven",SEA,16,134,31,37,83.8%,58,0,10,10,9,2,41,41,100.0%
"Carpenter, Dan",BUF,16,133,34,38,89.5%,58,0,9,12,7,6,31,32,96.9%
"Suisham, Shaun",PIT,16,132,29,32,90.6%,53,0,12,6,10,1,45,45,100.0%
"Bailey, Dan",DAL,16,131,25,29,86.2%,56,0,6,6,8,5,56,56,100.0%
"Bullock, Randy",HOU,16,130,30,35,85.7%,55,0,6,13,7,4,40,40,100.0%
"Tucker, Justin",BAL,16,129,29,34,85.3%,55,0,10,11,4,4,42,42,100.0%
"Sturgis, Caleb",MIA,16,128,29,37,78.4%,53,1,12,7,6,3,41,41,100.0%
"Bryant, Matt",ATL,16,127,29,32,90.6%,54,0,10,4,8,7,40,40,100.0%
"Gano, Graham",CAR,16,121,29,35,82.9%,53,0,7,12,9,1,34,34,100.0%
"Folk, Nick",NYJ,16,119,32,39,82.1%,55,0,13,7,9,3,23,23,100.0%
"Nugent, Mike",CIN,16,117,26,33,78.8%,49,0,6,10,10,0,39,39,100.0%
"Brown, Josh",NYG,16,116,24,26,92.3%,53,1,6,9,4,4,44,44,100.0%
"Catanzaro, Chandler",ARZ,16,114,29,33,87.9%,51,0,5,12,10,2,27,27,100.0%
"Santos, Cairo",KC,16,113,25,30,83.3%,53,1,10,6,7,1,38,38,100.0%
"Dawson, Phil",SF,16,108,25,31,80.6%,55,0,6,8,5,6,33,33,100.0%
"Walsh, Blair",MIN,16,107,26,35,74.3%,55,2,4,8,7,5,29,29,100.0%
"Novak, Nick",SD,16,106,22,26,84.6%,52,1,6,8,4,3,40,40,100.0%
"Zuerlein, Greg",STL,16,106,24,30,80.0%,56,1,6,10,2,5,34,35,97.1%
"Graham, Shayne",NO,16,103,19,22,86.4%,50,0,6,9,3,1,46,47,97.9%
"Forbath, Kai",WSH,16,103,24,27,88.9%,49,0,11,6,7,0,31,32,96.9%
"Cundiff, Billy",CLE,13,94,22,29,75.9%,52,0,6,10,5,1,28,28,100.0%
"Murray, Patrick",TB,16,91,20,24,83.3%,55,0,2,7,6,5,31,31,100.0%
"Janikowski, Sebastian",OAK,16,85,19,22,86.4%,57,0,2,5,9,3,28,28,100.0%
"Prater, Matt",DET,11,84,21,26,80.8%,52,0,8,4,6,3,21,21,100.0%
"Succop, Ryan",TEN,16,84,19,22,86.4%,51,0,5,7,5,2,27,27,100.0%
"Scobee, Josh",JAX,16,83,20,26,76.9%,53,0,3,7,7,3,23,23,100.0%
"McManus, Brandon",DEN,15,68,9,13,69.2%,44,0,5,2,2,0,41,41,100.0%
"Barth, Connor",DEN,5,60,15,16,93.8%,50,2,4,5,3,1,15,15,100.0%
"Gould, Robbie",CHI,12,55,9,12,75.0%,45,0,4,2,3,0,28,29,96.6%
"Freese, Nate",DET,3,15,3,7,42.9%,30,0,2,1,0,0,6,6,100.0%
"Feely, Jay",CHI,4,14,3,4,75.0%,48,0,1,1,1,0,5,6,83.3%
"Hartley, Garrett",CLE,2,11,3,3,100.0%,43,0,0,2,1,0,2,2,100.0%
"Henery, Alex",DET,2,8,1,5,20.0%,51,0,0,0,0,1,5,5,100.0%
"Lechler, Shane",HOU,16,0,0,0,-,0,0,0,0,0,0,0,0,-
"Zastudil, Dave",ARZ,2,0,0,0,-,0,0,0,0,0,0,0,0,-
"Scifres, Mike",SD,13,0,0,0,-,0,0,0,0,0,0,0,0,-
"McBriar, Mat",SD,3,0,0,0,-,0,0,0,0,0,0,0,0,-
"Roethlisberger, Ben",PIT,16,0,0,0,-,0,0,0,0,0,0,0,0,-
"Lee, Andy",SF,16,0,0,0,-,0,0,0,0,0,0,0,0,-
"Jones, Donnie",PHI,16,0,0,0,-,0,0,0,0,0,0,0,0,-
"Koenen, Michael",TB,16,0,0,0,-,0,0,0,0,0,0,0,0,-
"Colquitt, Dustin",KC,16,0,0,0,-,0,0,0,0,0,0,0,0,-
"Weatherford, Steve",NYG,16,0,0,0,-,0,0,0,0,0,0,0,0,-
"Koch, Sam",BAL,16,0,0,0,-,0,0,0,0,0,0,0,0,-
"Ryan, Jon",SEA,16,0,0,0,-,0,0,0,0,0,0,0,0,-
"Fields, Brandon",MIA,16,0,0,0,-,0,0,0,0,0,0,0,0,-
