Player,Team,Games Played,Total Tackles,Solo Tackles,Assisted Tackles,Sacks,Sack Yards,Interceptions,Interception Yards,Interception Touchdowns,Interception Return Long,Forced Fumbles,Fumbles Recovered,Fumble Recovery Touchdowns,Passes Defensed,Safeties,Stuffs,Stuff Yards
"Shazier, Ryan",PIT,9,35,23,12,0.0,0,0,0,0,0,0,0,0,1,0,2.0,6.0
"Briggs, Lance",CHI,8,34,24,10,0.0,0,1,2,0,2,1,0,0,3,0,2.5,5.5
"Willis, Patrick",SF,6,34,29,5,0.0,0,1,0,0,0,0,0,0,3,0,0.0,0.0
"Hill, Sammie",TEN,15,34,27,7,3.0,9,0,0,0,0,0,0,0,6,0,5.0,15.0
"Arrington, Kyle",NE,14,34,28,6,1.0,0,0,0,0,0,2,1,1,4,0,1.0,6.0
"Atkins, Geno",CIN,16,34,20,14,3.0,24,0,0,0,0,1,0,0,1,1,6.5,12.5
"Smith, Malcolm",SEA,14,34,25,9,0.0,0,0,0,0,0,2,0,0,1,0,1.0,2.0
"Vereen, Brock",CHI,16,34,26,8,0.0,0,1,0,0,0,1,0,0,1,0,0.0,0.0
"Kelly, Tommy",ARZ,16,33,22,11,1.0,3,0,0,0,0,0,0,0,2,0,2.5,10.5
"Canty, Chris",BAL,11,33,13,20,0.5,3,0,0,0,0,1,0,0,2,0,1.0,2.0
"Neal, Mike",GB,16,33,20,13,4.5,32,0,0,0,0,0,0,0,0,0,2.5,2.5
"Mitchell, Earl",MIA,16,33,21,12,2.0,12,0,0,0,0,0,0,0,1,0,6.5,12.0
"Paea, Stephen",CHI,16,33,24,9,6.0,30,0,0,0,0,2,0,0,2,0,3.5,16.5
"Crawford, Tyrone",DAL,15,33,22,11,3.0,24,0,0,0,0,1,0,0,1,0,5.5,12.5
"Benwikere, Bene",CAR,10,33,24,9,0.0,0,1,0,0,0,1,2,0,7,0,0.0,0.0
"Ngata, Haloti",BAL,12,32,19,13,2.0,28,2,16,0,13,2,0,0,7,0,1.0,1.5
"Guion, Letroy",GB,16,32,21,11,3.5,26,0,0,0,0,1,0,0,1,0,3.5,5.5
"Brown, Sergio",IND,15,32,23,9,1.0,11,0,0,0,0,0,1,0,6,0,1.5,1.5
"Siliga, Sealver",NE,7,32,17,15,2.5,12,0,0,0,0,0,0,0,0,0,2.0,4.0
"Brockers, Michael",STL,16,32,24,8,2.0,8,0,0,0,0,0,1,0,1,0,2.0,3.5
"Reyes, Kendall",SD,16,32,15,17,1.0,10,0,0,0,0,0,0,0,0,0,1.5,3.0
"Hurst, Demontre",CHI,15,32,24,8,0.0,0,1,0,0,0,1,0,0,1,0,0.5,0.5
"Burley, Marcus",SEA,13,32,22,10,1.0,5,1,24,0,24,0,0,0,5,0,0.0,0.0
"Murphy, Trent",WSH,15,32,22,10,2.5,16,0,0,0,0,2,1,0,1,0,2.5,6.0
"Williams, Kevin",SEA,16,31,18,13,3.0,17,0,0,0,0,0,0,0,2,0,5.5,9.5
"Babineaux, Jonathan",ATL,15,31,14,17,2.0,12,0,0,0,0,0,0,0,0,0,3.0,3.5
"Casillas, Jonathan",[],13,31,19,12,0.0,0,0,0,0,0,1,0,0,0,0,1.0,2.0
"Miller III, Roy",JAX,14,31,21,10,1.0,4,0,0,0,0,0,0,0,1,0,3.5,7.0
"Williams, Dan",ARZ,16,31,20,11,1.0,9,0,0,0,0,0,0,0,1,0,2.0,2.0
"Winn, Billy",CLE,13,31,17,14,0.0,0,1,0,0,0,1,0,0,2,0,3.0,8.5
"Williams, K'Waun",CLE,13,31,23,8,1.0,6,0,0,0,0,0,0,0,8,0,0.0,0.0
"Allen, Will",PIT,16,30,17,13,0.0,0,0,0,0,0,1,0,0,0,0,2.5,6.0
"Brooks, Ahmad",SF,13,30,25,5,6.0,21,0,0,0,0,1,1,0,3,0,1.0,3.0
"Wimbley, Kamerion",TEN,13,30,15,15,2.0,14,0,0,0,0,0,0,0,0,0,1.5,3.5
"McDaniel, Tony",SEA,16,30,16,14,0.0,0,0,0,0,0,0,0,0,1,1,0.5,3.5
"Soliai, Paul",ATL,15,30,20,10,1.0,7,0,0,0,0,0,0,0,0,0,5.5,13.5
"Owens, Chris",KC,11,30,24,6,0.5,2,0,0,0,0,0,1,0,4,0,0.0,0.0
"Knighton, Terrance",DEN,16,30,18,12,2.0,14,0,0,0,0,0,0,0,3,0,2.0,3.5
"Selvie, George",DAL,16,30,19,11,3.0,7,0,0,0,0,1,1,0,1,0,1.5,2.5
"Coleman, Kurt",KC,15,30,27,3,0.0,0,3,12,0,12,1,1,0,6,0,0.0,0.0
"Alualu, Tyson",JAX,16,30,13,17,2.0,3,0,0,0,0,0,0,0,0,0,1.0,2.5
"Jenkins, John",NO,12,30,20,10,1.0,6,0,0,0,0,0,0,0,1,0,1.5,1.5
"Okafor, Alex",ARZ,13,30,28,2,8.0,65,1,26,0,26,0,0,0,3,0,3.5,7.5
"Dial, Quinton",SF,14,30,21,9,2.0,7,0,0,0,0,0,0,0,1,0,1.0,1.0
"Morris, Darryl",HOU,11,30,25,5,0.0,0,1,0,0,0,0,0,0,6,0,1.0,3.0
"Warren, Pierre",NO,6,30,21,9,0.0,0,2,53,0,32,1,1,0,4,0,0.0,0.0
"Branch, Tyvon",OAK,3,29,22,7,1.0,19,0,0,0,0,0,0,0,1,0,0.0,0.0
"Pitoitua, Ropati",TEN,12,29,15,14,2.0,5,0,0,0,0,0,1,0,1,0,4.0,10.0
"Lissemore, Sean",SD,15,29,16,13,1.0,8,0,0,0,0,0,1,0,0,0,0.0,0.0
"Odrick, Jared",MIA,16,29,23,6,1.0,1,0,0,0,0,1,1,0,5,0,2.5,6.0
"Maualuga, Rey",CIN,12,59,33,26,0.0,0,1,4,0,4,0,0,0,4,0,3.5,5.5
"Worilds, Jason",PIT,16,59,39,20,7.5,44,1,30,0,30,1,2,0,2,0,4.0,12.0
"Jenkins, Janoris",STL,14,59,55,4,0.0,0,2,124,2,99,2,0,0,5,0,0.0,0.0
"Te'o, Manti",SD,10,59,38,21,1.0,2,1,0,0,0,0,0,0,3,0,1.5,2.0
"Williams, Cary",PHI,16,58,54,4,0.0,0,2,-1,0,0,0,0,0,10,0,1.0,1.0
"Campbell, Calais",ARZ,14,58,48,10,7.0,50,1,23,0,23,1,0,0,3,0,8.0,15.0
