Player,Team,Games Played,Receptions,Receiving Yards,Yards / Reception,Receiving Yards / Game,Yards after Catch,Receiving Touchdowns,Longest Reception,Receptions of 25+ Yards,100 Yard Games,Targets,Drops,% Caught,Fumbles,Fumbles Lost,First Downs Receiving,First Down %
"Brown, Vincent",OAK,7,12,118,9.8,16.9,47,0,20,0,0,21,1,57.1%,0,0,6,50.0%
"Doyle, Jack",IND,16,18,118,6.6,7.4,111,2,20,0,0,22,0,81.8%,0,0,7,38.9%
"Moss, Santana",WSH,10,10,116,11.6,11.6,75,0,19,0,0,15,1,66.7%,0,0,6,60.0%
"Rosario, Dante",CHI,16,16,116,7.3,7.3,61,0,22,0,0,22,0,72.7%,1,1,3,18.8%
"Harris, Dwayne",DAL,16,7,116,16.6,7.3,36,0,56,1,0,12,0,58.3%,0,0,2,28.6%
"Dickson, Ed",CAR,16,10,115,11.5,7.2,68,1,34,1,0,17,1,58.8%,1,0,9,90.0%
"Moore, Denarius",OAK,10,12,115,9.6,11.5,43,0,28,1,0,27,2,44.4%,0,0,6,50.0%
"Meachem, Robert",NO,11,7,114,16.3,10.4,19,0,25,1,0,20,1,35.0%,0,0,7,100.0%
"Taliaferro, Lorenzo",BAL,13,8,114,14.3,8.8,104,0,29,1,0,10,1,80.0%,0,0,4,50.0%
"Blue, Alfred",HOU,16,15,113,7.5,7.1,77,1,22,0,0,18,1,83.3%,0,0,7,46.7%
"Gore, Frank",SF,16,11,111,10.1,6.9,104,1,55,1,0,19,1,57.9%,0,0,2,18.2%
"Tamme, Jacob",DEN,15,14,109,7.8,7.3,25,2,26,1,0,28,1,50.0%,1,1,4,28.6%
"Hemingway, Junior",KC,14,12,108,9.0,7.7,71,0,17,0,0,21,3,57.1%,0,0,8,66.7%
"Redd Jr., Silas",WSH,15,8,107,13.4,7.1,102,0,37,1,0,10,0,80.0%,0,0,5,62.5%
"Sanzenbacher, Dane",CIN,10,9,105,11.7,10.5,45,0,26,1,0,15,0,60.0%,1,1,5,55.6%
