Player,Team,Games Played,All Purpose Yards,Yards From Scrimmage,Yards From Scrimmage / Game,Touchdowns,Total Yards,Rushing Yards,Rushing Yards / Attempt,Rushing Yards / Game,Rushing Touchdowns,Receiving Yards,Yards / Reception,Receiving Yards / Game,Receiving Touchdowns
"Murray, DeMarco",DAL,16,2261,2261,141.3,13,2261,1845,4.7,115.3,13,416,7.3,26.0,0
"Bell, Le'Veon",PIT,16,2215,2215,138.4,11,2215,1361,4.7,85.1,8,854,10.3,53.4,3
"Foster, Arian",HOU,13,1573,1573,121.0,13,1578,1246,4.8,95.8,8,327,8.6,25.2,5
"Forte, Matt",CHI,16,1846,1846,115.4,10,1846,1038,3.9,64.9,6,808,7.9,50.5,4
"Beckham Jr., Odell",NYG,12,1511,1340,111.7,12,1511,35,5.0,2.9,0,1305,14.3,108.8,12
"Brown, Antonio",PIT,16,2030,1711,106.9,14,2050,13,3.3,0.8,0,1698,13.2,106.1,13
"Jones, Julio",ATL,15,1594,1594,106.3,6,1594,1,1.0,0.1,0,1593,15.3,106.2,6
"Lynch, Marshawn",SEA,16,1673,1673,104.6,17,1673,1306,4.7,81.6,13,367,9.9,22.9,4
"Thomas, Demaryius",DEN,16,1619,1619,101.2,11,1619,-,-,-,-,1619,14.6,101.2,11
"Lacy, Eddie",GB,16,1566,1566,97.9,13,1566,1139,4.6,71.2,9,427,10.2,26.7,4
"Forsett, Justin",BAL,16,1529,1529,95.6,8,1529,1266,5.4,79.1,8,263,6.0,16.4,0
"Nelson, Jordy",GB,16,1519,1519,94.9,13,1519,-,-,-,-,1519,15.5,94.9,13
"Peterson, Adrian",MIN,1,93,93,93.0,0,93,75,3.6,75.0,0,18,9.0,18.0,0
"McCoy, LeSean",PHI,16,1474,1474,92.1,5,1474,1319,4.2,82.4,5,155,5.5,9.7,0
"Hilton, T.Y.",IND,15,1365,1365,91.0,7,1365,20,10.0,1.3,0,1345,16.4,89.7,7
"Sanders, Emmanuel",DEN,16,1513,1448,90.5,9,1513,44,5.5,2.8,0,1404,13.9,87.8,9
"Charles, Jamaal",KC,15,1324,1324,88.3,14,1324,1033,5.0,68.9,9,291,7.3,19.4,5
"Ellington, Andre",ARZ,12,1055,1055,87.9,5,1055,660,3.3,55.0,3,395,8.6,32.9,2
"Miller, Lamar",MIA,16,1374,1374,85.9,9,1374,1099,5.1,68.7,8,275,7.2,17.2,1
"Ingram, Mark",NO,13,1109,1109,85.3,9,1109,964,4.3,74.2,9,145,5.0,11.2,0
"Tate, Golden",DET,16,1361,1361,85.1,4,1361,30,6.0,1.9,0,1331,13.4,83.2,4
"Hill, Jeremy",CIN,16,1339,1339,83.7,9,1339,1124,5.1,70.3,9,215,8.0,13.4,0
"Johnson, Calvin",DET,13,1077,1077,82.8,8,1077,-,-,-,-,1077,15.2,82.8,8
"Cobb, Randall",GB,16,1436,1324,82.8,12,1436,37,3.4,2.3,0,1287,14.1,80.4,12
"Bryant, Dez",DAL,16,1320,1320,82.5,16,1320,-,-,-,-,1320,15.0,82.5,16
"Maclin, Jeremy",PHI,16,1343,1318,82.4,10,1343,-,-,-,-,1318,15.5,82.4,10
"Green, A.J.",CIN,13,1043,1043,80.2,6,1043,2,1.0,0.2,0,1041,15.1,80.1,6
"Bernard, Giovani",CIN,13,1029,1029,79.2,7,1029,680,4.1,52.3,5,349,8.1,26.8,2
"Bell, Joique",DET,15,1182,1182,78.8,8,1182,860,3.9,57.3,7,322,9.5,21.5,1
"Jennings, Rashad",NYG,11,865,865,78.6,4,865,639,3.8,58.1,4,226,7.5,20.5,0
"Jackson, DeSean",WSH,15,1176,1176,78.4,6,1176,7,1.8,0.5,0,1169,20.9,77.9,6
"Anderson, C.J.",DEN,15,1173,1173,78.2,10,1173,849,4.7,56.6,8,324,9.5,21.6,2
"Morris, Alfred",WSH,16,1229,1229,76.8,8,1229,1074,4.1,67.1,8,155,9.1,9.7,0
"Stewart, Jonathan",CAR,13,990,990,76.2,4,990,809,4.6,62.2,3,181,7.2,13.9,1
"Edelman, Julian",NE,14,1365,1066,76.1,5,1365,94,9.4,6.7,0,972,10.6,69.4,4
"Mason, Tre",STL,12,913,913,76.1,5,913,765,4.3,63.8,4,148,9.3,12.3,1
"Gore, Frank",SF,16,1217,1217,76.1,5,1217,1106,4.3,69.1,4,111,10.1,6.9,1
"Hopkins, DeAndre",HOU,16,1210,1210,75.6,6,1210,-,-,-,-,1210,15.9,75.6,6
"Gronkowski, Rob",NE,15,1124,1124,74.9,12,1124,-,-,-,-,1124,13.7,74.9,12
"Jackson, Fred",BUF,14,1031,1026,73.3,3,1031,525,3.7,37.5,2,501,7.6,35.8,1
"Jeffery, Alshon",CHI,16,1166,1166,72.9,10,1166,33,5.5,2.1,0,1133,13.3,70.8,10
"Bradshaw, Ahmad",IND,10,725,725,72.5,8,725,425,4.7,42.5,2,300,7.9,30.0,6
"Hillman, Ronnie",DEN,8,573,573,71.6,4,573,434,4.1,54.3,3,139,6.6,17.4,1
"Evans, Mike",TB,15,1051,1051,70.1,12,1051,-,-,-,-,1051,15.5,70.1,12
"Boldin, Anquan",SF,16,1066,1066,66.6,5,1066,4,4.0,0.3,0,1062,12.8,66.4,5
"Smith Sr., Steve",BAL,16,1065,1065,66.6,6,1065,-,-,-,-,1065,13.5,66.6,6
"Mathews, Ryan",SD,6,399,399,66.5,3,399,330,4.5,55.0,3,69,7.7,11.5,0
"White, Roddy",ATL,14,921,921,65.8,7,921,-,-,-,-,921,11.5,65.8,7
"Decker, Eric",NYJ,15,962,962,64.1,5,962,-,-,-,-,962,13.0,64.1,5
"Olsen, Greg",CAR,16,1008,1008,63.0,6,1008,-,-,-,-,1008,12.0,63.0,6
"Bohanon, Tommy",NYJ,4,33,33,8.3,0,33,3,3.0,0.8,0,30,15.0,7.5,0
"Glennon, Mike",TB,6,49,49,8.2,0,1466,49,4.9,8.2,0,-,-,-,-
"Gillmore, Crockett",BAL,15,136,121,8.1,1,136,-,-,-,-,121,12.1,8.1,1
"Spurlock, Micheal",CHI,1,8,8,8.0,0,8,-,-,-,-,8,8.0,8.0,0
"Ponder, Christian",MIN,2,16,16,8.0,1,238,16,4.0,8.0,1,-,-,-,-
"Thompson, Taylor",TEN,3,24,24,8.0,0,24,-,-,-,-,24,12.0,8.0,0
"Jensen, Marcel",JAX,1,8,8,8.0,0,8,-,-,-,-,8,8.0,8.0,0
"Hemingway, Junior",KC,14,108,108,7.7,0,108,-,-,-,-,108,9.0,7.7,0
"Harris, Dwayne",DAL,16,1140,123,7.7,0,1140,7,1.8,0.4,0,116,16.6,7.3,0
"Tyms, Brian",NE,11,82,82,7.5,1,82,-,-,-,-,82,16.4,7.5,1
"Holmes, Santonio",CHI,9,117,67,7.4,0,117,-,-,-,-,67,8.4,7.4,0
"Doyle, Jack",IND,16,118,118,7.4,2,118,-,-,-,-,118,6.6,7.4,2
"Tamme, Jacob",DEN,15,109,109,7.3,2,109,-,-,-,-,109,7.8,7.3,2
"Rosario, Dante",CHI,16,123,116,7.3,0,123,-,-,-,-,116,7.3,7.3,0
"Graham, T.J.",NYJ,12,200,87,7.3,1,200,-,-,-,-,87,29.0,7.3,1
"Herron, Robert",TB,8,58,58,7.3,1,58,0,0.0,0.0,0,58,9.7,7.3,1
"Dickson, Ed",CAR,16,115,115,7.2,1,115,-,-,-,-,115,11.5,7.2,1
"Morgan, Josh",CHI,14,100,100,7.1,1,100,30,15.0,2.1,0,70,7.0,5.0,1
"Ogletree, Kevin",NYG,7,50,50,7.1,0,50,-,-,-,-,50,10.0,7.1,0
"Ogbonnaya, Chris",[],7,50,50,7.1,1,50,50,3.6,7.1,1,0,-,0.0,0
"Fells, Darren",ARZ,10,71,71,7.1,0,71,-,-,-,-,71,14.2,7.1,0
"Stanton, Drew",ARZ,9,63,63,7.0,0,1774,63,2.5,7.0,0,-,-,-,-
"Grice, Marion",ARZ,10,70,70,7.0,1,70,41,2.7,4.1,1,29,4.1,2.9,0
"Ellington, Bruce",SF,13,892,90,6.9,3,892,28,4.7,2.2,1,62,10.3,4.8,2
"Lane, Jorvorskie",TB,9,70,61,6.8,0,70,58,19.3,6.4,0,3,3.0,0.3,0
"Kuhn, John",GB,16,108,108,6.8,1,108,85,3.5,5.3,1,23,5.8,1.4,0
