Player,Team,Games Played,Kick Returns,Kick Return Yards,Kick Return Avg,Kick Return Touchdowns,Kick Return Fair Catches,Punt Returns,Punt Return Yards,Punt Return Avg,Punt Return Long,Punt Return Touchdowns,Punt Return Fair Catches
"Jones, Adam",CIN,16,27,844,31.3,0,0,22,265,12.0,47,0,1
"Jones, Jacoby",BAL,16,32,978,30.6,1,0,30,275,9.2,45,0,17
"Davis, Knile",KC,16,29,829,28.6,1,0,0,0,-,0,0,0
"Landry, Jarvis",MIA,16,34,954,28.1,0,0,25,204,8.2,32,0,19
"Cunningham, Benny",STL,16,35,963,27.5,0,0,0,0,-,0,0,0
"Todman, Jordan",JAX,16,38,972,25.6,0,0,0,0,-,0,0,0
"Patterson, Cordarrelle",MIN,16,34,871,25.6,0,0,0,0,-,0,0,0
"Ellington, Bruce",SF,13,24,614,25.6,0,0,23,188,8.2,23,0,12
"Mariani, Marc",CHI,6,20,510,25.5,0,0,7,29,4.1,16,0,5
"Ross, Jeremy",DET,16,23,584,25.4,0,0,32,284,8.9,28,0,37
"Hester, Devin",ATL,16,45,1128,25.1,0,0,18,240,13.3,68,1,11
"Harris, Dwayne",DAL,16,30,742,24.7,0,0,30,275,9.2,38,0,13
"Wheaton, Markus",PIT,16,20,494,24.7,0,0,0,0,-,0,0,0
"Harvin, Percy",[],13,32,778,24.3,0,0,0,0,-,0,0,0
"Parker, Preston",NYG,16,21,509,24.2,0,0,8,53,6.6,18,0,6
"Amendola, Danny",NE,16,20,482,24.1,0,0,16,132,8.3,39,0,5
"Williams, Chris",CHI,7,24,579,24.1,1,0,4,30,7.5,13,0,2
"Washington, Leon",TEN,16,31,738,23.8,0,0,7,47,6.7,10,0,4
"Roberts, Andre",WSH,16,30,710,23.7,0,0,28,208,7.4,37,0,25
"Harris, DuJuan",GB,15,22,456,20.7,0,0,0,0,-,0,0,0
"Ginn Jr., Ted",ARZ,16,22,417,19.0,0,0,26,277,10.7,71,1,24
