Player,Team,Games Played,Points,Points / Game,Touchdowns,Passing Touchdowns,Rushing Touchdowns,Receiving Touchdowns,Kicking Points,Field Goals Made,Extra Points Made,Total Kick and Punt Return Touchdowns,Kick Return Touchdowns,Punt Return Touchdowns,Interception Touchdowns,Fumble Recovery Touchdowns,Safeties,Two Point Conversions
"Collins, Jed",DET,16,6,0.4,1,-,0,1,-,-,-,-,-,-,-,-,-,0
"Kerley, Jeremy",NYJ,16,6,0.4,1,0,0,1,-,-,-,0,0,0,-,-,-,0
"Powell, Bilal",NYJ,15,6,0.4,1,-,1,0,-,-,-,0,0,0,0,0,0,0
"Peterson, Patrick",ARZ,16,6,0.4,1,-,-,-,-,-,-,-,-,-,1,0,0,0
"Sherman, Anthony",KC,16,6,0.4,1,-,0,1,-,-,-,0,0,0,0,0,0,0
"Gachkar, Andrew",SD,15,6,0.4,1,-,-,-,-,-,-,-,-,-,0,1,0,0
"Liuget, Corey",SD,16,6,0.4,1,-,-,-,-,-,-,-,-,-,0,1,0,0
"Culliver, Chris",SF,14,6,0.4,1,-,-,-,-,-,-,-,-,-,0,1,0,0
"Kaepernick, Colin",SF,16,6,0.4,1,19,1,-,-,-,-,-,-,-,-,-,-,0
"Morgan, Mike",SEA,16,6,0.4,1,-,-,-,-,-,-,-,-,-,0,0,0,0
"Paul, Niles",WSH,16,6,0.4,1,-,-,1,-,-,-,0,0,0,0,0,0,0
"Shorts III, Cecil",JAX,13,6,0.5,1,1,-,1,-,-,-,-,-,-,-,-,-,0
"Graham, T.J.",NYJ,12,6,0.5,1,-,-,1,-,-,-,0,0,0,0,0,0,0
"Thomas III, J.T.",JAX,16,6,0.4,1,-,-,-,-,-,-,-,-,-,0,1,0,0
"Herron, Daniel",IND,16,6,0.4,1,-,1,0,-,-,-,0,0,0,-,-,-,0
"Kirkpatrick, Dre",CIN,16,6,0.4,1,-,-,-,-,-,-,-,-,-,1,0,0,0
"Gipson, Tashaun",CLE,11,6,0.5,1,-,-,-,-,-,-,-,-,-,1,0,0,0
"Robertson, Craig",CLE,16,6,0.4,1,-,-,-,-,-,-,0,0,0,0,1,0,0
"Ross, Jeremy",DET,16,6,0.4,1,-,0,1,-,-,-,0,0,0,-,-,-,0
"DiMarco, Patrick",ATL,16,6,0.4,1,-,-,1,-,-,-,-,-,-,-,-,-,0
"Gray, Cyrus",KC,9,6,0.7,1,-,1,0,-,-,-,0,0,0,-,-,-,0
"Streater, Rod",OAK,3,6,2.0,1,-,-,1,-,-,-,-,-,-,-,-,-,0
"Givens, Chris",STL,14,6,0.4,1,-,0,1,-,-,-,0,0,0,-,-,-,0
"Johnson, Trumaine",STL,9,6,0.7,1,-,-,-,-,-,-,0,0,0,1,0,0,0
"Tannehill, Ryan",MIA,16,6,0.4,1,27,1,0,-,-,-,-,-,-,-,-,-,0
"Thigpen, Marcus",[],9,6,0.7,1,-,-,0,-,-,-,1,0,1,-,-,-,0
"Smith, Harrison",MIN,16,6,0.4,1,-,-,-,-,-,-,-,-,-,1,0,0,0
"Bolden, Brandon",NE,16,6,0.4,1,-,1,0,-,-,-,-,-,-,0,0,0,0
"Jones, Chandler",NE,10,6,0.6,1,-,-,-,-,-,-,-,-,-,0,0,0,0
"Cadet, Travaris",NO,15,6,0.4,1,-,0,1,-,-,-,0,0,0,-,-,-,0
"Hill, Will",BAL,10,6,0.6,1,-,-,-,-,-,-,-,-,-,1,0,0,0
"Kuhn, Markus",NYG,14,6,0.4,1,-,-,-,-,-,-,-,-,-,0,1,0,0
"Robinson, Adrien",NYG,16,6,0.4,1,-,-,1,-,-,-,-,-,-,-,-,-,0
"Cox, Fletcher",PHI,16,6,0.4,1,-,-,-,-,-,-,-,-,-,0,1,0,0
"Johnson, Damaris",HOU,16,6,0.4,1,-,0,1,-,-,-,0,0,0,-,-,-,0
"Thornton, Cedric",PHI,16,6,0.4,1,-,-,-,-,-,-,-,-,-,0,1,0,0
"Golden, Robert",PIT,16,6,0.4,1,0,-,-,-,-,-,-,-,-,0,1,0,0
"Kearse, Jermaine",SEA,15,6,0.4,1,0,0,1,-,-,-,-,-,-,0,0,0,0
"Griffin III, Robert",WSH,9,6,0.7,1,4,1,-,-,-,-,-,-,-,-,-,-,0
"Ishmael, Kemal",ATL,16,6,0.4,1,-,-,-,-,-,-,-,-,-,1,0,0,0
"Gragg, Chris",BUF,10,6,0.6,1,-,-,1,-,-,-,-,-,-,-,-,-,0
"Watkins, Sammy",BUF,16,36,2.3,6,-,0,6,-,-,-,-,-,-,-,-,-,0
"Hurns, Allen",JAX,16,36,2.3,6,-,-,6,-,-,-,-,-,-,-,-,-,0
"Watt, J.J.",HOU,16,32,2.0,5,-,-,3,-,-,-,-,-,-,1,1,1,0
"Sanu, Mohamed",CIN,16,32,2.0,5,1,0,5,-,-,-,-,-,-,-,-,-,1
"Woods, Robert",BUF,16,32,2.0,5,-,-,5,-,-,-,0,0,0,-,-,-,1
"Witten, Jason",DAL,16,30,1.9,5,-,-,5,-,-,-,-,-,-,-,-,-,0
"Boldin, Anquan",SF,16,30,1.9,5,0,0,5,-,-,-,-,-,-,-,-,-,0
"Gore, Frank",SF,16,30,1.9,5,-,4,1,-,-,-,-,-,-,-,-,-,0
"Colston, Marques",NO,16,30,1.9,5,-,-,5,-,-,-,-,-,-,-,-,-,0
"Edelman, Julian",NE,14,30,2.1,5,-,0,4,-,-,-,1,0,1,-,-,-,0
"McCoy, LeSean",PHI,16,30,1.9,5,-,5,0,-,-,-,-,-,-,-,-,-,0
"Smith, Antone",ATL,10,30,3.0,5,-,2,3,-,-,-,-,-,-,-,-,-,0
"Gresham, Jermaine",CIN,15,30,2.0,5,-,-,5,-,-,-,-,-,-,-,-,-,0
"Decker, Eric",NYJ,15,30,2.0,5,-,-,5,-,-,-,-,-,-,-,-,-,0
"Blount, LeGarrette",[],16,30,1.9,5,-,5,0,-,-,-,0,0,0,-,-,-,0
"Young, Darrel",WSH,16,30,1.9,5,-,3,2,-,-,-,0,0,0,0,0,0,0
"Dalton, Andy",CIN,16,30,1.9,5,19,4,1,-,-,-,-,-,-,-,-,-,0
"Kendricks, Lance",STL,16,30,1.9,5,-,-,5,-,-,-,-,-,-,-,-,-,0
"Vereen, Shane",NE,16,30,1.9,5,-,2,3,-,-,-,-,-,-,-,-,-,0
"Newton, Cam",CAR,14,30,2.1,5,18,5,-,-,-,-,-,-,-,-,-,-,0
"Polk, Chris",PHI,14,30,2.1,5,-,4,0,-,-,-,1,1,0,-,-,-,0
"Gray, Jonas",NE,8,30,3.8,5,-,5,0,-,-,-,-,-,-,-,-,-,0
"Hill, Josh",NO,16,30,1.9,5,-,-,5,-,-,-,-,-,-,-,-,-,0
"Ellington, Andre",ARZ,12,30,2.5,5,-,3,2,-,-,-,-,-,-,-,-,-,0
"Landry, Jarvis",MIA,16,30,1.9,5,-,0,5,-,-,-,0,0,0,0,0,0,0
"Mason, Tre",STL,12,30,2.5,5,-,4,1,-,-,-,-,-,-,-,-,-,0
"Brown, John",ARZ,16,30,1.9,5,-,0,5,-,-,-,-,-,-,-,-,-,0
"West, Terrance",CLE,14,30,2.1,5,0,4,1,-,-,-,-,-,-,-,-,-,0
"Taylor, Stepfan",ARZ,14,26,1.9,4,-,1,3,-,-,-,-,-,-,-,-,-,1
"Hester, Devin",ATL,16,24,1.5,4,-,1,2,-,-,-,1,0,1,0,0,0,0
"Fasano, Anthony",KC,15,24,1.6,4,-,-,4,-,-,-,-,-,-,-,-,-,0
"Walker, Delanie",TEN,15,24,1.6,4,-,-,4,-,-,-,-,-,-,-,-,-,0
"Daniels, Owen",BAL,15,24,1.6,4,-,-,4,-,-,-,-,-,-,-,-,-,0
"Fells, Daniel",NYG,16,24,1.5,4,-,-,4,-,-,-,-,-,-,-,-,-,0
"Stewart, Jonathan",CAR,13,24,1.8,4,-,3,1,-,-,-,-,-,-,-,-,-,0
"Nicks, Hakeem",IND,16,24,1.5,4,-,-,4,-,-,-,-,-,-,-,-,-,0
"Crabtree, Michael",SF,16,24,1.5,4,-,0,4,-,-,-,-,-,-,-,-,-,0
"Jennings, Rashad",NYG,11,24,2.2,4,-,4,0,-,-,-,-,-,-,-,-,-,0
"Tate, Golden",DET,16,24,1.5,4,-,0,4,-,-,-,-,-,-,-,-,-,0
"Aiken, Kamar",BAL,16,24,1.5,4,-,-,3,-,-,-,-,-,-,-,-,-,0
"Tate, Ben",[],11,24,2.2,4,-,4,0,-,-,-,-,-,-,-,-,-,0
"Beasley, Cole",DAL,16,24,1.5,4,-,-,4,-,-,-,-,-,-,-,-,-,0
"Holmes, Andre",OAK,16,24,1.5,4,-,-,4,-,-,-,-,-,-,-,-,-,0
"Hillman, Ronnie",DEN,8,24,3.0,4,-,3,1,-,-,-,-,-,-,-,-,-,0
"Hogan, Chris",BUF,16,24,1.5,4,-,-,4,-,-,-,-,-,-,-,-,-,0
"Escobar, Gavin",DAL,16,24,1.5,4,-,-,4,-,-,-,-,-,-,-,-,-,0
"Riddick, Theo",DET,14,24,1.7,4,-,0,4,-,-,-,-,-,-,-,-,-,0
"Rivera, Mychal",OAK,16,24,1.5,4,-,-,4,-,-,-,-,-,-,-,-,-,0
"Cunningham, Benny",STL,16,24,1.5,4,-,3,1,-,-,-,0,0,0,-,-,-,0
"Allen, Keenan",SD,14,24,1.7,4,-,-,4,-,-,-,0,0,0,-,-,-,0
"Mankins, Logan",TB,16,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Blackburn, Chase",CAR,6,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Tuck, Justin",OAK,15,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Cole, Trent",PHI,15,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Herremans, Todd",PHI,8,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Patterson, Mike",NYG,16,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Rolle, Antrel",NYG,16,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Warren, Greg",PIT,16,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Snyder, Adam",NYG,4,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Spencer, Chris",TEN,16,0,0.0,0,-,0,-,-,-,-,-,-,-,-,-,-,0
"Smith, Alex",CIN,2,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Rogers, Carlos",OAK,7,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Davis, Thomas",CAR,15,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Mathis, Evan",PHI,9,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Barnes, Khalif",OAK,14,0,0.0,0,-,-,0,-,-,-,-,-,-,-,-,-,0
"Connolly, Dan",NE,13,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Berger, Joe",MIN,16,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Clabo, Tyson",HOU,16,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Whitner, Donte",CLE,16,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Williams, Kyle",BUF,15,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Manning, Danieal",HOU,16,0,0.0,0,-,-,-,-,-,-,0,0,0,0,0,0,0
"Brooks, Ahmad",SF,13,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Peko, Domata",CIN,16,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Whitworth, Andrew",CIN,16,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Anderson, Derek",CAR,6,0,0.0,0,5,0,-,-,-,-,-,-,-,-,-,-,0
"Wimbley, Kamerion",TEN,13,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Bowen, Stephen",WSH,8,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Hatcher, Jason",WSH,13,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Dumervil, Elvis",BAL,16,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Pears, Erik",BUF,16,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Scott, Jonathan",ATL,1,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Blackmon, Will",JAX,8,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Bush, Jarrett",GB,15,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Colledge, Daryn",MIA,13,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Hawk, A.J.",GB,16,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Tulloch, Stephen",DET,3,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Jennings, Tim",CHI,16,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Johnson, Charlie",MIN,14,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Hali, Tamba",KC,16,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Pollard, Bernard",TEN,5,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Boothe, Kevin",OAK,9,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"McQuistan, Paul",CLE,14,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Jackson, Tarvaris",SEA,1,0,0.0,0,0,-,-,-,-,-,-,-,-,-,-,-,0
"Evans, Jahri",NO,16,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Strief, Zach",NO,16,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Weatherford, Steve",NYG,16,0,0.0,0,-,0,-,0,0,0,-,-,-,-,-,-,0
"Cofield Jr., Barry",WSH,8,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Kiwanuka, Mathias",NYG,11,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Clemens, Kellen",SD,2,0,0.0,0,0,-,-,-,-,-,-,-,-,-,-,-,0
"Ferguson, D'Brickashaw",NYJ,16,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Robinson, Denard",JAX,13,24,1.8,4,0,4,0,-,-,-,-,-,-,-,-,-,0
"Cooks, Brandin",NO,10,24,2.4,4,-,1,3,-,-,-,0,0,0,-,-,-,0
"Hyde, Carlos",SF,14,24,1.7,4,-,4,0,-,-,-,0,0,0,-,-,-,0
"Taliaferro, Lorenzo",BAL,13,24,1.8,4,-,4,0,-,-,-,0,0,0,-,-,-,0
"Blue, Alfred",HOU,16,24,1.5,4,-,2,1,-,-,-,-,-,-,0,0,0,0
"Oliver, Branden",SD,14,24,1.7,4,-,3,1,-,-,-,0,0,0,-,-,-,0
"Miller, Heath",PIT,16,20,1.3,3,-,-,3,-,-,-,-,-,-,-,-,-,1
"Jackson, Fred",BUF,14,20,1.4,3,0,2,1,-,-,-,0,0,0,-,-,-,1
"McCown, Josh",TB,11,18,1.6,3,11,3,0,-,-,-,-,-,-,-,-,-,0
"Johnson, Andre",HOU,15,18,1.2,3,-,-,3,-,-,-,-,-,-,-,-,-,0
"Thomas, Pierre",NO,11,18,1.6,3,-,2,1,-,-,-,-,-,-,-,-,-,0
"Gay, William",PIT,16,18,1.1,3,-,-,-,-,-,-,-,-,-,3,0,0,0
"Chandler, Scott",BUF,16,18,1.1,3,-,-,3,-,-,-,-,-,-,-,-,-,0
"Johnson, Stevie",SF,13,18,1.4,3,-,-,3,-,-,-,-,-,-,-,-,-,0
"Garcon, Pierre",WSH,16,18,1.1,3,0,-,3,-,-,-,-,-,-,-,-,-,0
"Britt, Kenny",STL,16,18,1.1,3,-,0,3,-,-,-,-,-,-,-,-,-,0
"Cook, Jared",STL,16,18,1.1,3,-,0,3,-,-,-,-,-,-,-,-,-,0
"Quarless, Andrew",GB,16,18,1.1,3,-,-,3,-,-,-,-,-,-,-,-,-,0
"Cumberland, Jeff",NYJ,16,18,1.1,3,-,-,3,-,-,-,-,-,-,-,-,-,0
"Cooper, Riley",PHI,16,18,1.1,3,-,-,3,-,-,-,0,0,0,-,-,-,0
"Mathews, Ryan",SD,6,18,3.0,3,-,3,0,-,-,-,-,-,-,-,-,-,0
"Clay, Charles",MIA,14,18,1.3,3,-,-,3,-,-,-,-,-,-,-,-,-,0
"Baldwin, Doug",SEA,16,18,1.1,3,-,0,3,-,-,-,0,0,0,-,-,-,0
"Helu Jr., Roy",WSH,14,18,1.3,3,-,1,2,-,-,-,-,-,-,-,-,-,0
"Benjamin, Travis",CLE,16,18,1.1,3,-,0,3,-,-,-,0,0,0,0,0,0,0
"Richardson, Trent",IND,15,18,1.2,3,-,3,0,-,-,-,-,-,-,-,-,-,0
"Luck, Andrew",IND,16,18,1.1,3,40,3,-,-,-,-,-,-,-,-,-,-,0
"Quick, Brian",STL,7,18,2.6,3,-,-,3,-,-,-,-,-,-,-,-,-,0
"Randle, Rueben",NYG,16,18,1.1,3,-,-,3,-,-,-,0,0,0,-,-,-,0
"Randle, Joseph",DAL,16,18,1.1,3,-,3,0,-,-,-,-,-,-,-,-,-,0
"Hunter, Justin",TEN,12,18,1.5,3,-,-,3,-,-,-,-,-,-,-,-,-,0
"Butler, Brice",OAK,15,18,1.2,3,-,-,2,-,-,-,-,-,-,-,-,-,0
"Austin, Tavon",STL,15,18,1.2,3,-,2,0,-,-,-,1,0,1,-,-,-,0
"Robinson, Khiry",NO,10,18,1.8,3,-,3,0,-,-,-,0,0,0,-,-,-,0
"Stills, Kenny",NO,15,18,1.2,3,-,0,3,-,-,-,-,-,-,-,-,-,0
"Ertz, Zach",PHI,16,18,1.1,3,-,-,3,-,-,-,-,-,-,0,0,0,0
"Willson, Luke",SEA,15,18,1.2,3,-,-,3,-,-,-,0,0,0,-,-,-,0
"Adams, Davante",GB,16,18,1.1,3,-,-,3,-,-,-,-,-,-,-,-,-,0
"Moncrief, Donte",IND,16,18,1.1,3,-,0,3,-,-,-,-,-,-,-,-,-,0
"Ellington, Bruce",SF,13,18,1.4,3,-,1,2,-,-,-,0,0,0,-,-,-,0
"Thompson, Juwan",DEN,15,18,1.2,3,-,3,0,-,-,-,-,-,-,-,-,-,0
"Brown, Philly",CAR,13,18,1.4,3,-,0,2,-,-,-,1,0,1,-,-,-,0
"Freese, Nate",DET,3,15,5.0,0,-,-,-,15,3,6,-,-,-,-,-,-,0
"Feely, Jay",CHI,4,14,3.5,0,-,-,-,14,3,5,-,-,-,-,-,-,0
"Moore, Lance",PIT,14,14,1.0,2,-,-,2,-,-,-,-,-,-,-,-,-,1
"Douglas, Harry",ATL,12,14,1.2,2,-,-,2,-,-,-,-,-,-,-,-,-,1
"Thomas, Daniel",MIA,12,14,1.2,2,-,2,0,-,-,-,-,-,-,-,-,-,1
"Johnson, Charles",MIN,12,14,1.2,2,-,0,2,-,-,-,-,-,-,-,-,-,1
"Robinson, Allen",JAX,10,14,1.4,2,-,-,2,-,-,-,-,-,-,-,-,-,1
"Wayne, Reggie",IND,15,12,0.8,2,-,-,2,-,-,-,-,-,-,-,-,-,0
"Manuel, EJ",BUF,5,6,1.2,1,5,1,-,-,-,-,-,-,-,-,-,-,0
"Wilson, Marquess",CHI,7,6,0.9,1,-,-,1,-,-,-,-,-,-,-,-,-,0
"Burkhead, Rex",CIN,9,6,0.7,1,-,1,0,-,-,-,-,-,-,-,-,-,0
"Ball, Montee",DEN,5,6,1.2,1,-,1,0,-,-,-,-,-,-,-,-,-,0
"Fuller, Corey",DET,16,6,0.4,1,-,-,1,-,-,-,-,-,-,-,-,-,0
"Bostick, Brandon",GB,13,6,0.5,1,-,-,1,-,-,-,-,-,-,-,-,-,0
"Stacy, Zac",STL,13,6,0.5,1,-,1,0,-,-,-,-,-,-,-,-,-,0
"Tyms, Brian",NE,11,6,0.5,1,-,-,1,-,-,-,-,-,-,-,-,-,0
"Ford, Chase",MIN,11,6,0.5,1,-,-,1,-,-,-,0,0,0,-,-,-,0
"Hodges, Gerald",MIN,14,6,0.4,1,-,-,-,-,-,-,-,-,-,1,0,0,0
"Johnson, Austin",NO,7,6,0.9,1,-,0,1,-,-,-,-,-,-,-,-,-,0
"Toon, Nick",NO,8,6,0.8,1,-,0,1,-,-,-,-,-,-,-,-,-,0
"Smith, Geno",NYJ,14,6,0.4,1,13,1,-,-,-,-,-,-,-,-,-,-,0
"Coleman, Derrick",SEA,5,6,1.2,1,-,-,1,-,-,-,-,-,-,-,-,-,0
"Banks, Johnthan",TB,15,6,0.4,1,-,-,-,-,-,-,-,-,-,1,0,0,0
"Thompson, Chris",WSH,2,6,3.0,1,-,0,1,-,-,-,-,-,-,-,-,-,0
"Gratz, Dwayne",JAX,15,6,0.4,1,-,-,-,-,-,-,-,-,-,1,0,0,0
"Juszczyk, Kyle",BAL,16,6,0.4,1,-,-,1,-,-,-,0,0,0,-,-,-,0
"Bouye, A.J.",HOU,14,6,0.4,1,-,-,-,-,-,-,-,-,-,1,0,0,0
"Griffin, Ryan",HOU,16,6,0.4,1,-,-,1,-,-,-,-,-,-,-,-,-,0
"Leonhardt, Brian",OAK,12,6,0.5,1,-,-,1,-,-,-,-,-,-,0,0,0,0
"Bersin, Brenton",CAR,15,6,0.4,1,-,-,1,-,-,-,0,0,0,-,-,-,0
"Williams, Chris",CHI,7,6,0.9,1,-,0,-,-,-,-,1,1,0,-,-,-,0
"Gilbert, Justin",CLE,14,6,0.4,1,-,-,-,-,-,-,-,-,-,1,0,0,0
"Ebron, Eric",DET,13,6,0.5,1,-,-,1,-,-,-,-,-,-,-,-,-,0
"Barr, Anthony",MIN,12,6,0.5,1,-,-,-,-,-,-,-,-,-,0,1,0,0
"Manziel, Johnny",CLE,5,6,1.2,1,0,1,0,-,-,-,-,-,-,-,-,-,0
"Bridgewater, Teddy",MIN,13,6,0.5,1,14,1,-,-,-,-,-,-,-,-,-,-,0
"Lee, Marqise",JAX,13,6,0.5,1,-,0,1,-,-,-,-,-,-,-,-,-,0
"Richardson, Paul",SEA,15,6,0.4,1,-,-,1,-,-,-,0,0,0,-,-,-,0
"Sims, Charles",TB,8,6,0.8,1,-,1,0,-,-,-,-,-,-,-,-,-,0
"Fiedorowicz, C.J.",HOU,15,6,0.4,1,-,-,1,-,-,-,-,-,-,-,-,-,0
"Huff, Josh",PHI,12,6,0.5,1,-,0,0,-,-,-,1,1,0,-,-,-,0
"Gillmore, Crockett",BAL,15,6,0.4,1,-,-,1,-,-,-,0,0,0,-,-,-,0
"Colvin, Aaron",JAX,6,6,1.0,1,-,-,-,-,-,-,-,-,-,0,1,0,0
"Huff, Marqueston",TEN,14,6,0.4,1,-,-,-,-,-,-,-,-,-,1,0,0,0
"McGill, Keith",OAK,12,6,0.5,1,-,-,-,-,-,-,-,-,-,0,1,0,0
"Johnson, Dontae",SF,16,6,0.4,1,-,-,-,-,-,-,-,-,-,1,0,0,0
"Boston, Tre",CAR,11,6,0.5,1,-,-,-,-,-,-,-,-,-,1,0,0,0
"Herron, Robert",TB,8,6,0.8,1,-,0,1,-,-,-,-,-,-,-,-,-,0
"Grice, Marion",ARZ,10,6,0.6,1,0,1,0,-,-,-,-,-,-,-,-,-,0
"Campanaro, Michael",BAL,4,6,1.5,1,-,-,1,-,-,-,0,0,0,-,-,-,0
"Burton, Trey",PHI,15,6,0.4,1,-,0,-,-,-,-,-,-,-,-,-,-,0
"Tipton, Zurlon",IND,6,6,1.0,1,-,0,1,-,-,-,-,-,-,-,-,-,0
"Jacobs, Nic",JAX,13,6,0.5,1,-,-,1,-,-,-,-,-,-,-,-,-,0
"Williams, Damien",MIA,16,6,0.4,1,-,0,1,-,-,-,0,0,0,0,0,0,0
"Washington, Corey",NYG,14,6,0.4,1,-,-,1,-,-,-,-,-,-,-,-,-,0
"Darkwa, Orleans",[],11,6,0.5,1,-,1,0,-,-,-,-,-,-,0,0,0,0
"Redd Jr., Silas",WSH,15,6,0.4,1,-,1,0,-,-,-,-,-,-,-,-,-,0
"Gabriel, Taylor",CLE,16,6,0.4,1,-,0,1,-,-,-,0,0,0,-,-,-,0
"Mangold, Nick",NYJ,15,0,0.0,0,0,-,-,-,-,-,-,-,-,-,-,-,0
"Bunkley, Brodrick",NO,11,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Spurlock, Micheal",CHI,1,0,0.0,0,-,-,0,-,-,-,0,0,0,-,-,-,0
"Colon, Willie",NYJ,16,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Holmes, Santonio",CHI,9,0,0.0,0,-,-,0,-,-,-,0,0,0,-,-,-,0
"Whitehurst, Charlie",TEN,7,0,0.0,0,7,0,0,-,-,-,-,-,-,-,-,-,0
"Haralson, Parys",NO,16,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Sims, Rob",DET,16,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Tapp, Darryl",DET,16,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Gradkowski, Bruce",PIT,1,0,0.0,0,-,0,-,-,-,-,-,-,-,-,-,-,0
"Joseph, Davin",STL,16,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Campbell, Jason",CIN,4,0,0.0,0,0,0,-,-,-,-,-,-,-,-,-,-,0
"Golston, Kedric",WSH,11,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Anderson, James",TEN,7,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Marshall, Richard",SD,8,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Montgomery, Will",DEN,16,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Williams, DeAngelo",CAR,6,0,0.0,0,-,0,0,-,-,-,-,-,-,-,-,-,0
"Jones-Drew, Maurice",OAK,12,0,0.0,0,-,0,0,-,-,-,-,-,-,-,-,-,0
"Owens, Montell",[],6,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Chester, Chris",WSH,16,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Koch, Sam",BAL,16,0,0.0,0,-,-,-,0,0,0,-,-,-,-,-,-,0
"Landry, Dawan",NYJ,16,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Ngata, Haloti",BAL,12,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Ryans, DeMeco",PHI,8,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Williams, Mario",BUF,16,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Winston, Eric",CIN,4,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Ryan, Jon",SEA,16,0,0.0,0,0,0,-,0,0,0,-,-,-,-,-,-,0
"Blalock, Justin",ATL,15,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Posluszny, Paul",JAX,7,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Graham, Corey",BUF,16,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"McBride, Trumaine",NYG,6,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Hall, Leon",CIN,15,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Rucker, Frostee",ARZ,15,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Thomas, Joe",CLE,16,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
