Player,Team,Games Played,Points,Points / Game,Touchdowns,Passing Touchdowns,Rushing Touchdowns,Receiving Touchdowns,Kicking Points,Field Goals Made,Extra Points Made,Total Kick and Punt Return Touchdowns,Kick Return Touchdowns,Punt Return Touchdowns,Interception Touchdowns,Fumble Recovery Touchdowns,Safeties,Two Point Conversions
"Benjamin, Kelvin",CAR,16,54,3.4,9,-,-,9,-,-,-,-,-,-,-,-,-,0
"Hill, Jeremy",CIN,16,54,3.4,9,-,9,0,-,-,-,-,-,-,0,0,0,0
"Forsett, Justin",BAL,16,50,3.1,8,-,8,0,-,-,-,-,-,-,-,-,-,1
"Sproles, Darren",PHI,15,48,3.2,8,-,6,0,-,-,-,2,0,2,-,-,-,0
"Marshall, Brandon",CHI,13,48,3.7,8,0,-,8,-,-,-,-,-,-,-,-,-,0
"Johnson, Calvin",DET,13,48,3.7,8,-,-,8,-,-,-,-,-,-,-,-,-,0
"Bradshaw, Ahmad",IND,10,48,4.8,8,-,2,6,-,-,-,-,-,-,-,-,-,0
"Bell, Joique",DET,15,48,3.2,8,-,7,1,-,-,-,-,-,-,-,-,-,0
"Allen, Dwayne",IND,13,48,3.7,8,-,-,8,-,-,-,-,-,-,0,0,0,0
"Fleener, Coby",IND,16,48,3.0,8,-,-,8,-,-,-,-,-,-,-,-,-,0
"Morris, Alfred",WSH,16,48,3.0,8,-,8,0,-,-,-,-,-,-,-,-,-,0
"Williams, Terrance",DAL,16,48,3.0,8,-,-,8,-,-,-,-,-,-,-,-,-,0
"Davis, Knile",KC,16,48,3.0,8,-,6,1,-,-,-,1,1,0,-,-,-,0
"Matthews, Jordan",PHI,16,48,3.0,8,-,-,8,-,-,-,-,-,-,-,-,-,0
"Bryant, Martavis",PIT,10,48,4.8,8,-,0,8,-,-,-,-,-,-,-,-,-,0
"Crowell, Isaiah",CLE,16,48,3.0,8,-,8,0,-,-,-,-,-,-,-,-,-,0
"White, Roddy",ATL,14,42,3.0,7,-,-,7,-,-,-,-,-,-,-,-,-,0
"Royal, Eddie",SD,16,42,2.6,7,-,0,7,-,-,-,0,0,0,-,-,-,0
"Ivory, Chris",NYJ,16,42,2.6,7,-,6,1,-,-,-,-,-,-,-,-,-,0
"LaFell, Brandon",NE,16,42,2.6,7,-,0,7,-,-,-,0,0,0,-,-,-,0
"Hilton, T.Y.",IND,15,42,2.8,7,-,0,7,-,-,-,0,0,0,-,-,-,0
"Bernard, Giovani",CIN,13,42,3.2,7,-,5,2,-,-,-,-,-,-,-,-,-,0
"Williams, Andre",NYG,16,42,2.6,7,-,7,0,-,-,-,-,-,-,-,-,-,0
"Bennett, Martellus",CHI,16,40,2.5,6,-,-,6,-,-,-,-,-,-,-,-,-,2
"Smith Sr., Steve",BAL,16,36,2.3,6,-,-,6,-,-,-,-,-,-,-,-,-,0
"Jackson, Steven",ATL,15,36,2.4,6,-,6,0,-,-,-,-,-,-,-,-,-,0
"Floyd, Malcom",SD,16,36,2.3,6,-,-,6,-,-,-,-,-,-,-,-,-,0
"Jennings, Greg",MIN,16,36,2.3,6,-,-,6,-,-,-,-,-,-,-,-,-,0
"Olsen, Greg",CAR,16,36,2.3,6,-,-,6,-,-,-,-,-,-,-,-,-,0
"Jones, James",OAK,16,36,2.3,6,-,-,6,-,-,-,-,-,-,-,-,-,0
"Jackson, DeSean",WSH,15,36,2.4,6,-,0,6,-,-,-,0,0,0,-,-,-,0
"Jones, Julio",ATL,15,36,2.4,6,-,0,6,-,-,-,-,-,-,0,0,0,0
"Green, A.J.",CIN,13,36,2.8,6,-,0,6,-,-,-,-,-,-,-,-,-,0
"Wright, Kendall",TEN,14,36,2.6,6,-,0,6,-,-,-,-,-,-,-,-,-,0
"Floyd, Michael",ARZ,16,36,2.3,6,-,0,6,-,-,-,-,-,-,-,-,-,0
"Wilson, Russell",SEA,16,36,2.3,6,20,6,0,-,-,-,-,-,-,-,-,-,0
"Kelce, Travis",KC,16,36,2.3,6,-,-,5,-,-,-,-,-,-,0,1,0,0
"Donnell, Larry",NYG,16,36,2.3,6,-,-,6,-,-,-,-,-,-,-,-,-,0
"Wright, Tim",NE,16,36,2.3,6,-,0,6,-,-,-,-,-,-,-,-,-,0
"Hopkins, DeAndre",HOU,16,36,2.3,6,-,-,6,-,-,-,-,-,-,0,0,0,0
"Peppers, Julius",GB,16,12,0.8,2,-,-,0,-,-,-,-,-,-,2,0,0,0
"Welker, Wes",DEN,14,12,0.9,2,-,-,2,-,-,-,0,0,0,-,-,-,0
"Watson, Benjamin",NO,16,12,0.8,2,-,-,2,-,-,-,-,-,-,-,-,-,0
"Fitzgerald, Larry",ARZ,14,12,0.9,2,-,-,2,-,-,-,-,-,-,-,-,-,0
"Rodgers, Aaron",GB,16,12,0.8,2,38,2,-,-,-,-,-,-,-,-,-,-,0
"Fitzpatrick, Ryan",HOU,12,12,1.0,2,17,2,-,-,-,-,-,-,-,-,-,-,0
"Jackson, Vincent",TB,16,12,0.8,2,-,-,2,-,-,-,-,-,-,-,-,-,0
"Washington, Nate",TEN,16,12,0.8,2,-,-,2,-,-,-,-,-,-,-,-,-,0
"Cutler, Jay",CHI,15,12,0.8,2,28,2,-,-,-,-,-,-,-,-,-,-,0
"Bush, Reggie",DET,11,12,1.1,2,-,2,0,-,-,-,-,-,-,-,-,-,0
"Washington, Leon",TEN,16,12,0.8,2,-,0,2,-,-,-,0,0,0,-,-,-,0
"Davis, Vernon",SF,14,12,0.9,2,-,0,2,-,-,-,-,-,-,-,-,-,0
"Lewis, Marcedes",JAX,8,12,1.5,2,-,-,2,-,-,-,-,-,-,-,-,-,0
"Austin, Miles",CLE,12,12,1.0,2,-,-,2,-,-,-,-,-,-,-,-,-,0
"Weems, Eric",ATL,16,12,0.8,2,-,-,2,-,-,-,0,0,0,0,0,0,0
"Lansanah, Danny",TB,16,12,0.8,2,-,-,-,-,-,-,-,-,-,2,0,0,0
"Johnson, Chris",NYJ,16,12,0.8,2,-,1,1,-,-,-,-,-,-,-,-,-,0
"Tamme, Jacob",DEN,15,12,0.8,2,-,-,2,-,-,-,-,-,-,-,-,-,0
