,player,position,Fantasy Points,FP deviation
65,Jarius Wright,WR,1.48666666667,2.52319902769
159,Bradley Marquez,WR,1.44,1.09425773929
121,James Wright,WR,1.3375,1.08099876657
86,Justin Hunter,WR,1.16333333333,0.617440955342
186,Tyreek Hill,WR,1.1325,0.889957864171
90,Nick Williams,WR,1.1,
191,Jalin Marshall,WR,1.09333333333,0.993243843844
181,Ricardo Louis,WR,1.0375,0.763473422371
188,Robby Anderson,WR,0.9625,0.893285135516
74,Josh Bellamy,WR,0.96,0.749533188058
48,Bryan Walters,WR,0.88,0.579827560573
157,Lucky Whitehead,WR,0.8225,0.526901319034
175,Aaron Burbridge,WR,0.8025,0.550961281156
164,Chris Moore,WR,0.765,0.584608130859
113,Devin Street,WR,0.67,
73,Griff Whalen,WR,0.65,
136,Keith Mumphery,WR,0.59,0.838629834909
69,Deonte Thompson,WR,0.426666666667,0.16041612554
0,Andre Caldwell,WR,0.4,0.692820323028
112,DeAnthony Thomas,WR,0.39,0.0989949493661
115,Jeff Janis,WR,0.3875,0.467288276478
75,Brenton Bersin,WR,0.376666666667,0.453468117218
176,Jordan Payton,WR,0.37,0.466690475583
96,Russell Shepard,WR,0.335,0.059160797831
185,Jakeem Grant,WR,0.305,0.451700490738
190,Roger Lewis,WR,0.255,0.360624458405
182,Charone Peake,WR,0.245,0.332340187158
170,Cody Core,WR,0.24,0.325269119346
177,Trevor Davis,WR,0.235,0.332340187158
183,Demarcus Robinson,WR,0.2175,0.334103277446
189,Alex Erickson,WR,0.2125,0.204185373293
95,Rashad Ross,WR,0.21,0.400249921924
192,Nelson Spruce,WR,0.13,0.225166604984
193,Tommylee Lewis,WR,0.085,0.120208152802
14,Brandon Tate,WR,0.0766666666667,0.107857931249
132,Taylor Gabriel,WR,0.025,0.0353553390593
39,Devin Hester,WR,0.0175,0.0206155281281
111,Walt Powell,WR,0.01,0.0141421356237
156,Cameron Meredith,WR,0.01,0.0141421356237
40,Eric Weems,WR,0.0075,0.015
184,Anthony Dable,WR,0.0,
32,Dwayne Bowe,WR,0.0,
50,Jeremy Ross,WR,0.0,
42,James Jones,WR,0.0,
17,Riley Cooper,WR,0.0,
8,Matt Slater,WR,0.0,
2,Jerome Simpson,WR,0.0,
47,Vincent Brown,WR,0.0,
142,Vince Mayle,WR,0.0,
60,Keshawn Martin,WR,0.0,
158,Chris Harper,WR,0.0,
129,Corey Washington,WR,0.0,
127,Kain Colter,WR,0.0,
123,Jonathan Krause,WR,0.0,
119,T.J. Jones,WR,0.0,
152,Geremy Davis,WR,0.0,
