Player,Team,Games Played,Receptions,Receiving Yards,Yards / Reception,Receiving Yards / Game,Yards after Catch,Receiving Touchdowns,Longest Reception,Receptions of 25+ Yards,100 Yard Games,Targets,Drops,% Caught,Fumbles,Fumbles Lost,First Downs Receiving,First Down %
"Williams, Terrance",DAL,16,44,736,16.7,46.0,222,5,82,9,1,74,3,59.5%,1,1,31,70.5%
"Simpson, Jerome",MIN,16,48,726,15.1,45.4,190,1,51,8,2,100,1,48.0%,1,0,35,72.9%
"Jones, Marvin",CIN,16,51,712,14.0,44.5,231,10,45,8,1,80,3,63.8%,0,0,36,70.6%
"White, Roddy",ATL,13,63,711,11.3,54.7,130,3,39,3,2,97,5,64.9%,2,1,37,58.7%
"Moore, Denarius",OAK,13,46,695,15.1,53.5,265,5,73,6,1,86,6,53.5%,0,0,36,78.3%
"Charles, Jamaal",KC,15,70,693,9.9,46.2,672,7,71,4,1,104,8,67.3%,0,0,32,45.7%
"Boykin, Jarrett",GB,16,49,681,13.9,42.6,260,3,52,7,2,83,2,59.0%,0,0,34,69.4%
"Bowe, Dwayne",KC,15,57,673,11.8,44.9,201,5,34,3,0,103,4,55.3%,0,0,39,68.4%
"Cook, Jared",STL,16,51,671,13.2,41.9,277,5,47,7,1,86,6,59.3%,1,1,34,66.7%
"Chandler, Scott",BUF,16,53,655,12.4,40.9,278,2,33,5,0,81,4,65.4%,1,1,26,49.1%
"Stills, Kenny",NO,16,32,641,20.0,40.1,196,5,76,6,1,50,2,64.0%,0,0,24,75.0%
"Amendola, Danny",NE,12,54,633,11.7,52.8,291,2,57,4,3,83,4,65.1%,0,0,37,68.5%
"Royal, Eddie",SD,15,47,631,13.4,42.1,363,8,54,6,0,67,3,70.1%,0,0,33,70.2%
"LaFell, Brandon",CAR,16,49,627,12.8,39.2,277,5,79,4,1,86,6,57.0%,1,0,31,63.3%
"Randle, Rueben",NYG,16,41,611,14.9,38.2,214,6,37,6,1,79,4,51.9%,1,0,28,68.3%
"Fleener, Coby",IND,16,52,608,11.7,38.0,264,4,44,5,1,87,2,59.8%,1,0,32,61.5%
