Player,Team,Games Played,Total Tackles,Solo Tackles,Assisted Tackles,Sacks,Sack Yards,Interceptions,Interception Yards,Interception Touchdowns,Interception Return Long,Forced Fumbles,Fumbles Recovered,Fumble Recovery Touchdowns,Passes Defensed,Safeties,Stuffs,Stuff Yards
"Cox, Fletcher",PHI,16,41,29,12,3.0,21,0,0,0,0,0,1,0,2,0,1.0,1.0
"Cooper, Marcus",KC,16,41,38,3,0.0,0,3,32,0,20,1,1,1,19,0,0.0,0.0
"Babin, Jason",JAX,16,40,31,9,7.5,55,0,0,0,0,3,0,0,1,0,5.5,19.0
"Ware, DeMarcus",DAL,13,40,28,12,6.0,40,1,0,0,0,0,1,0,2,0,3.5,11.5
"Kiwanuka, Mathias",NYG,16,40,24,16,6.0,38,0,0,0,0,2,0,0,2,0,2.5,5.0
"Long, Chris",STL,16,40,33,7,8.5,48,0,0,0,0,1,2,1,2,0,6.0,11.5
"Walker, Vance",OAK,15,40,29,11,3.0,15,0,0,0,0,0,0,0,0,0,3.5,6.5
"Galette, Junior",NO,16,40,28,12,12.0,83,0,0,0,0,1,2,0,2,0,5.0,9.5
"Dennard, Alfonzo",NE,13,40,34,6,0.0,0,1,0,0,0,0,0,0,8,0,0.0,0.0
"Irvin, Bruce",SEA,12,40,31,9,2.0,16,1,8,0,8,1,0,0,2,0,1.0,4.0
"Mingo, Barkevious",CLE,15,40,27,13,5.0,24,0,0,0,0,0,0,0,4,0,3.5,16.0
"Mitchell, Marvin",MIN,16,39,18,21,0.0,0,0,0,0,0,0,1,0,1,0,3.5,6.5
"Branch, Alan",BUF,16,39,21,18,0.0,0,0,0,0,0,0,0,0,1,0,2.5,6.0
"Dunbar, Jo-Lonn",STL,12,39,33,6,0.0,0,0,0,0,0,0,0,0,0,0,3.0,7.0
"Hood, Ziggy",PIT,16,39,26,13,3.0,17,0,0,0,0,0,1,0,0,0,1.0,1.0
"White, Corey",NO,16,39,27,12,0.0,0,1,43,0,43,1,1,0,6,0,0.0,0.0
"Robey, Nickell",BUF,16,39,30,9,3.0,23,1,19,1,19,1,1,0,10,0,2.0,4.0
"Reed, Ed",[],14,38,27,11,0.0,0,3,49,0,25,0,0,0,4,0,0.5,1.5
"Cromartie, Antonio",NYJ,16,38,35,3,0.0,0,3,20,0,20,1,0,0,9,0,0.0,0.0
"Williams, Mario",BUF,16,38,28,10,13.0,78,0,0,0,0,1,0,0,4,0,3.5,9.0
"Cox, Derek",SD,16,38,34,4,0.0,0,1,2,0,2,0,0,0,7,0,0.0,0.0
