Player,Team,Games Played,Kicking Points,Field Goals Made,Field Goals Attempted,Field Goal %,Longest Field Goal,Field Goals Made 0-19 YDs,Field Goals Made 20-29 YDs,Field Goals Made 30-39 YDs,Field Goals Made 40-49 YDs,Field Goals Made 50+,Extra Points Made,Extra Points Attempted,Extra Point %
"Gostkowski, Stephen",NE,16,158,38,41,92.7%,54,1,8,13,11,5,44,44,100.0%
"Prater, Matt",DEN,16,150,25,26,96.2%,64,2,4,5,8,6,75,75,100.0%
"Novak, Nick",SD,16,144,34,37,91.9%,50,1,9,13,9,2,42,42,100.0%
"Hauschka, Steven",SEA,16,143,33,35,94.3%,53,0,10,9,11,3,44,44,100.0%
"Crosby, Mason",GB,16,141,33,37,89.2%,57,1,13,8,6,5,42,42,100.0%
"Dawson, Phil",SF,16,140,32,36,88.9%,56,0,12,6,10,4,44,44,100.0%
"Tucker, Justin",BAL,16,140,38,41,92.7%,61,0,10,12,10,6,26,26,100.0%
"Vinatieri, Adam",IND,15,139,35,40,87.5%,52,0,6,10,15,4,34,34,100.0%
"Carpenter, Dan",BUF,16,131,33,36,91.7%,55,0,13,6,10,4,32,32,100.0%
"Bailey, Dan",DAL,16,131,28,30,93.3%,53,2,2,8,10,6,47,47,100.0%
"Suisham, Shaun",PIT,16,129,30,32,93.8%,48,0,9,13,8,0,39,39,100.0%
"Feely, Jay",ARZ,16,127,30,36,83.3%,52,0,9,7,11,3,37,37,100.0%
"Folk, Nick",NYJ,16,126,33,36,91.7%,54,0,8,10,12,3,27,27,100.0%
"Gould, Robbie",CHI,16,123,26,29,89.7%,58,0,11,6,6,3,45,46,97.8%
"Walsh, Blair",MIN,16,121,26,30,86.7%,54,0,7,12,5,2,43,44,97.7%
"Succop, Ryan",KC,16,118,22,28,78.6%,51,0,6,9,6,1,52,52,100.0%
"Bironas, Rob",TEN,16,116,25,29,86.2%,55,0,10,8,5,2,41,41,100.0%
"Gano, Graham",CAR,16,114,24,27,88.9%,55,0,9,4,5,6,42,42,100.0%
"Henery, Alex",PHI,16,114,23,28,82.1%,51,0,8,7,7,1,45,45,100.0%
"Zuerlein, Greg",STL,16,112,26,28,92.9%,54,0,7,10,8,1,34,34,100.0%
"Bryant, Matt",ATL,16,111,24,27,88.9%,53,0,9,7,5,3,39,39,100.0%
"Sturgis, Caleb",MIA,16,111,26,34,76.5%,54,1,4,10,8,3,33,33,100.0%
"Hartley, Garrett",NO,14,107,22,30,73.3%,55,2,5,5,9,1,41,41,100.0%
"Nugent, Mike",CIN,16,106,18,22,81.8%,54,0,2,6,7,3,52,53,98.1%
"Bullock, Randy",HOU,16,104,26,35,74.3%,51,1,7,5,12,1,26,26,100.0%
"Janikowski, Sebastian",OAK,16,100,21,30,70.0%,53,0,6,4,8,3,37,37,100.0%
"Lindell, Rian",TB,16,100,23,29,79.3%,54,0,3,12,4,4,31,31,100.0%
"Brown, Josh",NYG,16,100,23,26,88.5%,52,0,8,7,7,1,31,31,100.0%
"Akers, David",DET,16,99,19,24,79.2%,53,1,5,6,4,3,42,43,97.7%
"Cundiff, Billy",CLE,16,95,21,26,80.8%,51,0,7,5,7,2,32,32,100.0%
"Scobee, Josh",JAX,16,91,23,25,92.0%,55,0,3,12,4,4,22,23,95.7%
"Forbath, Kai",WSH,13,80,18,22,81.8%,50,0,3,10,4,1,26,26,100.0%
"Potter, John",WSH,3,16,3,4,75.0%,43,0,2,0,1,0,7,7,100.0%
"Graham, Shayne",NO,2,13,2,2,100.0%,40,0,1,0,1,0,7,7,100.0%
"Lanning, Spencer",CLE,16,1,0,0,-,0,0,0,0,0,0,1,1,100.0%
"Lechler, Shane",HOU,16,0,0,0,-,0,0,0,0,0,0,0,0,-
"Brady, Tom",NE,16,0,0,0,-,0,0,0,0,0,0,0,0,-
"Moorman, Brian",BUF,11,0,0,0,-,0,0,0,0,0,0,0,0,-
"Zastudil, Dave",ARZ,16,0,0,0,-,0,0,0,0,0,0,0,0,-
"Scifres, Mike",SD,16,0,0,0,-,0,0,0,0,0,0,0,0,-
"McBriar, Mat",PIT,9,0,0,0,-,0,0,0,0,0,0,0,0,-
"Roethlisberger, Ben",PIT,16,0,0,0,-,0,0,0,0,0,0,0,0,-
"Lee, Andy",SF,16,0,0,0,-,0,0,0,0,0,0,0,0,-
"Jones, Donnie",PHI,16,0,0,0,-,0,0,0,0,0,0,0,0,-
"Koenen, Michael",TB,16,0,0,0,-,0,0,0,0,0,0,0,0,-
"Colquitt, Dustin",KC,16,0,0,0,-,0,0,0,0,0,0,0,0,-
"Weatherford, Steve",NYG,16,0,0,0,-,0,0,0,0,0,0,0,0,-
"Koch, Sam",BAL,16,0,0,0,-,0,0,0,0,0,0,0,0,-
"Ryan, Jon",SEA,16,0,0,0,-,0,0,0,0,0,0,0,0,-
"Fields, Brandon",MIA,16,0,0,0,-,0,0,0,0,0,0,0,0,-
