Player,Team,Games Played,All Purpose Yards,Yards From Scrimmage,Yards From Scrimmage / Game,Touchdowns,Total Yards,Rushing Yards,Rushing Yards / Attempt,Rushing Yards / Game,Rushing Touchdowns,Receiving Yards,Yards / Reception,Receiving Yards / Game,Receiving Touchdowns
"Rice, Sidney",SEA,8,231,231,28.9,3,231,-,-,-,-,231,15.4,28.9,3
"Whalen, Griff",IND,9,385,259,28.8,2,385,-,-,-,-,259,10.8,28.8,2
"Johnson, Dennis",HOU,8,380,229,28.6,0,380,183,3.7,22.9,0,46,5.8,5.8,0
"Clark, Dallas",BAL,12,343,343,28.6,3,343,-,-,-,-,343,11.1,28.6,3
"Hill, Stephen",NYJ,12,342,342,28.5,1,342,-,-,-,-,342,14.3,28.5,1
"Smith, Alex",KC,15,427,427,28.5,1,3740,431,5.7,28.7,1,-4,-4.0,-0.3,0
"Matthews, Rishard",MIA,16,448,448,28.0,2,448,-,-,-,-,448,10.9,28.0,2
"Avant, Jason",PHI,16,447,447,27.9,2,447,-,-,-,-,447,11.8,27.9,2
"Miller, Zach",SEA,14,387,387,27.6,5,387,-,-,-,-,387,11.7,27.6,5
"Golden, Brittan",ARZ,5,136,136,27.2,0,136,-,-,-,-,136,34.0,27.2,0
"Snelling, Jason",ATL,14,403,380,27.1,4,403,164,3.7,11.7,1,216,7.5,15.4,3
"Wright, Jarius",MIN,16,443,434,27.1,3,443,-,-,-,-,434,16.7,27.1,3
"Cumberland, Jeff",NYJ,15,398,398,26.5,4,398,-,-,-,-,398,15.3,26.5,4
"Gerhart, Toby",MIN,14,477,371,26.5,2,477,283,7.9,20.2,2,88,6.8,6.3,0
"Carlson, John",MIN,13,357,344,26.5,1,357,-,-,-,-,344,10.8,26.5,1
"Beasley, Cole",DAL,14,447,368,26.3,2,447,-,-,-,-,368,9.4,26.3,2
"Bess, Davone",CLE,14,381,362,25.9,2,381,-,-,-,-,362,8.6,25.9,2
"Jernigan, Jerrel",NYG,15,632,386,25.7,3,632,57,28.5,3.8,1,329,11.3,21.9,2
"Rivera, Mychal",OAK,16,410,407,25.4,4,410,-,-,-,-,407,10.7,25.4,4
"Hunter, Justin",TEN,14,354,354,25.3,4,354,-,-,-,-,354,19.7,25.3,4
"Hawkins, Andrew",CIN,8,202,202,25.3,0,202,3,1.5,0.4,0,199,16.6,24.9,0
"Pettis, Austin",STL,16,436,399,24.9,4,436,-,-,-,-,399,10.5,24.9,4
"Brown, Bryce",PHI,16,398,398,24.9,2,398,314,4.2,19.6,2,84,10.5,5.3,0
"Goodwin, Marquise",BUF,12,647,296,24.7,3,647,13,4.3,1.1,0,283,16.7,23.6,3
