Team,G,Sack,FR,INT,DefTD,PA,PaYd/G,RuYd/G,Safety,KickTD,Home or Away,Opponent,Week
Minnesota Vikings,1,1,2,2,1,31,282.0,129.0,0,1,Home,Chicago Bears,2
Tampa Bay Buccaneers,1,4,0,2,1,16,296.0,75.0,0,0,Away,New Orleans Saints,2
Tennessee Titans,1,2,0,2,1,30,280.0,172.0,1,0,Home,Houston Texans,2
Denver Broncos,1,1,0,4,0,23,353.0,23.0,0,1,Home,New York Giants,2
Chicago Bears,1,1,2,1,1,30,227.0,123.0,0,0,Away,Minnesota Vikings,2
Seattle Seahawks,1,3,2,3,0,3,107.0,100.0,0,0,Away,San Francisco 49ers,2
New England Patriots,1,4,1,3,0,10,189.0,129.0,0,0,Away,New York Jets,2
Detroit Lions,1,1,0,1,1,25,261.0,87.0,0,0,Home,Arizona Cardinals,2
Atlanta Falcons,1,0,0,1,1,24,352.0,69.0,0,0,Away,St. Louis Rams,2
Buffalo Bills,1,6,0,1,0,23,183.0,125.0,0,0,Away,Carolina Panthers,2
San Francisco 49ers,1,4,0,1,0,29,118.0,172.0,1,0,Home,Seattle Seahawks,2
Indianapolis Colts,1,5,1,0,0,24,297.0,101.0,0,0,Away,Miami Dolphins,2
Oakland Raiders,1,5,0,0,0,9,214.0,34.0,0,0,Away,Jacksonville Jaguars,2
Baltimore Ravens,1,5,0,0,0,6,194.0,65.0,0,0,Away,Cleveland Browns,2
Kansas City Chiefs,1,3,2,0,0,16,281.0,37.0,0,0,Away,Dallas Cowboys,2
Washington Redskins,1,4,1,0,0,38,441.0,139.0,0,0,Home,Green Bay Packers,2
Houston Texans,1,4,0,0,0,24,129.0,119.0,0,0,Away,Tennessee Titans,2
Jacksonville Jaguars,1,3,1,0,0,19,114.0,226.0,0,0,Home,Oakland Raiders,2
Miami Dolphins,1,3,0,1,0,20,315.0,133.0,0,0,Home,Indianapolis Colts,2
Cincinnati Bengals,1,2,1,1,0,10,234.0,44.0,0,0,Away,Pittsburgh Steelers,2
Dallas Cowboys,1,4,0,0,0,17,199.0,114.0,0,0,Home,Kansas City Chiefs,2
Philadelphia Eagles,1,1,2,0,0,33,413.0,126.0,0,0,Away,San Diego Chargers,2
Carolina Panthers,1,1,1,1,0,24,287.0,149.0,0,0,Home,Buffalo Bills,2
Cleveland Browns,1,2,1,0,0,14,197.0,99.0,0,0,Home,Baltimore Ravens,2
New Orleans Saints,1,1,1,1,0,14,113.0,160.0,0,0,Home,Tampa Bay Buccaneers,2
Arizona Cardinals,1,1,1,0,0,21,273.0,49.0,0,0,Away,Detroit Lions,2
Green Bay Packers,1,1,0,1,0,20,314.0,108.0,0,0,Away,Washington Redskins,2
San Diego Chargers,1,1,1,0,0,30,422.0,89.0,0,0,Home,Philadelphia Eagles,2
St. Louis Rams,1,2,0,0,0,31,357.0,36.0,0,0,Home,Atlanta Falcons,2
New York Jets,1,1,0,0,0,13,178.0,54.0,0,0,Home,New England Patriots,2
New York Giants,1,0,1,0,0,41,307.0,109.0,0,0,Away,Denver Broncos,2
Pittsburgh Steelers,1,0,0,0,0,20,280.0,127.0,0,0,Home,Cincinnati Bengals,2
