Team,G,Sack,FR,INT,DefTD,PA,PaYd/G,RuYd/G,Safety,KickTD,Home or Away,Opponent,Week
Carolina Panthers,1,9,0,1,1,20,231.0,76.0,0,0,Home,Atlanta Falcons,17
Cincinnati Bengals,1,2,0,3,1,17,175.0,47.0,0,0,Away,Baltimore Ravens,17
Seattle Seahawks,1,2,0,2,1,9,145.0,13.0,0,0,Away,St. Louis Rams,17
New York Giants,1,3,2,2,0,6,160.0,91.0,0,0,Away,Washington Redskins,17
Dallas Cowboys,1,5,1,0,0,24,229.0,137.0,0,0,Away,Philadelphia Eagles,17
Indianapolis Colts,1,3,1,1,0,10,308.0,42.0,0,0,Away,Jacksonville Jaguars,17
Pittsburgh Steelers,1,3,1,1,0,7,214.0,79.0,0,0,Away,Cleveland Browns,17
Chicago Bears,1,3,0,2,0,33,313.0,160.0,0,0,Away,Green Bay Packers,17
Minnesota Vikings,1,5,0,0,0,13,182.0,63.0,0,0,Away,Detroit Lions,17
Tennessee Titans,1,1,2,2,0,10,223.0,65.0,0,0,Away,Houston Texans,17
Detroit Lions,1,3,1,1,0,14,171.0,174.0,0,0,Home,Minnesota Vikings,17
Baltimore Ravens,1,0,0,4,0,34,281.0,111.0,0,0,Home,Cincinnati Bengals,17
Kansas City Chiefs,1,3,0,1,0,27,219.0,186.0,0,0,Home,San Diego Chargers,17
St. Louis Rams,1,4,0,0,0,27,158.0,111.0,0,0,Home,Seattle Seahawks,17
New England Patriots,1,4,0,0,0,20,224.0,169.0,0,0,Away,Buffalo Bills,17
Washington Redskins,1,1,1,2,0,20,156.0,122.0,0,0,Home,New York Giants,17
New York Jets,1,0,0,3,0,7,204.0,92.0,0,0,Home,Miami Dolphins,17
Green Bay Packers,1,1,1,1,0,28,224.0,121.0,0,0,Home,Chicago Bears,17
Oakland Raiders,1,3,0,0,0,34,334.0,124.0,0,0,Away,Denver Broncos,17
Atlanta Falcons,1,1,1,1,0,21,149.0,134.0,0,0,Away,Carolina Panthers,17
Philadelphia Eagles,1,0,1,2,0,22,358.0,59.0,0,0,Home,Dallas Cowboys,17
San Francisco 49ers,1,1,1,1,0,20,399.0,83.0,0,0,Home,Arizona Cardinals,17
Cleveland Browns,1,1,0,2,0,20,172.0,120.0,0,0,Home,Pittsburgh Steelers,17
New Orleans Saints,1,2,0,1,0,17,215.0,75.0,0,0,Away,Tampa Bay Buccaneers,17
Denver Broncos,1,2,1,0,0,14,191.0,64.0,0,0,Home,Oakland Raiders,17
Arizona Cardinals,1,2,0,0,0,23,292.0,83.0,0,0,Away,San Francisco 49ers,17
Houston Texans,1,1,0,1,0,16,160.0,151.0,0,0,Home,Tennessee Titans,17
Buffalo Bills,1,1,0,1,0,34,115.0,267.0,0,0,Home,New England Patriots,17
San Diego Chargers,1,2,0,0,0,24,189.0,143.0,0,0,Away,Kansas City Chiefs,17
Jacksonville Jaguars,1,1,0,0,0,30,299.0,80.0,0,0,Home,Indianapolis Colts,17
Tampa Bay Buccaneers,1,1,0,0,0,42,370.0,98.0,0,0,Home,New Orleans Saints,17
Miami Dolphins,1,0,0,0,0,20,220.0,154.0,0,0,Away,New York Jets,17
