Team,G,Sack,FR,INT,DefTD,PA,PaYd/G,RuYd/G,Safety,KickTD,Home or Away,Opponent,Week
St. Louis Rams,1,5,2,2,2,13,267.0,153.0,0,0,Home,Houston Texans,6
Kansas City Chiefs,1,10,0,3,1,7,149.0,125.0,0,0,Away,Oakland Raiders,6
Dallas Cowboys,1,3,1,1,0,16,217.0,216.0,0,1,Away,Washington Redskins,6
Chicago Bears,1,1,0,3,1,21,232.0,123.0,0,0,Away,New York Giants,6
Tennessee Titans,1,2,2,0,1,20,253.0,151.0,0,0,Home,Seattle Seahawks,6
Jacksonville Jaguars,1,0,2,1,1,35,295.0,112.0,0,0,Home,Denver Broncos,6
Arizona Cardinals,1,2,1,1,0,32,238.0,149.0,1,0,Home,San Francisco 49ers,6
Cincinnati Bengals,1,5,1,0,0,24,192.0,130.0,0,0,Home,Buffalo Bills,6
New Orleans Saints,1,5,0,1,0,30,235.0,141.0,0,0,Home,New England Patriots,6
Green Bay Packers,1,5,1,0,0,17,313.0,47.0,0,0,Home,Baltimore Ravens,6
Pittsburgh Steelers,1,3,0,2,0,6,184.0,83.0,0,0,Home,New York Jets,6
Baltimore Ravens,1,3,1,1,0,19,298.0,140.0,0,0,Away,Green Bay Packers,6
Seattle Seahawks,1,3,0,2,0,13,157.0,66.0,0,0,Away,Tennessee Titans,6
Carolina Panthers,1,3,0,2,0,10,215.0,75.0,0,0,Home,Minnesota Vikings,6
San Francisco 49ers,1,1,2,2,0,20,294.0,109.0,0,0,Away,Arizona Cardinals,6
Buffalo Bills,1,3,0,1,0,27,318.0,165.0,0,0,Away,Cincinnati Bengals,6
Denver Broncos,1,2,0,2,0,19,291.0,71.0,0,0,Away,Jacksonville Jaguars,6
New York Jets,1,4,0,0,0,19,255.0,73.0,0,0,Away,Pittsburgh Steelers,6
Detroit Lions,1,2,0,2,0,17,269.0,126.0,0,0,Home,Cleveland Browns,6
Oakland Raiders,1,3,1,0,0,24,105.0,111.0,0,0,Home,Kansas City Chiefs,6
Philadelphia Eagles,1,2,0,1,0,20,257.0,94.0,0,0,Home,Tampa Bay Buccaneers,6
New England Patriots,1,1,1,1,0,27,230.0,131.0,0,0,Away,New Orleans Saints,6
Indianapolis Colts,1,2,0,0,0,19,227.0,147.0,0,0,Home,San Diego Chargers,6
San Diego Chargers,1,1,0,1,0,9,193.0,74.0,0,0,Away,Indianapolis Colts,6
Tampa Bay Buccaneers,1,1,1,0,0,31,287.0,138.0,0,0,Away,Philadelphia Eagles,6
Cleveland Browns,1,1,0,1,0,31,248.0,118.0,0,0,Away,Detroit Lions,6
Washington Redskins,1,1,0,1,0,31,165.0,48.0,0,0,Home,Dallas Cowboys,6
Minnesota Vikings,1,1,0,0,0,35,236.0,131.0,0,0,Away,Carolina Panthers,6
Houston Texans,1,0,0,0,0,38,117.0,99.0,0,0,Away,St. Louis Rams,6
New York Giants,1,0,0,0,0,27,262.0,110.0,0,0,Home,Chicago Bears,6
