Team,G,Sack,FR,INT,DefTD,PA,PaYd/G,RuYd/G,Safety,KickTD,Home or Away,Opponent,Week
Carolina Panthers,1,4,2,1,1,15,254.0,63.0,1,0,Away,St. Louis Rams,7
Buffalo Bills,1,2,1,2,1,21,173.0,120.0,0,0,Home,Miami Dolphins,7
San Francisco 49ers,1,3,1,1,1,17,298.0,70.0,0,0,Home,Tennessee Titans,7
New England Patriots,1,4,0,1,1,30,206.0,177.0,0,0,Home,New York Jets,7
New York Jets,1,4,0,1,1,27,205.0,90.0,0,0,Away,New England Patriots,7
Atlanta Falcons,1,3,1,0,1,23,226.0,111.0,0,0,Away,Tampa Bay Buccaneers,7
Seattle Seahawks,1,7,0,2,0,22,204.0,30.0,0,0,Home,Arizona Cardinals,7
Minnesota Vikings,1,2,1,0,0,23,193.0,64.0,0,1,Home,New York Giants,7
Washington Redskins,1,2,0,1,1,41,219.0,140.0,0,0,Away,Chicago Bears,7
Chicago Bears,1,1,0,1,0,45,290.0,209.0,0,1,Home,Washington Redskins,7
San Diego Chargers,1,6,0,1,0,6,275.0,78.0,0,0,Home,Jacksonville Jaguars,7
Indianapolis Colts,1,4,2,1,0,33,365.0,64.0,0,0,Away,Denver Broncos,7
Kansas City Chiefs,1,5,1,0,0,16,221.0,73.0,0,0,Away,Houston Texans,7
Dallas Cowboys,1,3,0,3,0,3,194.0,84.0,0,0,Home,Philadelphia Eagles,7
Arizona Cardinals,1,3,2,0,0,34,209.0,135.0,0,0,Away,Seattle Seahawks,7
Miami Dolphins,1,4,0,1,0,23,178.0,90.0,0,0,Away,Buffalo Bills,7
Denver Broncos,1,2,1,0,0,39,213.0,121.0,1,0,Home,Indianapolis Colts,7
Philadelphia Eagles,1,2,0,2,0,17,294.0,74.0,0,0,Away,Dallas Cowboys,7
Green Bay Packers,1,3,0,1,0,13,133.0,83.0,0,0,Away,Cleveland Browns,7
Houston Texans,1,2,1,1,0,17,231.0,126.0,0,0,Home,Kansas City Chiefs,7
Baltimore Ravens,1,3,1,0,0,19,145.0,141.0,0,0,Home,Pittsburgh Steelers,7
New York Giants,1,1,2,1,0,7,176.0,30.0,0,0,Away,Minnesota Vikings,7
St. Louis Rams,1,2,0,0,0,30,180.0,102.0,0,0,Home,Carolina Panthers,7
Tennessee Titans,1,2,0,0,0,31,196.0,153.0,0,0,Away,San Francisco 49ers,7
Pittsburgh Steelers,1,1,0,0,0,16,205.0,82.0,0,0,Away,Baltimore Ravens,7
Jacksonville Jaguars,1,1,0,0,0,24,276.0,158.0,0,0,Away,San Diego Chargers,7
Tampa Bay Buccaneers,1,0,1,0,0,31,273.0,18.0,0,0,Home,Atlanta Falcons,7
Cleveland Browns,1,1,0,0,0,31,253.0,104.0,0,0,Home,Green Bay Packers,7
Detroit Lions,1,1,0,0,0,27,364.0,57.0,0,0,Away,Cincinnati Bengals,7
Cincinnati Bengals,1,0,0,0,0,24,357.0,77.0,0,0,Home,Detroit Lions,7
