Team,G,Sack,FR,INT,DefTD,PA,PaYd/G,RuYd/G,Safety,KickTD,Home or Away,Opponent,Week
New England Patriots,1,4,1,3,2,7,237.0,121.0,0,0,Home,Baltimore Ravens,16
Cincinnati Bengals,1,4,1,3,1,14,94.0,115.0,0,0,Away,Minnesota Vikings,16
Philadelphia Eagles,1,5,1,1,1,11,196.0,61.0,0,0,Away,Chicago Bears,16
New York Giants,1,2,1,2,1,20,207.0,148.0,1,0,Home,Detroit Lions,16
Pittsburgh Steelers,1,3,1,1,1,31,219.0,151.0,0,0,Home,Green Bay Packers,16
Buffalo Bills,1,7,0,2,0,0,89.0,14.0,0,0,Away,Miami Dolphins,16
San Francisco 49ers,1,1,0,2,1,24,341.0,61.0,0,0,Away,Atlanta Falcons,16
St. Louis Rams,1,7,2,0,0,13,111.0,59.0,0,0,Away,Tampa Bay Buccaneers,16
Indianapolis Colts,1,4,2,2,0,7,132.0,155.0,0,0,Home,Kansas City Chiefs,16
Carolina Panthers,1,6,0,2,0,13,239.0,126.0,0,0,Away,New Orleans Saints,16
Arizona Cardinals,1,4,1,1,0,10,89.0,103.0,0,0,Home,Seattle Seahawks,16
Seattle Seahawks,1,2,0,4,0,17,168.0,139.0,0,0,Away,Arizona Cardinals,16
New York Jets,1,3,0,2,0,13,168.0,115.0,0,0,Away,Cleveland Browns,16
Chicago Bears,1,2,1,0,0,54,225.0,289.0,1,0,Home,Philadelphia Eagles,16
New Orleans Saints,1,4,0,1,0,17,141.0,81.0,0,0,Home,Carolina Panthers,16
Denver Broncos,1,3,0,2,0,13,153.0,87.0,0,0,Home,Houston Texans,16
Oakland Raiders,1,1,2,1,0,26,196.0,148.0,0,0,Home,San Diego Chargers,16
Jacksonville Jaguars,1,3,0,1,0,20,164.0,182.0,0,0,Away,Tennessee Titans,16
Washington Redskins,1,2,1,1,0,24,214.0,95.0,0,0,Away,Dallas Cowboys,16
Detroit Lions,1,2,1,1,0,23,238.0,41.0,0,0,Away,New York Giants,16
Green Bay Packers,1,1,1,1,0,38,192.0,151.0,0,0,Away,Pittsburgh Steelers,16
Atlanta Falcons,1,3,0,0,0,34,180.0,199.0,0,0,Home,San Francisco 49ers,16
San Diego Chargers,1,1,1,1,0,13,206.0,59.0,0,0,Away,Oakland Raiders,16
Minnesota Vikings,1,2,1,0,0,42,348.0,81.0,0,0,Home,Cincinnati Bengals,16
Tampa Bay Buccaneers,1,1,2,0,0,23,148.0,129.0,0,0,Home,St. Louis Rams,16
Tennessee Titans,1,2,0,1,0,16,226.0,63.0,0,0,Home,Jacksonville Jaguars,16
Baltimore Ravens,1,2,0,0,0,41,158.0,142.0,0,0,Away,New England Patriots,16
Miami Dolphins,1,1,0,1,0,19,187.0,203.0,0,0,Home,Buffalo Bills,16
Houston Texans,1,1,0,0,0,37,397.0,114.0,0,0,Away,Denver Broncos,16
Kansas City Chiefs,1,1,0,0,0,23,232.0,135.0,0,0,Away,Indianapolis Colts,16
Dallas Cowboys,1,0,0,1,0,23,197.0,100.0,0,0,Home,Washington Redskins,16
Cleveland Browns,1,0,0,0,0,24,214.0,208.0,0,0,Home,New York Jets,16
