Team,G,Sack,FR,INT,DefTD,PA,PaYd/G,RuYd/G,Safety,KickTD,Home or Away,Opponent,Week
Cincinnati Bengals,1,4,0,2,2,9,147.0,93.0,0,0,Away,New York Jets,8
Denver Broncos,1,3,1,4,1,21,154.0,112.0,0,0,Away,Washington Redskins,8
Washington Redskins,1,2,1,3,1,45,339.0,107.0,0,0,Home,Denver Broncos,8
New England Patriots,1,6,1,2,0,17,145.0,156.0,0,0,Away,Miami Dolphins,8
Green Bay Packers,1,3,0,0,0,31,132.0,111.0,0,1,Home,Minnesota Vikings,8
Arizona Cardinals,1,4,0,4,0,13,265.0,27.0,0,0,Away,Atlanta Falcons,8
Minnesota Vikings,1,2,0,0,0,44,282.0,182.0,0,1,Away,Green Bay Packers,8
Philadelphia Eagles,1,1,1,0,1,15,237.0,88.0,0,0,Away,New York Giants,8
San Francisco 49ers,1,0,1,0,1,10,228.0,90.0,0,0,Home,Jacksonville Jaguars,8
St. Louis Rams,1,7,0,0,0,14,91.0,44.0,0,0,Away,Seattle Seahawks,8
New Orleans Saints,1,4,2,1,0,17,211.0,88.0,0,0,Away,Buffalo Bills,8
New York Giants,1,4,1,2,0,7,153.0,48.0,0,0,Home,Philadelphia Eagles,8
Oakland Raiders,1,5,0,2,0,18,241.0,35.0,0,0,Away,Pittsburgh Steelers,8
Cleveland Browns,1,6,0,0,0,23,195.0,136.0,0,0,Home,Kansas City Chiefs,8
Seattle Seahawks,1,3,0,2,0,9,139.0,200.0,0,0,Home,St. Louis Rams,8
Dallas Cowboys,1,1,2,2,0,31,480.0,143.0,0,0,Home,Detroit Lions,8
Pittsburgh Steelers,1,2,1,2,0,21,82.0,197.0,0,0,Home,Oakland Raiders,8
Atlanta Falcons,1,3,0,1,0,27,147.0,201.0,0,0,Home,Arizona Cardinals,8
Miami Dolphins,1,3,0,1,0,27,100.0,152.0,0,0,Home,New England Patriots,8
Buffalo Bills,1,4,0,0,0,35,309.0,77.0,0,0,Home,New Orleans Saints,8
Carolina Panthers,1,3,1,0,0,13,249.0,48.0,0,0,Home,Tampa Bay Buccaneers,8
Tampa Bay Buccaneers,1,3,0,0,0,31,195.0,129.0,0,0,Away,Carolina Panthers,8
Kansas City Chiefs,1,1,1,0,0,17,283.0,57.0,0,0,Away,Cleveland Browns,8
New York Jets,1,1,0,1,0,49,323.0,79.0,0,0,Home,Cincinnati Bengals,8
Jacksonville Jaguars,1,0,1,0,0,42,177.0,221.0,0,0,Away,San Francisco 49ers,8
Detroit Lions,1,0,0,0,0,30,206.0,62.0,0,0,Away,Dallas Cowboys,8
