Player,Team,G,FGM,FGA,FG%,EPM,EPA,Home or Away,Opponent
Connor Barth,Denver Broncos,1,5,5,100.0%,1,1,Home,San Diego Chargers
Dan Carpenter,Buffalo Bills,1,4,4,100.0%,1,1,Away,Green Bay Packers
Graham Gano,Carolina Panthers,1,4,5,80.0%,1,1,Away,Tampa Bay Buccaneers
Chandler Catanzaro,Arizona Cardinals,1,4,4,100.0%,0,0,Home,St. Louis Rams
Mike Nugent,Cincinnati Bengals,1,3,3,100.0%,3,3,Home,Cleveland Browns
Josh Scobee,Jacksonville Jaguars,1,4,5,80.0%,0,0,Home,Baltimore Ravens
Stephen Gostkowski,New England Patriots,1,2,2,100.0%,5,5,Away,Miami Dolphins
Matt Prater,Detroit Lions,1,3,3,100.0%,1,1,Away,Minnesota Vikings
Cody Parkey,Philadelphia Eagles,1,2,2,100.0%,3,3,Away,Dallas Cowboys
Ryan Succop,Tennessee Titans,1,3,3,100.0%,0,0,Away,New York Jets
Shaun Suisham,Pittsburgh Steelers,1,2,2,100.0%,3,3,Home,Atlanta Falcons
Dan Bailey,Dallas Cowboys,1,1,1,100.0%,5,5,Home,Philadelphia Eagles
Matt Bryant,Atlanta Falcons,1,2,2,100.0%,2,2,Away,Pittsburgh Steelers
Justin Tucker,Baltimore Ravens,1,2,4,50.0%,2,2,Away,Jacksonville Jaguars
Mason Crosby,Green Bay Packers,1,2,3,66.7%,1,1,Home,Buffalo Bills
Kai Forbath,Washington Redskins,1,2,2,100.0%,1,1,Home,New York Giants
Shayne Graham,New Orleans Saints,1,1,2,50.0%,4,4,Home,Chicago Bears
Sebastian Janikowski,Oakland Raiders,1,2,2,100.0%,1,1,Home,Kansas City Chiefs
Cairo Santos,Kansas City Chiefs,1,1,3,33.3%,4,4,Away,Oakland Raiders
Caleb Sturgis,Miami Dolphins,1,2,3,66.7%,1,1,Home,New England Patriots
Josh Brown,New York Giants,1,1,1,100.0%,3,3,Away,Washington Redskins
Greg Zuerlein,St. Louis Rams,1,2,2,100.0%,0,0,Away,Arizona Cardinals
Steve Hauschka,Seattle Seahawks,1,1,1,100.0%,2,2,Away,San Francisco 49ers
Patrick Murray,Tampa Bay Buccaneers,1,1,1,100.0%,2,2,Home,Carolina Panthers
Adam Vinatieri,Indianapolis Colts,1,1,1,100.0%,2,2,Away,Houston Texans
Randy Bullock,Houston Texans,1,1,1,100.0%,1,1,Home,Indianapolis Colts
Nick Folk,New York Jets,1,1,2,50.0%,1,1,Home,Tennessee Titans
Nick Novak,San Diego Chargers,1,1,3,33.3%,1,1,Away,Denver Broncos
Blair Walsh,Minnesota Vikings,1,0,3,0.0%,2,2,Home,Detroit Lions
Phil Dawson,San Francisco 49ers,1,0,0,0.0%,1,1,Home,Seattle Seahawks
Jay Feely,Chicago Bears,1,0,0,0.0%,1,1,Away,New Orleans Saints
