Player,Team,G,Tackle,Assist,Sack,PD,INT,FF,FR,Home or Away,Opponent
Jason Pierre-Paul,New York Giants,1,6,1,2.5,0,0,1,0,Away,Washington Redskins
Johnathan Hankins,New York Giants,1,5,1,2.5,0,0,1,0,Away,Washington Redskins
J.J. Watt,Houston Texans,1,5,1,2.0,1,0,0,0,Home,Indianapolis Colts
Devon Kennard,New York Giants,1,7,0,0.5,1,0,1,0,Away,Washington Redskins
Timmy Jernigan,Baltimore Ravens,1,3,1,2.0,0,0,0,0,Away,Jacksonville Jaguars
Mario Williams,Buffalo Bills,1,3,1,1.0,1,0,1,0,Away,Green Bay Packers
Connor Barwin,Philadelphia Eagles,1,5,4,1.0,0,0,0,0,Away,Dallas Cowboys
Jordan Hill,Seattle Seahawks,1,3,0,2.0,0,0,0,0,Away,San Francisco 49ers
John Jenkins,New Orleans Saints,1,7,0,1.0,0,0,0,0,Home,Chicago Bears
Frostee Rucker,Arizona Cardinals,1,4,0,1.0,0,0,1,0,Home,St. Louis Rams
Jeremy Mincey,Dallas Cowboys,1,2,1,2.0,0,0,0,0,Home,Philadelphia Eagles
Cornellius Carradine,San Francisco 49ers,1,2,0,2.0,0,0,0,0,Home,Seattle Seahawks
Tyrone Crawford,Dallas Cowboys,1,2,0,2.0,0,0,0,0,Home,Philadelphia Eagles
Bruce Irvin,Seattle Seahawks,1,5,0,1.0,1,0,0,0,Away,San Francisco 49ers
Jason Jones,Detroit Lions,1,2,2,1.0,0,0,1,0,Away,Minnesota Vikings
Carlos Dunlap,Cincinnati Bengals,1,5,1,1.0,0,0,0,0,Home,Cleveland Browns
Cedric Thornton,Philadelphia Eagles,1,3,4,1.0,0,0,0,0,Away,Dallas Cowboys
Charles Johnson,Carolina Panthers,1,3,1,0.5,0,0,1,0,Away,Tampa Bay Buccaneers
Ricky Lumpkin,Oakland Raiders,1,4,1,1.0,0,0,0,0,Home,Kansas City Chiefs
Jared Allen,Chicago Bears,1,4,0,0.0,2,0,0,1,Away,New Orleans Saints
Vinny Curry,Philadelphia Eagles,1,1,0,1.0,0,0,1,0,Away,Dallas Cowboys
Kony Ealy,Carolina Panthers,1,1,0,1.0,0,0,1,0,Away,Tampa Bay Buccaneers
Rob Ninkovich,New England Patriots,1,3,0,1.0,1,0,0,0,Away,Miami Dolphins
Sealver Siliga,New England Patriots,1,2,4,1.0,0,0,0,0,Away,Miami Dolphins
Desmond Bryant,Cleveland Browns,1,3,1,1.0,0,0,0,0,Away,Cincinnati Bengals
Ray McDonald,San Francisco 49ers,1,3,1,1.0,0,0,0,0,Home,Seattle Seahawks
Kevin Williams,Seattle Seahawks,1,3,1,1.0,0,0,0,0,Away,San Francisco 49ers
Aaron Donald,St. Louis Rams,1,3,0,1.0,0,0,0,0,Away,Arizona Cardinals
Letroy Guion,Green Bay Packers,1,3,0,1.0,0,0,0,0,Home,Buffalo Bills
Ricky Jean-Francois,Indianapolis Colts,1,3,0,1.0,0,0,0,0,Away,Houston Texans
Ndamukong Suh,Detroit Lions,1,2,2,1.0,0,0,0,0,Away,Minnesota Vikings
Damontre Moore,New York Giants,1,4,1,0.5,0,0,0,0,Away,Washington Redskins
Billy Winn,Cleveland Browns,1,3,1,0.0,0,0,1,0,Away,Cincinnati Bengals
Quinton Coples,New York Jets,1,2,0,1.0,0,0,0,0,Home,Tennessee Titans
Devin Taylor,Detroit Lions,1,2,0,1.0,0,0,0,0,Away,Minnesota Vikings
Brandon Thompson,Cincinnati Bengals,1,2,0,1.0,0,0,0,0,Home,Cleveland Browns
Vince Wilfork,New England Patriots,1,5,0,0.0,1,0,0,0,Away,Miami Dolphins
Kerry Wynn,New York Giants,1,5,2,0.0,0,0,0,0,Away,Washington Redskins
Cullen Jenkins,New York Giants,1,1,1,1.0,0,0,0,0,Away,Washington Redskins
George Johnson,Detroit Lions,1,1,1,1.0,0,0,0,0,Away,Minnesota Vikings
Al Woods,Tennessee Titans,1,1,1,1.0,0,0,0,0,Away,New York Jets
Geno Atkins,Cincinnati Bengals,1,1,0,1.0,0,0,0,0,Home,Cleveland Browns
Akiem Hicks,New Orleans Saints,1,1,0,1.0,0,0,0,0,Home,Chicago Bears
Jacquies Smith,Tampa Bay Buccaneers,1,2,2,0.5,0,0,0,0,Home,Carolina Panthers
Calais Campbell,Arizona Cardinals,1,4,1,0.0,0,0,0,0,Home,St. Louis Rams
Fletcher Cox,Philadelphia Eagles,1,2,1,0.0,0,0,0,1,Away,Dallas Cowboys
Mike Daniels,Green Bay Packers,1,4,1,0.0,0,0,0,0,Home,Buffalo Bills
Jaye Howard,Kansas City Chiefs,1,1,1,0.5,1,0,0,0,Away,Oakland Raiders
Akeem Spence,Tampa Bay Buccaneers,1,2,1,0.0,0,0,0,1,Home,Carolina Panthers
Vance Walker,Kansas City Chiefs,1,2,1,0.5,0,0,0,0,Away,Oakland Raiders
