Player,Team,G,ReceivingTarget,ReceivingRec,ReceivingYard,ReceivingTD,RushingAtt,RushingYard,RushingTD,Home or Away,Opponent,Week
Odell Beckham Jr.,New York Giants,1,12,8,148,2,1,0,0,Home,St. Louis Rams,16
Rueben Randle,New York Giants,1,6,6,132,1,0,0,0,Home,St. Louis Rams,16
Emmanuel Sanders,Denver Broncos,1,7,6,70,2,0,0,0,Home,Cincinnati Bengals,16
Torrey Smith,Baltimore Ravens,1,12,5,59,2,0,0,0,Home,Houston Texans,16
Mike Wallace,Miami Dolphins,1,5,5,58,2,0,0,0,Away,Minnesota Vikings,16
Riley Cooper,Philadelphia Eagles,1,7,5,53,2,0,0,0,Home,Washington Redskins,16
Jordy Nelson,Green Bay Packers,1,9,9,113,1,0,0,0,Home,Tampa Bay Buccaneers,16
Terrance Williams,Dallas Cowboys,1,2,2,52,2,0,0,0,Away,Indianapolis Colts,16
Eddie Royal,San Diego Chargers,1,12,10,94,1,0,0,0,Home,San Francisco 49ers,16
Bruce Ellington,San Francisco 49ers,1,4,1,8,1,3,12,1,Away,San Diego Chargers,16
Sammy Watkins,Buffalo Bills,1,7,3,75,1,0,0,0,Home,Oakland Raiders,16
Dez Bryant,Dallas Cowboys,1,5,5,73,1,0,0,0,Away,Indianapolis Colts,16
Antonio Brown,Pittsburgh Steelers,1,9,7,72,1,0,0,0,Away,Kansas City Chiefs,16
Alshon Jeffery,Chicago Bears,1,15,6,72,1,0,0,0,Away,Detroit Lions,16
Randall Cobb,Green Bay Packers,1,14,11,131,0,0,0,0,Home,Tampa Bay Buccaneers,16
DeSean Jackson,Washington Redskins,1,6,4,126,0,0,0,0,Away,Philadelphia Eagles,16
Jarius Wright,Minnesota Vikings,1,3,3,38,1,1,27,0,Home,Miami Dolphins,16
Greg Jennings,Minnesota Vikings,1,3,3,56,1,0,0,0,Home,Miami Dolphins,16
Demaryius Thomas,Denver Broncos,1,14,7,115,0,0,0,0,Home,Cincinnati Bengals,16
Doug Baldwin,Seattle Seahawks,1,11,7,113,0,0,0,0,Home,Arizona Cardinals,16
Robert Woods,Buffalo Bills,1,9,7,52,1,0,0,0,Home,Oakland Raiders,16
Malcom Floyd,San Diego Chargers,1,10,4,50,1,0,0,0,Home,San Francisco 49ers,16
Chris Givens,St. Louis Rams,1,1,1,47,1,0,0,0,Away,New York Giants,16
Julio Jones,Atlanta Falcons,1,8,7,107,0,0,0,0,Home,New Orleans Saints,16
Kenny Britt,St. Louis Rams,1,11,9,103,0,0,0,0,Away,New York Giants,16
Calvin Johnson,Detroit Lions,1,12,6,103,0,0,0,0,Home,Chicago Bears,16
Kenbrell Thompkins,Oakland Raiders,1,7,5,90,0,0,0,0,Away,Buffalo Bills,16
Cole Beasley,Dallas Cowboys,1,3,2,29,1,0,0,0,Away,Indianapolis Colts,16
Albert Wilson,Kansas City Chiefs,1,7,5,87,0,0,0,0,Home,Pittsburgh Steelers,16
Marques Colston,New Orleans Saints,1,10,6,80,0,0,0,0,Away,Atlanta Falcons,16
