Player,Team,G,FGM,FGA,FG%,EPM,EPA,Home or Away,Opponent
Dan Carpenter,Buffalo Bills,1,5,6,83.3%,2,2,Away,Miami Dolphins
Dan Bailey,Dallas Cowboys,1,4,4,100.0%,2,2,Home,Tennessee Titans
Justin Tucker,Baltimore Ravens,1,4,4,100.0%,2,2,Away,Pittsburgh Steelers
Chandler Catanzaro,Arizona Cardinals,1,4,4,100.0%,1,1,Home,New York Giants
Greg Zuerlein,St. Louis Rams,1,4,4,100.0%,1,1,Home,Tampa Bay Buccaneers
Randy Bullock,Houston Texans,1,3,4,75.0%,3,3,Home,Oakland Raiders
Stephen Gostkowski,New England Patriots,1,3,3,100.0%,3,3,Home,Minnesota Vikings
Nick Novak,San Diego Chargers,1,3,3,100.0%,3,3,Away,Seattle Seahawks
Cody Parkey,Philadelphia Eagles,1,3,4,75.0%,3,3,Home,Indianapolis Colts
Mason Crosby,Green Bay Packers,1,3,3,100.0%,2,2,Away,New York Jets
Kai Forbath,Washington Redskins,1,2,2,100.0%,5,5,Away,Jacksonville Jaguars
Graham Gano,Carolina Panthers,1,3,3,100.0%,1,1,Away,Detroit Lions
Adam Vinatieri,Indianapolis Colts,1,2,2,100.0%,3,3,Away,Philadelphia Eagles
Billy Cundiff,Cleveland Browns,1,2,2,100.0%,2,2,Away,New Orleans Saints
Phil Dawson,San Francisco 49ers,1,2,2,100.0%,2,2,Away,Chicago Bears
Nick Folk,New York Jets,1,1,1,100.0%,3,3,Home,Green Bay Packers
Shayne Graham,New Orleans Saints,1,1,1,100.0%,3,3,Home,Cleveland Browns
Brandon McManus,Denver Broncos,1,1,1,100.0%,3,3,Away,Kansas City Chiefs
Mike Nugent,Cincinnati Bengals,1,1,4,25.0%,3,3,Away,Atlanta Falcons
Shaun Suisham,Pittsburgh Steelers,1,2,2,100.0%,0,0,Home,Baltimore Ravens
Patrick Murray,Tampa Bay Buccaneers,1,1,2,50.0%,2,2,Away,St. Louis Rams
Cairo Santos,Kansas City Chiefs,1,1,2,50.0%,2,2,Home,Denver Broncos
Matt Bryant,Atlanta Falcons,1,1,1,100.0%,1,1,Home,Cincinnati Bengals
Robbie Gould,Chicago Bears,1,0,0,0.0%,4,4,Home,San Francisco 49ers
Josh Scobee,Jacksonville Jaguars,1,1,1,100.0%,1,1,Home,Washington Redskins
Caleb Sturgis,Miami Dolphins,1,1,1,100.0%,1,1,Home,Buffalo Bills
Ryan Succop,Tennessee Titans,1,1,1,100.0%,1,1,Away,Dallas Cowboys
Steve Hauschka,Seattle Seahawks,1,0,0,0.0%,3,3,Home,San Diego Chargers
Josh Brown,New York Giants,1,0,0,0.0%,2,2,Away,Arizona Cardinals
Sebastian Janikowski,Oakland Raiders,1,0,0,0.0%,2,2,Away,Houston Texans
Nate Freese,Detroit Lions,1,0,2,0.0%,1,1,Home,Carolina Panthers
Blair Walsh,Minnesota Vikings,1,0,1,0.0%,1,1,Away,New England Patriots
