Player,Team,G,RushingAtt,RushingYard,RushingTD,ReceivingTarget,ReceivingRec,ReceivingYard,ReceivingTD,Home or Away,Opponent,Week
Tre Mason,St. Louis Rams,1,14,117,2,4,3,47,1,Away,Oakland Raiders,13
Le'Veon Bell,Pittsburgh Steelers,1,21,95,1,11,8,159,0,Away,New Orleans Saints,13
C.J. Anderson,Denver Broncos,1,32,168,0,3,2,17,1,Home,Kansas City Chiefs,13
Joique Bell,Detroit Lions,1,23,91,2,2,2,16,0,Away,Chicago Bears,13
LeSean McCoy,Philadelphia Eagles,1,25,159,1,0,0,0,0,Home,Dallas Cowboys,13
Rashad Jennings,New York Giants,1,26,91,2,5,3,3,0,Home,Jacksonville Jaguars,13
DeMarco Murray,Dallas Cowboys,1,20,73,1,6,6,40,0,Away,Philadelphia Eagles,13
Arian Foster,Houston Texans,1,19,79,0,7,5,26,1,Away,Tennessee Titans,13
Dan Herron,Indianapolis Colts,1,8,88,1,2,2,8,0,Away,Washington Redskins,13
Lamar Miller,Miami Dolphins,1,13,56,1,3,2,11,0,Home,New York Jets,13
Roy Helu,Washington Redskins,1,1,5,0,4,4,61,1,Home,Indianapolis Colts,13
Justin Forsett,Baltimore Ravens,1,24,106,0,3,2,17,0,Away,San Diego Chargers,13
Mark Ingram,New Orleans Saints,1,23,122,0,2,2,-1,0,Home,Pittsburgh Steelers,13
Doug Martin,Tampa Bay Buccaneers,1,18,58,1,1,1,3,0,Away,Cincinnati Bengals,13
Jamaal Charles,Kansas City Chiefs,1,10,35,0,6,4,24,1,Away,Denver Broncos,13
Eddie Lacy,Green Bay Packers,1,21,98,0,3,2,17,0,Away,New England Patriots,13
Robert Turbin,Seattle Seahawks,1,4,8,0,2,2,47,1,Home,San Francisco 49ers,13
Marshawn Lynch,Seattle Seahawks,1,20,104,0,1,1,7,0,Home,San Francisco 49ers,13
Jonathan Stewart,Carolina Panthers,1,12,85,0,2,2,25,0,Home,Minnesota Vikings,13
Ryan Mathews,San Diego Chargers,1,12,40,1,2,1,6,0,Home,Baltimore Ravens,13
Chris Johnson,New York Jets,1,17,105,0,0,0,0,0,Away,Miami Dolphins,13
Steven Jackson,Atlanta Falcons,1,18,101,0,0,0,0,0,Away,Arizona Cardinals,13
Fred Jackson,Buffalo Bills,1,21,70,0,4,3,27,0,Away,Cleveland Browns,13
Alfred Morris,Washington Redskins,1,17,67,0,5,3,16,0,Home,Indianapolis Colts,13
Brandon Bolden,New England Patriots,1,3,17,1,0,0,0,0,Home,Green Bay Packers,13
Erik Lorig,New Orleans Saints,1,0,0,0,1,1,4,1,Home,Pittsburgh Steelers,13
Stepfan Taylor,Arizona Cardinals,1,0,0,0,2,1,3,1,Home,Atlanta Falcons,13
