Player,Team,G,ReceivingTarget,ReceivingRec,ReceivingYard,ReceivingTD,RushingAtt,RushingYard,RushingTD,Home or Away,Opponent,Week
Demaryius Thomas,Denver Broncos,1,13,10,87,3,0,0,0,Away,Miami Dolphins,12
Odell Beckham Jr.,New York Giants,1,11,10,146,2,1,-2,0,Away,Dallas Cowboys,12
Dez Bryant,Dallas Cowboys,1,9,7,86,2,0,0,0,Home,New York Giants,12
Anquan Boldin,San Francisco 49ers,1,12,9,137,1,0,0,0,Away,Washington Redskins,12
T.Y. Hilton,Indianapolis Colts,1,5,4,122,1,1,15,0,Away,Jacksonville Jaguars,12
Robert Woods,Buffalo Bills,1,11,9,118,1,0,0,0,Away,New York Jets,12
Jarvis Landry,Miami Dolphins,1,11,7,50,2,0,0,0,Home,Denver Broncos,12
Keenan Allen,San Diego Chargers,1,9,6,104,1,0,0,0,Away,St. Louis Rams,12
Stedman Bailey,St. Louis Rams,1,9,7,89,1,0,0,0,Home,San Diego Chargers,12
Steve Smith,Baltimore Ravens,1,6,4,89,1,0,0,0,Home,New Orleans Saints,12
Marques Colston,New Orleans Saints,1,4,4,82,1,0,0,0,Away,Baltimore Ravens,12
Joe Morgan,New Orleans Saints,1,1,1,62,0,1,67,0,Away,Baltimore Ravens,12
Julio Jones,Atlanta Falcons,1,13,5,68,1,0,0,0,Away,Cleveland Browns,12
Emmanuel Sanders,Denver Broncos,1,13,9,125,0,1,3,0,Away,Miami Dolphins,12
Cole Beasley,Dallas Cowboys,1,2,2,66,1,0,0,0,Home,New York Giants,12
Justin Hunter,Tennessee Titans,1,10,4,64,1,0,0,0,Home,Philadelphia Eagles,12
A.J. Green,Cincinnati Bengals,1,16,12,121,0,0,0,0,Home,Houston Texans,12
Josh Gordon,Cleveland Browns,1,16,8,120,0,0,0,0,Home,Atlanta Falcons,12
Vincent Jackson,Tampa Bay Buccaneers,1,9,5,117,0,0,0,0,Home,Chicago Bears,12
Louis Murphy,Tampa Bay Buccaneers,1,8,6,113,0,0,0,0,Home,Chicago Bears,12
Charles Johnson,Minnesota Vikings,1,11,3,52,1,0,0,0,Away,Green Bay Packers,12
Golden Tate,Detroit Lions,1,11,4,97,0,1,13,0,Home,New England Patriots,12
Mohamed Sanu,Cincinnati Bengals,1,7,5,48,1,1,1,0,Home,Houston Texans,12
Mike Evans,Tampa Bay Buccaneers,1,11,3,47,1,0,0,0,Home,Chicago Bears,12
James Jones,Oakland Raiders,1,6,5,47,1,0,0,0,Away,Kansas City Chiefs,12
Tavon Austin,St. Louis Rams,1,3,3,11,0,3,27,1,Home,San Diego Chargers,12
Greg Jennings,Minnesota Vikings,1,6,4,38,1,0,0,0,Away,Green Bay Packers,12
Brandon LaFell,New England Patriots,1,12,9,98,0,0,0,0,Away,Detroit Lions,12
Torrey Smith,Baltimore Ravens,1,6,5,98,0,0,0,0,Home,New Orleans Saints,12
Kenny Stills,New Orleans Saints,1,9,8,98,0,1,-2,0,Away,Baltimore Ravens,12
Roddy White,Atlanta Falcons,1,10,9,96,0,0,0,0,Away,Cleveland Browns,12
Mike Wallace,Miami Dolphins,1,5,4,35,1,0,0,0,Home,Denver Broncos,12
Andrew Hawkins,Cleveland Browns,1,5,5,93,0,0,0,0,Home,Atlanta Falcons,12
Julian Edelman,New England Patriots,1,15,11,89,0,0,0,0,Away,Detroit Lions,12
Alshon Jeffery,Chicago Bears,1,4,3,22,1,0,0,0,Away,Tampa Bay Buccaneers,12
Wes Welker,Denver Broncos,1,4,4,18,1,0,0,0,Away,Miami Dolphins,12
Jordan Matthews,Philadelphia Eagles,1,8,6,77,0,0,0,0,Away,Tennessee Titans,12
Jordy Nelson,Green Bay Packers,1,12,8,68,0,0,0,0,Home,Minnesota Vikings,12
Jeremy Kerley,New York Jets,1,5,5,66,0,0,0,0,Home,Buffalo Bills,12
Miles Austin,Cleveland Browns,1,8,6,64,0,0,0,0,Home,Atlanta Falcons,12
Eric Decker,New York Jets,1,8,4,63,0,0,0,0,Home,Buffalo Bills,12
Nate Washington,Tennessee Titans,1,6,4,63,0,0,0,0,Home,Philadelphia Eagles,12
John Brown,Arizona Cardinals,1,5,3,61,0,0,0,0,Home,Seattle Seahawks,12
Jeremy Maclin,Philadelphia Eagles,1,8,6,59,0,0,0,0,Away,Tennessee Titans,12
Randall Cobb,Green Bay Packers,1,5,4,58,0,0,0,0,Home,Minnesota Vikings,12
Michael Crabtree,San Francisco 49ers,1,7,5,58,0,0,0,0,Away,Washington Redskins,12
Calvin Johnson,Detroit Lions,1,10,4,58,0,0,0,0,Home,New England Patriots,12
Andre Holmes,Oakland Raiders,1,10,5,55,0,0,0,0,Away,Kansas City Chiefs,12
Marqise Lee,Jacksonville Jaguars,1,5,3,52,0,0,0,0,Home,Indianapolis Colts,12
Devin Hester,Atlanta Falcons,1,6,4,50,0,0,0,0,Away,Cleveland Browns,12
Eddie Royal,San Diego Chargers,1,6,6,50,0,0,0,0,Away,St. Louis Rams,12
Riley Cooper,Philadelphia Eagles,1,6,3,49,0,0,0,0,Away,Tennessee Titans,12
Ricardo Lockette,Seattle Seahawks,1,1,1,48,0,0,0,0,Away,Arizona Cardinals,12
Dwayne Bowe,Kansas City Chiefs,1,5,3,42,0,0,0,0,Home,Oakland Raiders,12
Brandon Gibson,Miami Dolphins,1,6,5,42,0,0,0,0,Home,Denver Broncos,12
Donte Moncrief,Indianapolis Colts,1,4,4,38,0,1,4,0,Away,Jacksonville Jaguars,12
Nick Toon,New Orleans Saints,1,5,3,42,0,0,0,0,Away,Baltimore Ravens,12
Brian Hartline,Miami Dolphins,1,2,2,39,0,0,0,0,Home,Denver Broncos,12
DeAndre Hopkins,Houston Texans,1,9,5,39,0,0,0,0,Away,Cincinnati Bengals,12
DeSean Jackson,Washington Redskins,1,5,2,39,0,0,0,0,Home,San Francisco 49ers,12
Kenny Britt,St. Louis Rams,1,6,2,37,0,0,0,0,Home,San Diego Chargers,12
Andre Johnson,Houston Texans,1,12,3,36,0,0,0,0,Away,Cincinnati Bengals,12
Rueben Randle,New York Giants,1,3,3,36,0,0,0,0,Away,Dallas Cowboys,12
Jeremy Ross,Detroit Lions,1,5,3,35,0,0,0,0,Home,New England Patriots,12
Sammy Watkins,Buffalo Bills,1,5,3,35,0,0,0,0,Away,New York Jets,12
Pierre Garcon,Washington Redskins,1,4,3,34,0,0,0,0,Home,San Francisco 49ers,12
Brandon Marshall,Chicago Bears,1,5,3,32,0,0,0,0,Away,Tampa Bay Buccaneers,12
Vincent Brown,Oakland Raiders,1,4,2,30,0,0,0,0,Away,Kansas City Chiefs,12
Malcom Floyd,San Diego Chargers,1,5,4,30,0,0,0,0,Away,St. Louis Rams,12
Kendall Wright,Tennessee Titans,1,6,1,28,0,0,0,0,Home,Philadelphia Eagles,12
Albert Wilson,Kansas City Chiefs,1,2,2,27,0,0,0,0,Home,Oakland Raiders,12
Jaron Brown,Arizona Cardinals,1,6,3,24,0,0,0,0,Home,Seattle Seahawks,12
Rishard Matthews,Miami Dolphins,1,3,2,24,0,0,0,0,Home,Denver Broncos,12
Brice Butler,Oakland Raiders,1,3,2,21,0,0,0,0,Away,Kansas City Chiefs,12
Damaris Johnson,Houston Texans,1,5,3,21,0,0,0,0,Away,Cincinnati Bengals,12
Jermaine Kearse,Seattle Seahawks,1,2,1,19,0,0,0,0,Away,Arizona Cardinals,12
Cordarrelle Patterson,Minnesota Vikings,1,2,2,18,0,0,0,0,Away,Green Bay Packers,12
Terrance Williams,Dallas Cowboys,1,2,1,18,0,0,0,0,Home,New York Giants,12
Hakeem Nicks,Indianapolis Colts,1,1,1,16,0,0,0,0,Away,Jacksonville Jaguars,12
Preston Parker,New York Giants,1,3,1,16,0,0,0,0,Away,Dallas Cowboys,12
Marlon Brown,Baltimore Ravens,1,1,1,14,0,0,0,0,Home,New Orleans Saints,12
Harry Douglas,Atlanta Falcons,1,4,2,14,0,0,0,0,Away,Cleveland Browns,12
Corey Fuller,Detroit Lions,1,2,1,13,0,0,0,0,Home,New England Patriots,12
Taylor Gabriel,Cleveland Browns,1,2,1,13,0,0,0,0,Home,Atlanta Falcons,12
Allen Hurns,Jacksonville Jaguars,1,4,1,13,0,0,0,0,Home,Indianapolis Colts,12
Davante Adams,Green Bay Packers,1,4,1,10,0,0,0,0,Home,Minnesota Vikings,12
Kevin Norwood,Seattle Seahawks,1,2,1,10,0,0,0,0,Away,Arizona Cardinals,12
Reggie Wayne,Indianapolis Colts,1,9,3,10,0,0,0,0,Away,Jacksonville Jaguars,12
Marquess Wilson,Chicago Bears,1,3,1,10,0,0,0,0,Away,Tampa Bay Buccaneers,12
Seyi Ajirotutu,San Diego Chargers,1,1,1,8,0,0,0,0,Away,St. Louis Rams,12
Frankie Hammond Jr.,Kansas City Chiefs,1,3,1,7,0,0,0,0,Home,Oakland Raiders,12
Andre Roberts,Washington Redskins,1,4,1,7,0,0,0,0,Home,San Francisco 49ers,12
Doug Baldwin,Seattle Seahawks,1,2,2,6,0,0,0,0,Away,Arizona Cardinals,12
Cecil Shorts,Jacksonville Jaguars,1,3,1,6,0,0,0,0,Home,Indianapolis Colts,12
Chris Hogan,Buffalo Bills,1,3,2,5,0,0,0,0,Away,New York Jets,12
Junior Hemingway,Kansas City Chiefs,1,2,1,4,0,0,0,0,Home,Oakland Raiders,12
Jacoby Jones,Baltimore Ravens,1,0,0,0,0,1,3,0,Home,New Orleans Saints,12
Percy Harvin,New York Jets,1,5,1,2,0,0,0,0,Home,Buffalo Bills,12
Danny Amendola,New England Patriots,1,1,0,0,0,0,0,0,Away,Detroit Lions,12
Travis Benjamin,Cleveland Browns,1,2,0,0,0,0,0,0,Home,Atlanta Falcons,12
Isaiah Burse,Denver Broncos,1,0,0,0,0,0,0,0,Away,Miami Dolphins,12
Michael Floyd,Arizona Cardinals,1,2,0,0,0,0,0,0,Home,Seattle Seahawks,12
Steve Johnson,San Francisco 49ers,1,1,0,0,0,0,0,0,Away,Washington Redskins,12
Brandon Lloyd,San Francisco 49ers,1,1,0,0,0,0,0,0,Away,Washington Redskins,12
Keshawn Martin,Houston Texans,1,1,0,0,0,0,0,0,Away,Cincinnati Bengals,12
Denarius Moore,Oakland Raiders,1,0,0,0,0,0,0,0,Away,Kansas City Chiefs,12
Kenbrell Thompkins,Oakland Raiders,1,1,0,0,0,0,0,0,Away,Kansas City Chiefs,12
James Wright,Cincinnati Bengals,1,2,0,0,0,0,0,0,Home,Houston Texans,12
Jarius Wright,Minnesota Vikings,1,1,0,0,0,0,0,0,Away,Green Bay Packers,12
