Player,Team,G,ReceivingTarget,ReceivingRec,ReceivingYard,ReceivingTD,RushingAtt,RushingYard,RushingTD,Home or Away,Opponent,Week
T.Y. Hilton,Indianapolis Colts,1,9,9,223,1,0,0,0,Home,Houston Texans,6
Andre Holmes,Oakland Raiders,1,8,4,121,2,0,0,0,Away,San Diego Chargers,6
Brandon LaFell,New England Patriots,1,6,4,97,2,0,0,0,Home,Buffalo Bills,6
Demaryius Thomas,Denver Broncos,1,12,10,124,1,0,0,0,Home,New York Jets,6
DeSean Jackson,Washington Redskins,1,5,3,115,1,1,5,0,Home,Arizona Cardinals,6
Mohamed Sanu,Cincinnati Bengals,1,15,11,120,1,0,0,0,Away,Carolina Panthers,6
Torrey Smith,Baltimore Ravens,1,5,4,51,2,0,0,0,Home,Tampa Bay Buccaneers,6
Steve Smith,Baltimore Ravens,1,6,5,110,1,0,0,0,Home,Tampa Bay Buccaneers,6
Jordy Nelson,Green Bay Packers,1,16,9,107,1,0,0,0,Home,Miami Dolphins,6
Malcom Floyd,San Diego Chargers,1,7,5,103,1,0,0,0,Home,Oakland Raiders,6
Andre Johnson,Houston Texans,1,12,7,99,1,0,0,0,Away,Indianapolis Colts,6
Larry Fitzgerald,Arizona Cardinals,1,6,6,98,1,0,0,0,Away,Washington Redskins,6
Anquan Boldin,San Francisco 49ers,1,9,7,94,1,0,0,0,Home,St. Louis Rams,6
Brandon Lloyd,San Francisco 49ers,1,1,1,80,1,0,0,0,Home,St. Louis Rams,6
Robert Woods,Buffalo Bills,1,10,7,78,1,0,0,0,Away,New England Patriots,6
Alshon Jeffery,Chicago Bears,1,7,5,136,0,2,0,0,Home,Atlanta Falcons,6
Jarvis Landry,Miami Dolphins,1,8,6,75,1,0,0,0,Away,Green Bay Packers,6
Chris Hogan,Buffalo Bills,1,6,5,72,1,0,0,0,Away,New England Patriots,6
Louis Murphy,Tampa Bay Buccaneers,1,9,7,72,1,0,0,0,Away,Baltimore Ravens,6
Mike Wallace,Miami Dolphins,1,9,5,67,1,0,0,0,Away,Green Bay Packers,6
Brice Butler,Oakland Raiders,1,5,3,64,1,0,0,0,Away,San Diego Chargers,6
Randall Cobb,Green Bay Packers,1,7,5,58,1,1,1,0,Home,Miami Dolphins,6
Antonio Brown,Pittsburgh Steelers,1,10,7,118,0,1,-2,0,Home,Cleveland Browns,6
James Jones,Oakland Raiders,1,7,5,56,1,0,0,0,Away,San Diego Chargers,6
Mike Evans,Tampa Bay Buccaneers,1,8,4,55,1,0,0,0,Away,Baltimore Ravens,6
Eric Decker,New York Jets,1,10,6,54,1,0,0,0,Away,Denver Broncos,6
Brandon Marshall,Chicago Bears,1,9,6,113,0,0,0,0,Home,Atlanta Falcons,6
Kelvin Benjamin,Carolina Panthers,1,8,7,49,1,0,0,0,Home,Cincinnati Bengals,6
Michael Crabtree,San Francisco 49ers,1,8,3,49,1,0,0,0,Home,St. Louis Rams,6
Eddie Royal,San Diego Chargers,1,2,2,49,1,0,0,0,Home,Oakland Raiders,6
Michael Floyd,Arizona Cardinals,1,7,4,47,1,0,0,0,Away,Washington Redskins,6
