Player,Team,G,Tackle,Assist,Sack,PD,INT,FF,FR,Home or Away,Opponent
Telvin Smith,Jacksonville Jaguars,1,3,1,1.0,2,1,1,0,Away,Cleveland Browns
Whitney Mercilus,Houston Texans,1,3,2,2.0,1,0,1,0,Home,Pittsburgh Steelers
Lawrence Timmons,Pittsburgh Steelers,1,11,1,1.0,0,0,0,0,Away,Houston Texans
Chad Greenway,Minnesota Vikings,1,7,8,0.0,1,0,1,0,Home,Buffalo Bills
Dont'a Hightower,New England Patriots,1,9,4,1.0,0,0,0,0,Away,New York Jets
Curtis Lofton,New Orleans Saints,1,13,3,0.0,0,0,0,0,Home,Detroit Lions
Paul Posluszny,Jacksonville Jaguars,1,5,7,1.0,0,0,0,1,Away,Cleveland Browns
Anthony Barr,Minnesota Vikings,1,8,2,0.0,1,0,0,2,Home,Buffalo Bills
Derrick Morgan,Tennessee Titans,1,6,1,1.0,0,0,1,0,Home,Washington Redskins
Pernell McPhee,Baltimore Ravens,1,2,0,2.0,0,0,1,0,Away,Atlanta Falcons
Malcolm Smith,Seattle Seahawks,1,10,0,0.0,0,0,1,0,Home,St. Louis Rams
Elvis Dumervil,Baltimore Ravens,1,2,0,2.0,0,0,0,1,Away,Atlanta Falcons
Christian Kirksey,Cleveland Browns,1,7,2,1.0,0,0,0,0,Home,Jacksonville Jaguars
Chris Borland,San Francisco 49ers,1,7,1,1.0,0,0,0,0,Home,Denver Broncos
Vincent Rey,Cincinnati Bengals,1,7,9,0.0,0,0,0,0,Home,Indianapolis Colts
Daryl Smith,Baltimore Ravens,1,8,5,0.0,1,0,0,0,Away,Atlanta Falcons
Wesley Woodyard,Tennessee Titans,1,4,3,0.0,1,1,0,0,Home,Washington Redskins
Thomas Davis,Carolina Panthers,1,7,0,1.0,0,0,0,0,Home,Green Bay Packers
Justin Durant,Dallas Cowboys,1,4,4,0.0,0,0,1,1,Away,New York Giants
Joplo Bartu,Atlanta Falcons,1,6,9,0.0,0,0,0,0,Home,Baltimore Ravens
Khalil Mack,Oakland Raiders,1,10,1,0.0,0,0,0,0,Away,Arizona Cardinals
Keenan Robinson,Washington Redskins,1,7,7,0.0,0,0,0,0,Away,Tennessee Titans
Paul Worrilow,Atlanta Falcons,1,3,7,1.0,0,0,0,0,Home,Baltimore Ravens
Jamie Collins,New England Patriots,1,7,6,0.0,0,0,0,0,Away,New York Jets
Tamba Hali,Kansas City Chiefs,1,3,0,1.0,0,0,1,0,Home,San Diego Chargers
Jerry Hughes,Buffalo Bills,1,3,2,1.5,0,0,0,0,Away,Minnesota Vikings
Von Miller,Denver Broncos,1,2,0,2.0,0,0,0,0,Away,San Francisco 49ers
DeAndre Levy,Detroit Lions,1,8,3,0.0,0,0,0,0,Away,New Orleans Saints
Julius Peppers,Green Bay Packers,1,2,3,1.5,0,0,0,0,Away,Carolina Panthers
Brandon Marshall,Denver Broncos,1,8,0,0.0,1,0,0,0,Away,San Francisco 49ers
Karlos Dansby,Cleveland Browns,1,3,3,1.0,0,0,0,0,Home,Jacksonville Jaguars
K.J. Wright,Seattle Seahawks,1,7,3,0.0,0,0,0,0,Home,St. Louis Rams
Larry Foote,Arizona Cardinals,1,4,0,1.0,0,0,0,0,Home,Oakland Raiders
Chandler Jones,New England Patriots,1,4,0,1.0,0,0,0,0,Away,New York Jets
Koa Misi,Miami Dolphins,1,6,0,0.0,0,0,0,1,Home,Chicago Bears
Donald Butler,San Diego Chargers,1,5,5,0.0,0,0,0,0,Away,Kansas City Chiefs
Junior Galette,New Orleans Saints,1,3,1,1.0,0,0,0,0,Home,Detroit Lions
Justin Houston,Kansas City Chiefs,1,3,1,1.0,0,0,0,0,Home,San Diego Chargers
Luke Kuechly,Carolina Panthers,1,7,1,0.0,0,0,0,0,Home,Green Bay Packers
Sean Spence,Pittsburgh Steelers,1,5,1,0.0,0,0,0,1,Away,Houston Texans
Jason Worilds,Pittsburgh Steelers,1,4,1,0.0,0,0,1,0,Away,Houston Texans
Jarret Johnson,San Diego Chargers,1,2,2,1.0,0,0,0,0,Away,Kansas City Chiefs
Michael Wilhoite,San Francisco 49ers,1,7,0,0.0,0,0,0,0,Home,Denver Broncos
Nigel Bradham,Buffalo Bills,1,6,1,0.0,0,0,0,0,Away,Minnesota Vikings
Parys Haralson,New Orleans Saints,1,2,1,1.0,0,0,0,0,Home,Detroit Lions
David Harris,New York Jets,1,1,3,1.0,0,0,0,0,Home,New England Patriots
J.T. Thomas,Jacksonville Jaguars,1,6,1,0.0,0,0,0,0,Away,Cleveland Browns
Jacquian Williams,New York Giants,1,6,1,0.0,0,0,0,0,Home,Dallas Cowboys
Will Compton,Washington Redskins,1,5,2,0.0,0,0,0,0,Away,Tennessee Titans
Jerrell Freeman,Indianapolis Colts,1,4,2,0.0,1,0,0,0,Away,Cincinnati Bengals
