Player,Team,G,RushingAtt,RushingYard,RushingTD,ReceivingTarget,ReceivingRec,ReceivingYard,ReceivingTD,Home or Away,Opponent,Week
Arian Foster,Houston Texans,1,20,151,2,6,4,22,1,Home,Tennessee Titans,8
Jamaal Charles,Kansas City Chiefs,1,13,73,2,4,4,44,0,Away,St. Louis Rams,8
Mark Ingram,New Orleans Saints,1,24,172,1,2,1,3,0,Away,Green Bay Packers,8
Matt Forte,Chicago Bears,1,19,114,0,8,6,54,1,Home,New England Patriots,8
DeMarco Murray,Dallas Cowboys,1,19,141,0,4,4,80,0,Away,Washington Redskins,8
Lorenzo Taliaferro,Baltimore Ravens,1,7,27,2,3,2,42,0,Home,Cincinnati Bengals,8
Eddie Lacy,Green Bay Packers,1,13,59,0,9,8,123,0,Home,New Orleans Saints,8
Chris Ivory,New York Jets,1,13,43,2,2,0,0,0,Away,Buffalo Bills,8
Le'Veon Bell,Pittsburgh Steelers,1,24,92,0,7,6,56,0,Away,Indianapolis Colts,8
Ahmad Bradshaw,Indianapolis Colts,1,6,35,1,7,7,52,0,Home,Pittsburgh Steelers,8
Andre Ellington,Arizona Cardinals,1,23,71,1,6,3,14,0,Away,Philadelphia Eagles,8
Alfred Morris,Washington Redskins,1,18,73,1,1,1,12,0,Home,Dallas Cowboys,8
Juwan Thompson,Denver Broncos,1,7,24,2,1,0,0,0,Away,San Diego Chargers,8
Theo Riddick,Detroit Lions,1,3,5,0,12,8,74,1,Home,Atlanta Falcons,8
Ronnie Hillman,Denver Broncos,1,20,109,0,4,3,29,0,Away,San Diego Chargers,8
Steven Jackson,Atlanta Falcons,1,18,60,1,0,0,0,0,Away,Detroit Lions,8
Denard Robinson,Jacksonville Jaguars,1,18,108,0,2,1,10,0,Away,Miami Dolphins,8
Knile Davis,Kansas City Chiefs,1,16,49,1,1,0,0,0,Away,St. Louis Rams,8
Giovani Bernard,Cincinnati Bengals,1,16,45,1,2,2,2,0,Away,Baltimore Ravens,8
Lamar Miller,Miami Dolphins,1,14,78,0,3,3,21,0,Home,Jacksonville Jaguars,8
LeSean McCoy,Philadelphia Eagles,1,21,83,0,5,3,14,0,Home,Arizona Cardinals,8
Jonathan Stewart,Carolina Panthers,1,16,79,0,5,3,15,0,Away,Seattle Seahawks,8
Ben Tate,Cleveland Browns,1,15,26,1,1,1,8,0,Away,Oakland Raiders,8
Bilal Powell,New York Jets,1,4,28,1,0,0,0,0,Away,Buffalo Bills,8
Jonas Gray,New England Patriots,1,17,86,0,0,0,0,0,Away,Chicago Bears,8
Justin Forsett,Baltimore Ravens,1,17,68,0,5,3,17,0,Home,Cincinnati Bengals,8
Darren McFadden,Oakland Raiders,1,12,59,0,6,4,26,0,Home,Cleveland Browns,8
Jerick McKinnon,Minnesota Vikings,1,16,83,0,1,1,-1,0,Home,Tampa Bay Buccaneers,8
Devonta Freeman,Atlanta Falcons,1,3,5,0,1,1,7,1,Away,Detroit Lions,8
Bobby Rainey,Tampa Bay Buccaneers,1,8,25,0,6,6,41,0,Away,Minnesota Vikings,8
Alfred Blue,Houston Texans,1,14,42,0,1,1,22,0,Home,Tennessee Titans,8
Marshawn Lynch,Seattle Seahawks,1,14,62,0,4,1,2,0,Home,Carolina Panthers,8
Branden Oliver,San Diego Chargers,1,13,36,0,8,7,27,0,Home,Denver Broncos,8
Frank Summers,Buffalo Bills,1,1,2,1,0,0,0,0,Home,New York Jets,8
Joique Bell,Detroit Lions,1,14,39,0,3,2,22,0,Home,Atlanta Falcons,8
Bishop Sankey,Tennessee Titans,1,9,35,0,4,4,25,0,Away,Houston Texans,8
Jeremy Hill,Cincinnati Bengals,1,10,25,0,4,4,28,0,Away,Baltimore Ravens,8
Travaris Cadet,New Orleans Saints,1,1,7,0,5,4,40,0,Away,Green Bay Packers,8
Shane Vereen,New England Patriots,1,5,22,0,5,3,23,0,Away,Chicago Bears,8
Anthony Dixon,Buffalo Bills,1,22,44,0,0,0,0,0,Home,New York Jets,8
Roy Helu,Washington Redskins,1,5,29,0,2,2,14,0,Home,Dallas Cowboys,8
Robert Turbin,Seattle Seahawks,1,2,10,0,3,3,32,0,Home,Carolina Panthers,8
Dexter McCluster,Tennessee Titans,1,2,1,0,4,4,39,0,Away,Houston Texans,8
Leon Washington,Tennessee Titans,1,0,0,0,3,3,40,0,Away,Houston Texans,8
Zac Stacy,St. Louis Rams,1,5,17,0,4,3,20,0,Home,Kansas City Chiefs,8
Benny Cunningham,St. Louis Rams,1,4,27,0,1,1,8,0,Home,Kansas City Chiefs,8
Marcel Reece,Oakland Raiders,1,0,0,0,6,5,34,0,Home,Cleveland Browns,8
Ka'Deem Carey,Chicago Bears,1,6,33,0,0,0,0,0,Home,New England Patriots,8
Tre Mason,St. Louis Rams,1,7,32,0,1,1,1,0,Home,Kansas City Chiefs,8
LeGarrette Blount,Pittsburgh Steelers,1,6,21,0,2,2,11,0,Away,Indianapolis Colts,8
Jacquizz Rodgers,Atlanta Falcons,1,1,2,0,3,3,28,0,Away,Detroit Lions,8
Daniel Thomas,Miami Dolphins,1,4,18,0,2,2,12,0,Home,Jacksonville Jaguars,8
Matt Asiata,Minnesota Vikings,1,4,1,0,5,4,26,0,Home,Tampa Bay Buccaneers,8
Doug Martin,Tampa Bay Buccaneers,1,10,27,0,2,2,-1,0,Away,Minnesota Vikings,8
Anthony Sherman,Kansas City Chiefs,1,0,0,0,1,1,24,0,Away,St. Louis Rams,8
Joseph Randle,Dallas Cowboys,1,3,23,0,0,0,0,0,Away,Washington Redskins,8
Will Johnson,Pittsburgh Steelers,1,0,0,0,2,2,22,0,Away,Indianapolis Colts,8
Kyle Juszczyk,Baltimore Ravens,1,0,0,0,1,1,21,0,Home,Cincinnati Bengals,8
Terrance West,Cleveland Browns,1,7,11,0,2,1,10,0,Away,Oakland Raiders,8
Chris Johnson,New York Jets,1,3,7,0,2,2,13,0,Away,Buffalo Bills,8
Lance Dunbar,Dallas Cowboys,1,1,6,0,2,1,11,0,Away,Washington Redskins,8
James White,New England Patriots,1,6,17,0,0,0,0,0,Away,Chicago Bears,8
Bryce Brown,Buffalo Bills,1,7,15,0,3,0,0,0,Home,New York Jets,8
Maurice Jones-Drew,Oakland Raiders,1,6,8,0,2,1,6,0,Home,Cleveland Browns,8
Chris Polk,Philadelphia Eagles,1,3,13,0,1,1,1,0,Home,Arizona Cardinals,8
De'Anthony Thomas,Kansas City Chiefs,1,1,-3,0,4,3,17,0,Away,St. Louis Rams,8
Toby Gerhart,Jacksonville Jaguars,1,4,10,0,1,1,3,0,Away,Miami Dolphins,8
Robert Hughes,Arizona Cardinals,1,0,0,0,2,2,13,0,Away,Philadelphia Eagles,8
Christine Michael,Seattle Seahawks,1,4,12,0,0,0,0,0,Home,Carolina Panthers,8
Darrel Young,Washington Redskins,1,0,0,0,1,1,12,0,Home,Dallas Cowboys,8
Ronnie Brown,San Diego Chargers,1,1,8,0,1,1,2,0,Home,Denver Broncos,8
Jordan Todman,Jacksonville Jaguars,1,2,10,0,2,2,0,0,Away,Miami Dolphins,8
Isaiah Crowell,Cleveland Browns,1,1,1,0,1,1,8,0,Away,Oakland Raiders,8
Chris Ogbonnaya,Carolina Panthers,1,1,9,0,0,0,0,0,Away,Seattle Seahawks,8
Erik Lorig,New Orleans Saints,1,2,3,0,1,1,5,0,Away,Green Bay Packers,8
Jonathan Grimes,Houston Texans,1,2,7,0,0,0,0,0,Home,Tennessee Titans,8
Dan Herron,Indianapolis Colts,1,1,2,0,1,1,5,0,Home,Pittsburgh Steelers,8
Jed Collins,Detroit Lions,1,2,5,0,0,0,0,0,Home,Atlanta Falcons,8
Silas Redd,Washington Redskins,1,1,5,0,0,0,0,0,Home,Dallas Cowboys,8
Antone Smith,Atlanta Falcons,1,3,5,0,0,0,0,0,Away,Detroit Lions,8
James Starks,Green Bay Packers,1,2,5,0,1,0,0,0,Home,New Orleans Saints,8
DuJuan Harris,Green Bay Packers,1,2,4,0,0,0,0,0,Home,New Orleans Saints,8
Austin Johnson,New Orleans Saints,1,2,1,0,1,1,2,0,Away,Green Bay Packers,8
George Winn,Detroit Lions,1,1,2,0,1,0,0,0,Home,Atlanta Falcons,8
Shonn Greene,Tennessee Titans,1,1,1,0,0,0,0,0,Away,Houston Texans,8
Mike James,Tampa Bay Buccaneers,1,1,1,0,0,0,0,0,Away,Minnesota Vikings,8
Darrin Reaves,Carolina Panthers,1,1,1,0,0,0,0,0,Away,Seattle Seahawks,8
C.J. Anderson,Denver Broncos,1,1,0,0,0,0,0,0,Away,San Diego Chargers,8
Dri Archer,Pittsburgh Steelers,1,0,0,0,1,0,0,0,Away,Indianapolis Colts,8
Patrick DiMarco,Atlanta Falcons,1,0,0,0,2,1,0,0,Away,Detroit Lions,8
