Player,Team,G,RushingAtt,RushingYard,RushingTD,ReceivingTarget,ReceivingRec,ReceivingYard,ReceivingTD,Home or Away,Opponent,Week
Jamaal Charles,Kansas City Chiefs,1,18,92,1,3,3,16,2,Away,New England Patriots,4
Matt Asiata,Minnesota Vikings,1,20,78,3,4,3,22,0,Away,Atlanta Falcons,4
DeMarco Murray,Dallas Cowboys,1,24,149,2,1,1,6,0,Away,New Orleans Saints,4
Frank Gore,San Francisco 49ers,1,24,119,0,2,1,55,1,Away,Philadelphia Eagles,4
Lamar Miller,Miami Dolphins,1,12,64,2,2,2,3,0,Home,Oakland Raiders,4
Matt Forte,Chicago Bears,1,23,122,0,6,5,49,0,Away,Green Bay Packers,4
Trent Richardson,Indianapolis Colts,1,20,47,1,5,4,52,0,Away,Tennessee Titans,4
Justin Forsett,Baltimore Ravens,1,14,66,1,4,3,31,0,Away,Carolina Panthers,4
Jerick McKinnon,Minnesota Vikings,1,18,135,0,3,1,17,0,Away,Atlanta Falcons,4
Alfred Morris,Washington Redskins,1,12,63,1,3,3,27,0,Away,New York Giants,4
Andre Williams,New York Giants,1,15,66,1,1,0,0,0,Home,Washington Redskins,4
Antone Smith,Atlanta Falcons,1,4,62,1,0,0,0,0,Home,Minnesota Vikings,4
Chris Johnson,New York Jets,1,6,44,1,2,2,17,0,Away,Detroit Lions,4
Knile Davis,Kansas City Chiefs,1,16,107,0,2,1,12,0,Away,New England Patriots,4
Eddie Lacy,Green Bay Packers,1,17,48,1,2,1,11,0,Home,Chicago Bears,4
Lorenzo Taliaferro,Baltimore Ravens,1,15,58,1,0,0,0,0,Away,Carolina Panthers,4
Bishop Sankey,Tennessee Titans,1,6,34,1,2,2,23,0,Home,Indianapolis Colts,4
Doug Martin,Tampa Bay Buccaneers,1,14,40,1,2,2,16,0,Home,Pittsburgh Steelers,4
Ahmad Bradshaw,Indianapolis Colts,1,9,32,0,2,2,20,1,Away,Tennessee Titans,4
Le'Veon Bell,Pittsburgh Steelers,1,19,63,0,7,6,46,0,Away,Tampa Bay Buccaneers,4
Khiry Robinson,New Orleans Saints,1,8,87,0,3,2,18,0,Home,Dallas Cowboys,4
Toby Gerhart,Jacksonville Jaguars,1,10,32,1,1,1,8,0,Home,San Diego Chargers,4
Chris Ivory,New York Jets,1,17,84,0,6,2,16,0,Away,Detroit Lions,4
Roy Helu,Washington Redskins,1,2,8,0,5,5,78,0,Away,New York Giants,4
Fred Jackson,Buffalo Bills,1,7,33,0,7,6,52,0,Home,Houston Texans,4
C.J. Spiller,Buffalo Bills,1,15,60,0,3,3,24,0,Home,Houston Texans,4
Ka'Deem Carey,Chicago Bears,1,14,72,0,0,0,0,0,Away,Green Bay Packers,4
Darren McFadden,Oakland Raiders,1,11,40,0,5,4,32,0,Away,Miami Dolphins,4
Shane Vereen,New England Patriots,1,8,26,0,5,5,41,0,Home,Kansas City Chiefs,4
Reggie Bush,Detroit Lions,1,12,46,0,6,4,19,0,Home,New York Jets,4
Steven Jackson,Atlanta Falcons,1,13,49,0,2,2,13,0,Home,Minnesota Vikings,4
Patrick DiMarco,Atlanta Falcons,1,0,0,0,1,1,1,1,Home,Minnesota Vikings,4
Arian Foster,Houston Texans,1,8,6,0,10,7,55,0,Away,Buffalo Bills,4
Travaris Cadet,New Orleans Saints,1,1,1,0,6,6,59,0,Home,Dallas Cowboys,4
Daniel Thomas,Miami Dolphins,1,5,35,0,2,1,25,0,Home,Oakland Raiders,4
Branden Oliver,San Diego Chargers,1,9,23,0,4,4,33,0,Away,Jacksonville Jaguars,4
Donald Brown,San Diego Chargers,1,10,19,0,6,4,35,0,Away,Jacksonville Jaguars,4
Rashad Jennings,New York Giants,1,13,55,0,2,1,-3,0,Home,Washington Redskins,4
Joique Bell,Detroit Lions,1,8,32,0,4,2,7,0,Home,New York Jets,4
Darrin Reaves,Carolina Panthers,1,12,26,0,5,3,11,0,Home,Baltimore Ravens,4
Jacquizz Rodgers,Atlanta Falcons,1,1,2,0,4,4,35,0,Home,Minnesota Vikings,4
Lance Dunbar,Dallas Cowboys,1,0,0,0,3,2,36,0,Away,New Orleans Saints,4
James White,New England Patriots,1,3,21,0,3,3,15,0,Home,Kansas City Chiefs,4
DeAngelo Williams,Carolina Panthers,1,11,34,0,0,0,0,0,Home,Baltimore Ravens,4
Denard Robinson,Jacksonville Jaguars,1,9,25,0,3,3,7,0,Home,San Diego Chargers,4
Peyton Hillis,New York Giants,1,8,31,0,0,0,0,0,Home,Washington Redskins,4
Stevan Ridley,New England Patriots,1,5,28,0,1,0,0,0,Home,Kansas City Chiefs,4
Carlos Hyde,San Francisco 49ers,1,10,26,0,1,0,0,0,Away,Philadelphia Eagles,4
LeGarrette Blount,Pittsburgh Steelers,1,4,25,0,0,0,0,0,Away,Tampa Bay Buccaneers,4
