Player,Team,G,PassingComp,PassingAtt,PassingYard,PassingTD,PassingINT,RushingAtt,RushingYard,RushingTD,Home or Away,Opponent,Week
Ben Roethlisberger,Pittsburgh Steelers,1,40,49,522,6,0,1,-1,0,Away,Indianapolis Colts,8
Tom Brady,New England Patriots,1,30,35,354,5,0,2,0,0,Away,Chicago Bears,8
Andrew Luck,Indianapolis Colts,1,26,45,400,3,2,3,26,0,Home,Pittsburgh Steelers,8
Aaron Rodgers,Green Bay Packers,1,28,39,418,1,2,2,21,1,Home,New Orleans Saints,8
Nick Foles,Philadelphia Eagles,1,36,62,411,2,2,2,14,0,Home,Arizona Cardinals,8
Kyle Orton,Buffalo Bills,1,10,17,238,4,0,2,6,0,Home,New York Jets,8
Drew Brees,New Orleans Saints,1,27,32,311,3,0,1,6,0,Away,Green Bay Packers,8
Andy Dalton,Cincinnati Bengals,1,21,28,266,0,1,6,14,2,Away,Baltimore Ravens,8
Peyton Manning,Denver Broncos,1,25,35,286,3,0,1,0,0,Away,San Diego Chargers,8
Philip Rivers,San Diego Chargers,1,30,41,252,3,2,1,17,0,Home,Denver Broncos,8
Matthew Stafford,Detroit Lions,1,24,47,325,2,1,3,9,0,Home,Atlanta Falcons,8
Carson Palmer,Arizona Cardinals,1,20,42,329,2,0,0,0,0,Away,Philadelphia Eagles,8
Jay Cutler,Chicago Bears,1,20,30,227,3,1,1,6,0,Home,New England Patriots,8
Zach Mettenberger,Tennessee Titans,1,27,41,299,2,1,1,-1,0,Away,Houston Texans,8
Colt McCoy,Washington Redskins,1,25,30,299,0,1,7,16,1,Home,Dallas Cowboys,8
Derek Carr,Oakland Raiders,1,34,54,328,1,0,2,-3,0,Home,Cleveland Browns,8
Matt Ryan,Atlanta Falcons,1,20,27,228,2,1,1,6,0,Away,Detroit Lions,8
Blake Bortles,Jacksonville Jaguars,1,18,34,221,1,2,6,48,0,Away,Miami Dolphins,8
Ryan Tannehill,Miami Dolphins,1,16,29,196,1,1,5,48,0,Home,Jacksonville Jaguars,8
Brian Hoyer,Cleveland Browns,1,19,28,275,1,0,2,1,0,Away,Oakland Raiders,8
Russell Wilson,Seattle Seahawks,1,20,32,199,1,1,6,35,0,Home,Carolina Panthers,8
Ryan Fitzpatrick,Houston Texans,1,19,35,227,1,0,4,12,0,Home,Tennessee Titans,8
Teddy Bridgewater,Minnesota Vikings,1,24,42,241,1,0,1,3,0,Home,Tampa Bay Buccaneers,8
Tony Romo,Dallas Cowboys,1,17,28,209,1,0,1,1,0,Away,Washington Redskins,8
Michael Vick,New York Jets,1,18,36,153,0,1,8,69,0,Away,Buffalo Bills,8
Mike Glennon,Tampa Bay Buccaneers,1,19,28,171,1,1,3,13,0,Away,Minnesota Vikings,8
Alex Smith,Kansas City Chiefs,1,24,28,226,0,0,4,24,0,Away,St. Louis Rams,8
Austin Davis,St. Louis Rams,1,15,25,160,1,1,1,1,0,Home,Kansas City Chiefs,8
Joe Flacco,Baltimore Ravens,1,17,34,195,0,2,2,12,0,Home,Cincinnati Bengals,8
Cam Newton,Carolina Panthers,1,12,22,171,0,1,12,24,0,Away,Seattle Seahawks,8
Brandon Weeden,Dallas Cowboys,1,4,6,69,1,0,1,-5,0,Away,Washington Redskins,8
Jimmy Clausen,Chicago Bears,1,1,5,22,0,0,0,0,0,Home,New England Patriots,8
Jimmy Garoppolo,New England Patriots,1,3,3,22,0,0,1,-1,0,Away,Chicago Bears,8
Matt Flynn,Green Bay Packers,1,1,1,8,0,0,0,0,0,Home,New Orleans Saints,8
Geno Smith,New York Jets,1,2,8,5,0,3,1,0,0,Away,Buffalo Bills,8
Matt Schaub,Oakland Raiders,1,0,1,0,0,1,0,0,0,Home,Cleveland Browns,8
