Player,Team,G,FGM,FGA,FG%,EPM,EPA,Home or Away,Opponent
Connor Barth,Denver Broncos,1,5,5,100.0%,2,2,Home,Kansas City Chiefs
Matt Bryant,Atlanta Falcons,1,5,5,100.0%,2,2,Away,Arizona Cardinals
Cody Parkey,Philadelphia Eagles,1,4,4,100.0%,3,3,Home,Dallas Cowboys
Justin Tucker,Baltimore Ravens,1,4,4,100.0%,3,3,Away,San Diego Chargers
Dan Carpenter,Buffalo Bills,1,4,5,80.0%,2,2,Away,Cleveland Browns
Mason Crosby,Green Bay Packers,1,4,5,80.0%,2,2,Away,New England Patriots
Steve Hauschka,Seattle Seahawks,1,4,4,100.0%,1,1,Home,San Francisco 49ers
Nick Novak,San Diego Chargers,1,2,2,100.0%,4,4,Home,Baltimore Ravens
Matt Prater,Detroit Lions,1,2,2,100.0%,4,4,Away,Chicago Bears
Caleb Sturgis,Miami Dolphins,1,3,4,75.0%,1,1,Home,New York Jets
Shaun Suisham,Pittsburgh Steelers,1,3,4,75.0%,1,1,Away,New Orleans Saints
Greg Zuerlein,St. Louis Rams,1,1,1,100.0%,7,7,Away,Oakland Raiders
Randy Bullock,Houston Texans,1,1,2,50.0%,6,6,Away,Tennessee Titans
Kai Forbath,Washington Redskins,1,2,2,100.0%,3,3,Home,Indianapolis Colts
Nick Folk,New York Jets,1,2,4,50.0%,1,1,Away,Miami Dolphins
Graham Gano,Carolina Panthers,1,2,2,100.0%,1,1,Home,Minnesota Vikings
Patrick Murray,Tampa Bay Buccaneers,1,2,2,100.0%,1,1,Away,Cincinnati Bengals
Josh Scobee,Jacksonville Jaguars,1,2,2,100.0%,1,1,Away,New York Giants
Adam Vinatieri,Indianapolis Colts,1,0,0,0.0%,7,7,Away,Washington Redskins
Blair Walsh,Minnesota Vikings,1,1,1,100.0%,4,4,Away,Carolina Panthers
Josh Brown,New York Giants,1,1,2,50.0%,3,3,Home,Jacksonville Jaguars
Robbie Gould,Chicago Bears,1,1,1,100.0%,2,2,Home,Detroit Lions
Shayne Graham,New Orleans Saints,1,0,0,0.0%,5,5,Home,Pittsburgh Steelers
Dan Bailey,Dallas Cowboys,1,1,1,100.0%,1,1,Away,Philadelphia Eagles
Chandler Catanzaro,Arizona Cardinals,1,1,1,100.0%,1,1,Home,Atlanta Falcons
Billy Cundiff,Cleveland Browns,1,1,2,50.0%,1,1,Home,Buffalo Bills
Cairo Santos,Kansas City Chiefs,1,1,1,100.0%,1,1,Away,Denver Broncos
Phil Dawson,San Francisco 49ers,1,1,1,100.0%,0,0,Away,Seattle Seahawks
Stephen Gostkowski,New England Patriots,1,0,1,0.0%,3,3,Home,Green Bay Packers
Ryan Succop,Tennessee Titans,1,0,0,0.0%,3,3,Home,Houston Texans
Mike Nugent,Cincinnati Bengals,1,0,0,0.0%,2,2,Home,Tampa Bay Buccaneers
