Player,Team,G,FGM,FGA,FG%,EPM,EPA,Home or Away,Opponent
Nick Folk,New York Jets,1,4,5,80.0%,1,1,Home,New England Patriots
Kai Forbath,Washington Redskins,1,4,4,100.0%,1,1,Away,Tennessee Titans
Shaun Suisham,Pittsburgh Steelers,1,3,3,100.0%,3,3,Away,Houston Texans
Randy Bullock,Houston Texans,1,3,3,100.0%,2,2,Home,Pittsburgh Steelers
Shayne Graham,New Orleans Saints,1,3,3,100.0%,2,2,Home,Detroit Lions
Cairo Santos,Kansas City Chiefs,1,3,3,100.0%,2,2,Home,San Diego Chargers
Blair Walsh,Minnesota Vikings,1,3,3,100.0%,1,1,Home,Buffalo Bills
Stephen Gostkowski,New England Patriots,1,2,2,100.0%,3,3,Away,New York Jets
Caleb Sturgis,Miami Dolphins,1,2,4,50.0%,3,3,Home,Chicago Bears
Justin Tucker,Baltimore Ravens,1,2,2,100.0%,3,3,Away,Atlanta Falcons
Adam Vinatieri,Indianapolis Colts,1,2,2,100.0%,3,3,Away,Cincinnati Bengals
Mason Crosby,Green Bay Packers,1,1,1,100.0%,5,5,Away,Carolina Panthers
Steve Hauschka,Seattle Seahawks,1,2,2,100.0%,2,2,Home,St. Louis Rams
Nick Novak,San Diego Chargers,1,2,2,100.0%,2,2,Away,Kansas City Chiefs
Dan Bailey,Dallas Cowboys,1,1,1,100.0%,4,4,Away,New York Giants
Sebastian Janikowski,Oakland Raiders,1,2,2,100.0%,1,1,Away,Arizona Cardinals
Chandler Catanzaro,Arizona Cardinals,1,1,1,100.0%,3,3,Home,Oakland Raiders
Billy Cundiff,Cleveland Browns,1,2,2,100.0%,0,0,Home,Jacksonville Jaguars
Brandon McManus,Denver Broncos,1,0,0,0.0%,6,6,Away,San Francisco 49ers
Matt Prater,Detroit Lions,1,1,1,100.0%,3,3,Away,New Orleans Saints
Josh Scobee,Jacksonville Jaguars,1,1,1,100.0%,3,3,Away,Cleveland Browns
Dan Carpenter,Buffalo Bills,1,1,1,100.0%,2,2,Away,Minnesota Vikings
Phil Dawson,San Francisco 49ers,1,1,2,50.0%,2,2,Home,Denver Broncos
Graham Gano,Carolina Panthers,1,1,1,100.0%,2,2,Home,Green Bay Packers
Ryan Succop,Tennessee Titans,1,1,1,100.0%,2,2,Home,Washington Redskins
Greg Zuerlein,St. Louis Rams,1,0,1,0.0%,4,4,Away,Seattle Seahawks
Josh Brown,New York Giants,1,0,0,0.0%,3,3,Home,Dallas Cowboys
Robbie Gould,Chicago Bears,1,0,0,0.0%,2,2,Away,Miami Dolphins
Matt Bryant,Atlanta Falcons,1,0,1,0.0%,1,1,Home,Baltimore Ravens
