Player,Team,G,Tackle,Assist,Sack,PD,INT,FF,FR,Home or Away,Opponent
Alec Ogletree,St. Louis Rams,1,6,1,0.0,3,1,1,0,Home,Arizona Cardinals
Chris Borland,San Francisco 49ers,1,11,6,0.0,0,0,0,1,Home,New Orleans Saints
Elvis Dumervil,Baltimore Ravens,1,3,2,2.5,0,0,0,0,Away,Tennessee Titans
Clay Matthews,Green Bay Packers,1,9,2,1.0,0,0,0,0,Away,Chicago Bears
Julius Peppers,Green Bay Packers,1,2,2,1.0,2,0,1,1,Away,Chicago Bears
Ramon Humber,New Orleans Saints,1,7,5,1.0,0,0,0,0,Away,San Francisco 49ers
Brandon Marshall,Denver Broncos,1,11,2,0.0,1,0,0,0,Home,Oakland Raiders
DeMario Davis,New York Jets,1,11,1,0.0,1,0,0,0,Away,Pittsburgh Steelers
Bruce Carter,Dallas Cowboys,1,5,2,0.0,1,1,0,0,Home,Jacksonville Jaguars
Lavonte David,Tampa Bay Buccaneers,1,10,4,0.0,0,0,0,0,Away,Atlanta Falcons
Mychal Kendricks,Philadelphia Eagles,1,8,0,1.0,0,0,0,0,Away,Carolina Panthers
Jerry Hughes,Buffalo Bills,1,3,1,2.0,0,0,0,0,Away,Kansas City Chiefs
Jameel McClain,New York Giants,1,5,7,0.0,0,0,1,0,Home,Seattle Seahawks
Jelani Jenkins,Miami Dolphins,1,7,0,1.0,0,0,0,0,Home,Detroit Lions
DeAndre Levy,Detroit Lions,1,9,2,0.0,1,0,0,0,Away,Miami Dolphins
Craig Robertson,Cleveland Browns,1,3,3,0.0,1,1,0,0,Home,Cincinnati Bengals
Nigel Bradham,Buffalo Bills,1,7,0,0.0,0,0,1,0,Away,Kansas City Chiefs
Thomas Davis,Carolina Panthers,1,5,2,1.0,0,0,0,0,Home,Philadelphia Eagles
Terrell Suggs,Baltimore Ravens,1,2,4,1.5,0,0,0,0,Away,Tennessee Titans
Lawrence Timmons,Pittsburgh Steelers,1,7,6,0.0,0,0,0,0,Home,New York Jets
Ahmad Brooks,San Francisco 49ers,1,2,1,1.0,0,0,1,0,Home,New Orleans Saints
Casey Matthews,Philadelphia Eagles,1,6,1,0.0,0,0,1,0,Away,Carolina Panthers
Jason Worilds,Pittsburgh Steelers,1,2,3,1.5,0,0,0,0,Home,New York Jets
Trent Cole,Philadelphia Eagles,1,4,2,1.0,0,0,0,0,Away,Carolina Panthers
Anthony Hitchens,Dallas Cowboys,1,9,0,0.0,0,0,0,0,Home,Jacksonville Jaguars
Curtis Lofton,New Orleans Saints,1,6,4,0.0,1,0,0,0,Away,San Francisco 49ers
Paul Worrilow,Atlanta Falcons,1,8,2,0.0,0,0,0,0,Home,Tampa Bay Buccaneers
Deone Bucannon,Arizona Cardinals,1,4,1,1.0,0,0,0,0,Away,St. Louis Rams
Sam Barrington,Green Bay Packers,1,4,0,1.0,0,0,0,0,Away,Chicago Bears
Parys Haralson,New Orleans Saints,1,4,0,1.0,0,0,0,0,Away,San Francisco 49ers
Nico Johnson,Cincinnati Bengals,1,6,4,0.0,0,0,0,0,Away,Cleveland Browns
Emmanuel Lamur,Cincinnati Bengals,1,5,6,0.0,0,0,0,0,Away,Cleveland Browns
Kareem Martin,Arizona Cardinals,1,1,0,1.0,0,0,1,0,Away,St. Louis Rams
J.T. Thomas,Jacksonville Jaguars,1,5,0,0.0,0,0,1,0,Away,Dallas Cowboys
Avery Williamson,Tennessee Titans,1,6,4,0.0,0,0,0,0,Home,Baltimore Ravens
Mason Foster,Tampa Bay Buccaneers,1,6,3,0.0,0,0,0,0,Away,Atlanta Falcons
Derrick Morgan,Tennessee Titans,1,2,1,1.0,1,0,0,0,Home,Baltimore Ravens
Preston Brown,Buffalo Bills,1,6,2,0.0,0,0,0,0,Away,Kansas City Chiefs
Luke Kuechly,Carolina Panthers,1,6,2,0.0,0,0,0,0,Home,Philadelphia Eagles
Sio Moore,Oakland Raiders,1,5,2,0.0,1,0,0,0,Away,Denver Broncos
Alex Okafor,Arizona Cardinals,1,3,0,1.0,0,0,0,0,Away,St. Louis Rams
Jacquian Williams,New York Giants,1,5,4,0.0,0,0,0,0,Home,Seattle Seahawks
Larry Foote,Arizona Cardinals,1,6,1,0.0,0,0,0,0,Away,St. Louis Rams
Lance Briggs,Chicago Bears,1,3,0,0.0,0,0,1,0,Home,Green Bay Packers
James-Michael Johnson,Kansas City Chiefs,1,6,0,0.0,0,0,0,0,Home,Buffalo Bills
Cameron Lawrence,Dallas Cowboys,1,2,0,1.0,0,0,0,0,Home,Jacksonville Jaguars
Koa Misi,Miami Dolphins,1,4,2,0.0,1,0,0,0,Home,Detroit Lions
Wesley Woodyard,Tennessee Titans,1,3,6,0.0,0,0,0,0,Home,Baltimore Ravens
Albert McClellan,Baltimore Ravens,1,2,1,0.0,0,0,1,0,Away,Tennessee Titans
Von Miller,Denver Broncos,1,4,3,0.0,0,0,0,0,Home,Oakland Raiders
