Player,Team,G,FGM,FGA,FG%,EPM,EPA,Home or Away,Opponent
Greg Zuerlein,St. Louis Rams,1,5,5,100.0%,1,1,Away,Denver Broncos
Matt Bryant,Atlanta Falcons,1,4,4,100.0%,1,1,Home,Carolina Panthers
Randy Bullock,Houston Texans,1,3,4,75.0%,2,2,Home,Cleveland Browns
Mason Crosby,Green Bay Packers,1,2,3,66.7%,5,6,Away,Philadelphia Eagles
Phil Dawson,San Francisco 49ers,1,3,3,100.0%,1,1,Home,New York Giants
Dan Carpenter,Buffalo Bills,1,3,4,75.0%,0,0,Home,Miami Dolphins
Patrick Murray,Tampa Bay Buccaneers,1,2,2,100.0%,3,3,Home,Washington Redskins
Mike Nugent,Cincinnati Bengals,1,2,2,100.0%,3,3,Home,New Orleans Saints
Shaun Suisham,Pittsburgh Steelers,1,2,2,100.0%,3,3,Home,Tennessee Titans
Steve Hauschka,Seattle Seahawks,1,2,2,100.0%,2,2,Home,Kansas City Chiefs
Cody Parkey,Philadelphia Eagles,1,2,2,100.0%,2,2,Home,Green Bay Packers
Caleb Sturgis,Miami Dolphins,1,2,2,100.0%,2,2,Away,Buffalo Bills
Adam Vinatieri,Indianapolis Colts,1,2,2,100.0%,2,2,Away,New England Patriots
Nick Novak,San Diego Chargers,1,2,3,66.7%,1,1,Away,Oakland Raiders
Blair Walsh,Minnesota Vikings,1,2,3,66.7%,1,1,Home,Chicago Bears
Stephen Gostkowski,New England Patriots,1,0,0,0.0%,6,6,Home,Indianapolis Colts
Sebastian Janikowski,Oakland Raiders,1,2,2,100.0%,0,0,Home,San Diego Chargers
Matt Prater,Detroit Lions,1,2,2,100.0%,0,0,Home,Arizona Cardinals
Cairo Santos,Kansas City Chiefs,1,1,1,100.0%,3,3,Away,Seattle Seahawks
Ryan Succop,Tennessee Titans,1,1,1,100.0%,3,3,Away,Pittsburgh Steelers
Graham Gano,Carolina Panthers,1,1,3,33.3%,2,2,Away,Atlanta Falcons
Josh Brown,New York Giants,1,1,1,100.0%,1,1,Away,San Francisco 49ers
Shayne Graham,New Orleans Saints,1,1,1,100.0%,1,1,Away,Cincinnati Bengals
Robbie Gould,Chicago Bears,1,0,1,0.0%,3,3,Away,Minnesota Vikings
Chandler Catanzaro,Arizona Cardinals,1,0,0,0.0%,2,2,Away,Detroit Lions
Billy Cundiff,Cleveland Browns,1,0,1,0.0%,1,1,Away,Houston Texans
Kai Forbath,Washington Redskins,1,0,2,0.0%,1,1,Away,Tampa Bay Buccaneers
Brandon McManus,Denver Broncos,1,0,0,0.0%,1,1,Home,St. Louis Rams
