Player,Team,G,PassingComp,PassingAtt,PassingYard,PassingTD,PassingINT,RushingAtt,RushingYard,RushingTD,Home or Away,Opponent,Week
Ben Roethlisberger,Pittsburgh Steelers,1,25,37,340,6,0,2,1,0,Away,Baltimore Ravens,9
Andrew Luck,Indianapolis Colts,1,25,46,354,4,0,2,5,0,Home,New York Giants,9
Tom Brady,New England Patriots,1,33,53,333,4,1,2,4,0,Away,Denver Broncos,9
Ryan Tannehill,Miami Dolphins,1,24,34,288,3,0,4,47,0,Away,San Diego Chargers,9
Peyton Manning,Denver Broncos,1,34,57,438,2,2,2,3,0,Home,New England Patriots,9
Eli Manning,New York Giants,1,27,52,359,2,0,1,18,0,Away,Indianapolis Colts,9
Drew Brees,New Orleans Saints,1,24,34,297,1,1,4,2,1,Home,Carolina Panthers,9
Carson Palmer,Arizona Cardinals,1,22,34,249,3,1,2,-2,0,Home,Dallas Cowboys,9
Joe Flacco,Baltimore Ravens,1,30,45,303,2,1,1,2,0,Home,Pittsburgh Steelers,9
Ryan Fitzpatrick,Houston Texans,1,13,27,203,2,1,6,49,0,Away,Philadelphia Eagles,9
Brian Hoyer,Cleveland Browns,1,21,34,300,2,2,3,-1,0,Away,Tampa Bay Buccaneers,9
Mike Glennon,Tampa Bay Buccaneers,1,17,33,260,2,2,3,17,0,Home,Cleveland Browns,9
Blake Bortles,Jacksonville Jaguars,1,22,33,247,2,1,4,10,0,Home,Cincinnati Bengals,9
Andy Dalton,Cincinnati Bengals,1,19,31,233,2,2,2,11,0,Away,Jacksonville Jaguars,9
Teddy Bridgewater,Minnesota Vikings,1,26,42,268,1,0,3,20,0,Away,Washington Redskins,9
Robert Griffin III,Washington Redskins,1,18,28,251,1,1,7,24,0,Home,Minnesota Vikings,9
Derek Carr,Oakland Raiders,1,24,41,194,2,2,2,9,0,Home,Seattle Seahawks,9
Mark Sanchez,Philadelphia Eagles,1,15,22,202,2,2,5,5,0,Home,Houston Texans,9
Alex Smith,Kansas City Chiefs,1,21,31,199,2,0,0,0,0,Away,New York Jets,9
Cam Newton,Carolina Panthers,1,10,28,151,0,1,7,43,1,Away,New Orleans Saints,9
Colin Kaepernick,San Francisco 49ers,1,22,33,237,1,0,5,14,0,Away,St. Louis Rams,9
Michael Vick,New York Jets,1,21,28,196,1,0,4,18,0,Home,Kansas City Chiefs,9
Brandon Weeden,Dallas Cowboys,1,18,33,183,1,2,2,2,0,Away,Arizona Cardinals,9
Russell Wilson,Seattle Seahawks,1,17,35,179,0,0,8,31,0,Away,Oakland Raiders,9
Nick Foles,Philadelphia Eagles,1,10,13,124,1,1,1,1,0,Home,Houston Texans,9
Austin Davis,St. Louis Rams,1,13,24,105,1,2,2,9,0,Home,San Francisco 49ers,9
Philip Rivers,San Diego Chargers,1,12,23,138,0,3,1,3,0,Home,Miami Dolphins,9
Matt Simms,New York Jets,1,3,8,39,0,0,1,2,0,Home,Kansas City Chiefs,9
Matt Moore,Miami Dolphins,1,2,4,21,0,0,0,0,0,Away,San Diego Chargers,9
Kellen Clemens,San Diego Chargers,1,1,3,10,0,0,0,0,0,Home,Miami Dolphins,9
