Player,Team,G,FGM,FGA,FG%,EPM,EPA,Home or Away,Opponent
Stephen Gostkowski,New England Patriots,1,5,5,100.0%,4,4,Away,Cincinnati Bengals
Phil Dawson,San Francisco 49ers,1,5,5,100.0%,1,1,Away,Kansas City Chiefs
Josh Brown,New York Giants,1,3,3,100.0%,3,3,Away,Atlanta Falcons
Shayne Graham,New Orleans Saints,1,3,3,100.0%,2,2,Away,Tampa Bay Buccaneers
Brandon McManus,Denver Broncos,1,2,3,66.7%,5,5,Away,Arizona Cardinals
Cody Parkey,Philadelphia Eagles,1,2,2,100.0%,4,4,Away,St. Louis Rams
Dan Carpenter,Buffalo Bills,1,3,4,75.0%,0,0,Home,Detroit Lions
Billy Cundiff,Cleveland Browns,1,2,2,100.0%,3,3,Home,Tennessee Titans
Steve Hauschka,Seattle Seahawks,1,2,2,100.0%,3,3,Home,Washington Redskins
Josh Scobee,Jacksonville Jaguars,1,3,3,100.0%,0,0,Away,Pittsburgh Steelers
Dan Bailey,Dallas Cowboys,1,2,3,66.7%,2,2,Away,Houston Texans
Matt Bryant,Atlanta Falcons,1,2,2,100.0%,2,2,Home,New York Giants
Chandler Catanzaro,Arizona Cardinals,1,2,2,100.0%,2,2,Home,Denver Broncos
Adam Vinatieri,Indianapolis Colts,1,2,2,100.0%,2,2,Away,Baltimore Ravens
Graham Gano,Carolina Panthers,1,1,1,100.0%,4,4,Away,Chicago Bears
Patrick Murray,Tampa Bay Buccaneers,1,1,1,100.0%,4,4,Home,New Orleans Saints
Nick Novak,San Diego Chargers,1,1,1,100.0%,4,4,Away,New York Jets
Justin Tucker,Baltimore Ravens,1,2,2,100.0%,1,1,Home,Indianapolis Colts
Mason Crosby,Green Bay Packers,1,0,0,0.0%,6,6,Away,Minnesota Vikings
Robbie Gould,Chicago Bears,1,1,2,50.0%,3,3,Home,Carolina Panthers
Randy Bullock,Houston Texans,1,1,1,100.0%,2,2,Home,Dallas Cowboys
Kai Forbath,Washington Redskins,1,1,1,100.0%,2,2,Away,Seattle Seahawks
Mike Nugent,Cincinnati Bengals,1,1,2,50.0%,2,2,Home,New England Patriots
Cairo Santos,Kansas City Chiefs,1,1,1,100.0%,2,2,Home,San Francisco 49ers
Shaun Suisham,Pittsburgh Steelers,1,1,1,100.0%,2,2,Home,Jacksonville Jaguars
Ryan Succop,Tennessee Titans,1,0,0,0.0%,4,4,Away,Cleveland Browns
Blair Walsh,Minnesota Vikings,1,1,1,100.0%,1,1,Home,Green Bay Packers
Greg Zuerlein,St. Louis Rams,1,0,0,0.0%,4,4,Home,Philadelphia Eagles
Alex Henery,Detroit Lions,1,0,3,0.0%,2,2,Away,Buffalo Bills
