Player,Team,G,PassingComp,PassingAtt,PassingYard,PassingTD,PassingINT,RushingAtt,RushingYard,RushingTD,Home or Away,Opponent,Week
Russell Wilson,Seattle Seahawks,1,20,31,339,2,0,6,88,1,Home,Arizona Cardinals,16
Ryan Tannehill,Miami Dolphins,1,35,47,396,4,1,5,1,0,Away,Minnesota Vikings,16
Philip Rivers,San Diego Chargers,1,33,54,356,4,3,0,0,0,Home,San Francisco 49ers,16
Eli Manning,New York Giants,1,25,32,391,3,0,3,-3,0,Home,St. Louis Rams,16
Colin Kaepernick,San Francisco 49ers,1,15,24,114,1,0,7,151,1,Away,San Diego Chargers,16
Tony Romo,Dallas Cowboys,1,18,20,218,4,0,3,28,0,Away,Indianapolis Colts,16
Mark Sanchez,Philadelphia Eagles,1,37,50,374,2,1,5,22,0,Home,Washington Redskins,16
Kyle Orton,Buffalo Bills,1,32,49,329,3,2,0,0,0,Home,Oakland Raiders,16
Cam Newton,Carolina Panthers,1,18,31,201,1,1,12,63,1,Away,Cleveland Browns,16
Peyton Manning,Denver Broncos,1,28,44,311,2,4,0,0,0,Home,Cincinnati Bengals,16
Shaun Hill,St. Louis Rams,1,24,32,290,2,1,1,0,0,Away,New York Giants,16
Teddy Bridgewater,Minnesota Vikings,1,19,26,259,2,1,5,13,0,Home,Miami Dolphins,16
Matt Ryan,Atlanta Falcons,1,30,40,322,1,0,2,7,0,Home,New Orleans Saints,16
Drew Brees,New Orleans Saints,1,30,47,313,1,2,2,8,0,Away,Atlanta Falcons,16
Aaron Rodgers,Green Bay Packers,1,31,40,318,1,0,0,0,0,Home,Tampa Bay Buccaneers,16
Charlie Whitehurst,Tennessee Titans,1,24,35,287,1,0,3,12,0,Home,Jacksonville Jaguars,16
Derek Carr,Oakland Raiders,1,17,34,214,2,0,4,0,0,Away,Buffalo Bills,16
Joe Flacco,Baltimore Ravens,1,21,50,195,2,3,1,5,0,Home,Houston Texans,16
Jimmy Clausen,Chicago Bears,1,23,39,181,2,1,3,9,0,Away,Detroit Lions,16
Andy Dalton,Cincinnati Bengals,1,17,26,146,2,1,6,25,0,Away,Denver Broncos,16
Alex Smith,Kansas City Chiefs,1,31,45,311,0,0,2,14,0,Home,Pittsburgh Steelers,16
Geno Smith,New York Jets,1,17,27,210,1,1,3,9,0,Away,New England Patriots,16
Blake Bortles,Jacksonville Jaguars,1,13,26,115,1,0,5,50,0,Away,Tennessee Titans,16
Ben Roethlisberger,Pittsburgh Steelers,1,18,25,220,1,0,4,-4,0,Away,Kansas City Chiefs,16
Tom Brady,New England Patriots,1,23,35,182,1,1,7,10,0,Home,New York Jets,16
Brian Hoyer,Cleveland Browns,1,7,13,134,1,1,2,19,0,Home,Carolina Panthers,16
Matthew Stafford,Detroit Lions,1,22,39,243,0,2,4,2,0,Home,Chicago Bears,16
Robert Griffin III,Washington Redskins,1,16,23,220,0,1,5,11,0,Away,Philadelphia Eagles,16
Case Keenum,Houston Texans,1,20,42,185,0,1,4,19,0,Away,Baltimore Ravens,16
Ryan Lindley,Arizona Cardinals,1,18,44,216,0,1,0,0,0,Away,Seattle Seahawks,16
Matt Hasselbeck,Indianapolis Colts,1,15,21,126,1,0,0,0,0,Home,Dallas Cowboys,16
Josh McCown,Tampa Bay Buccaneers,1,12,26,147,0,1,0,0,0,Away,Green Bay Packers,16
Brandon Weeden,Dallas Cowboys,1,1,1,43,1,0,0,0,0,Away,Indianapolis Colts,16
Andrew Luck,Indianapolis Colts,1,15,22,109,0,2,0,0,0,Home,Dallas Cowboys,16
Johnny Manziel,Cleveland Browns,1,3,8,32,0,0,2,3,0,Home,Carolina Panthers,16
Tarvaris Jackson,Seattle Seahawks,1,1,1,0,0,0,0,0,0,Home,Arizona Cardinals,16
Logan Thomas,Arizona Cardinals,1,0,1,0,0,0,0,0,0,Away,Seattle Seahawks,16
Matt Flynn,Green Bay Packers,1,0,0,0,0,0,3,-3,0,Home,Tampa Bay Buccaneers,16
