Player,Team,G,Tackle,Assist,Sack,PD,INT,FF,FR,Home or Away,Opponent
Kerry Wynn,New York Giants,1,3,0,1.0,1,1,0,1,Home,St. Louis Rams
Ndamukong Suh,Detroit Lions,1,4,0,2.0,1,0,0,0,Home,Chicago Bears
Cameron Wake,Miami Dolphins,1,4,0,2.0,0,0,0,0,Away,Minnesota Vikings
J.J. Watt,Houston Texans,1,7,1,1.0,0,0,0,0,Away,Baltimore Ravens
Quinton Dial,San Francisco 49ers,1,5,2,1.0,0,0,0,0,Away,San Diego Chargers
Sealver Siliga,New England Patriots,1,4,4,1.0,0,0,0,0,Home,New York Jets
Stephon Tuitt,Pittsburgh Steelers,1,3,0,1.0,0,0,1,0,Away,Kansas City Chiefs
Arthur Jones,Indianapolis Colts,1,4,3,1.0,0,0,0,0,Home,Dallas Cowboys
Kroy Biermann,Atlanta Falcons,1,1,2,1.0,0,0,1,0,Home,New Orleans Saints
Jared Crick,Houston Texans,1,3,2,1.0,1,0,0,0,Away,Baltimore Ravens
Cameron Heyward,Pittsburgh Steelers,1,2,2,1.5,0,0,0,0,Away,Kansas City Chiefs
Michael Johnson,Tampa Bay Buccaneers,1,1,2,1.0,0,0,1,0,Away,Green Bay Packers
Dion Jordan,Miami Dolphins,1,5,0,1.0,0,0,0,0,Away,Minnesota Vikings
Datone Jones,Green Bay Packers,1,0,1,0.5,1,1,0,0,Home,Tampa Bay Buccaneers
Abry Jones,Jacksonville Jaguars,1,3,2,1.0,0,0,0,0,Away,Tennessee Titans
Jason Pierre-Paul,New York Giants,1,4,0,1.0,0,0,0,0,Home,St. Louis Rams
Derrick Shelby,Miami Dolphins,1,2,0,0.0,1,1,0,0,Away,Minnesota Vikings
Justin Tuck,Oakland Raiders,1,4,0,1.0,0,0,0,0,Away,Buffalo Bills
Quinton Coples,New York Jets,1,5,1,0.5,0,0,0,0,Away,New England Patriots
Clinton McDonald,Tampa Bay Buccaneers,1,5,1,0.0,0,0,0,1,Away,Green Bay Packers
David Bass,Chicago Bears,1,3,0,1.0,0,0,0,0,Away,Detroit Lions
Michael Bennett,Seattle Seahawks,1,2,2,1.0,0,0,0,0,Home,Arizona Cardinals
Fletcher Cox,Philadelphia Eagles,1,3,0,1.0,0,0,0,0,Home,Washington Redskins
Carlos Dunlap,Cincinnati Bengals,1,2,2,1.0,0,0,0,0,Away,Denver Broncos
Sammie Lee Hill,Tennessee Titans,1,2,0,1.0,1,0,0,0,Home,Jacksonville Jaguars
Charles Johnson,Carolina Panthers,1,2,0,1.0,1,0,0,0,Away,Cleveland Browns
Sen'Derrick Marks,Jacksonville Jaguars,1,3,0,1.0,0,0,0,0,Away,Tennessee Titans
Stephen Paea,Chicago Bears,1,3,0,0.0,1,0,1,0,Away,Detroit Lions
Kawann Short,Carolina Panthers,1,3,0,1.0,0,0,0,0,Away,Cleveland Browns
Billy Winn,Cleveland Browns,1,0,2,0.0,1,1,0,0,Home,Carolina Panthers
RaShede Hageman,Atlanta Falcons,1,2,1,1.0,0,0,0,0,Home,New Orleans Saints
Jordan Hill,Seattle Seahawks,1,2,1,1.0,0,0,0,0,Home,Arizona Cardinals
Vince Wilfork,New England Patriots,1,4,5,0.0,0,0,0,0,Home,New York Jets
Jared Allen,Chicago Bears,1,2,0,1.0,0,0,0,0,Away,Detroit Lions
Jonathan Babineaux,Atlanta Falcons,1,2,0,1.0,0,0,0,0,Home,New Orleans Saints
Corey Liuget,San Diego Chargers,1,2,0,0.0,0,0,0,2,Home,San Francisco 49ers
Ricardo Mathews,San Diego Chargers,1,0,2,0.5,0,0,1,0,Home,San Francisco 49ers
Corey Peters,Atlanta Falcons,1,2,0,1.0,0,0,0,0,Home,New Orleans Saints
Jay Ratliff,Chicago Bears,1,2,0,1.0,0,0,0,0,Away,Detroit Lions
Chris Smith,Jacksonville Jaguars,1,2,0,1.0,0,0,0,0,Away,Tennessee Titans
Randy Starks,Miami Dolphins,1,2,0,1.0,0,0,0,0,Away,Minnesota Vikings
Ryan Davis,Jacksonville Jaguars,1,1,1,1.0,0,0,0,0,Away,Tennessee Titans
Jackson Jeffcoat,Washington Redskins,1,1,1,1.0,0,0,0,0,Away,Philadelphia Eagles
Kyle Williams,Buffalo Bills,1,3,1,0.5,0,0,0,0,Home,Oakland Raiders
Mario Williams,Buffalo Bills,1,3,1,0.5,0,0,0,0,Home,Oakland Raiders
Kony Ealy,Carolina Panthers,1,1,0,1.0,0,0,0,0,Away,Cleveland Browns
Malik Jackson,Denver Broncos,1,5,0,0.0,0,0,0,0,Home,Cincinnati Bengals
John Jenkins,New Orleans Saints,1,4,2,0.0,0,0,0,0,Away,Atlanta Falcons
Thomas Johnson,Minnesota Vikings,1,1,0,1.0,0,0,0,0,Home,Miami Dolphins
David King,Seattle Seahawks,1,1,0,1.0,0,0,0,0,Home,Arizona Cardinals
