Player,Team,G,FGM,FGA,FG%,EPM,EPA,Home or Away,Opponent
Adam Vinatieri,Indianapolis Colts,1,3,3,100.0%,5,5,Home,Jacksonville Jaguars
Nick Folk,New York Jets,1,4,4,100.0%,1,1,Away,Chicago Bears
Cody Parkey,Philadelphia Eagles,1,3,3,100.0%,4,4,Away,Washington Redskins
Shaun Suisham,Pittsburgh Steelers,1,3,3,100.0%,4,4,Home,Carolina Panthers
Josh Brown,New York Giants,1,3,3,100.0%,3,3,Away,Houston Texans
Chandler Catanzaro,Arizona Cardinals,1,3,3,100.0%,2,2,Away,San Francisco 49ers
Justin Tucker,Baltimore Ravens,1,3,3,100.0%,2,2,Home,Cleveland Browns
Dan Bailey,Dallas Cowboys,1,2,2,100.0%,4,4,Home,St. Louis Rams
Kai Forbath,Washington Redskins,1,2,3,66.7%,4,4,Home,Philadelphia Eagles
Stephen Gostkowski,New England Patriots,1,3,3,100.0%,1,1,Away,Oakland Raiders
Robbie Gould,Chicago Bears,1,2,2,100.0%,3,3,Home,New York Jets
Sebastian Janikowski,Oakland Raiders,1,3,3,100.0%,0,0,Home,New England Patriots
Blair Walsh,Minnesota Vikings,1,3,3,100.0%,0,0,Home,New Orleans Saints
Matt Bryant,Atlanta Falcons,1,0,1,0.0%,8,8,Away,Tampa Bay Buccaneers
Steve Hauschka,Seattle Seahawks,1,2,3,66.7%,2,2,Away,Denver Broncos
Nick Novak,San Diego Chargers,1,2,2,100.0%,2,2,Home,Buffalo Bills
Graham Gano,Carolina Panthers,1,2,2,100.0%,1,1,Away,Pittsburgh Steelers
Mike Nugent,Cincinnati Bengals,1,1,1,100.0%,4,4,Away,Tennessee Titans
Caleb Sturgis,Miami Dolphins,1,2,3,66.7%,1,1,Away,Kansas City Chiefs
Greg Zuerlein,St. Louis Rams,1,1,1,100.0%,4,4,Away,Dallas Cowboys
Randy Bullock,Houston Texans,1,1,1,100.0%,2,2,Home,New York Giants
Nate Freese,Detroit Lions,1,1,2,50.0%,2,2,Away,Green Bay Packers
Josh Scobee,Jacksonville Jaguars,1,1,1,100.0%,2,2,Away,Indianapolis Colts
Dan Carpenter,Buffalo Bills,1,1,1,100.0%,1,1,Away,San Diego Chargers
Brandon McManus,Denver Broncos,1,1,1,100.0%,1,1,Home,Seattle Seahawks
Cairo Santos,Kansas City Chiefs,1,0,0,0.0%,4,4,Home,Miami Dolphins
Billy Cundiff,Cleveland Browns,1,0,2,0.0%,3,3,Away,Baltimore Ravens
Phil Dawson,San Francisco 49ers,1,0,1,0.0%,2,2,Home,Arizona Cardinals
Shayne Graham,New Orleans Saints,1,0,0,0.0%,2,3,Away,Minnesota Vikings
Patrick Murray,Tampa Bay Buccaneers,1,0,0,0.0%,2,2,Home,Atlanta Falcons
Mason Crosby,Green Bay Packers,1,0,0,0.0%,1,1,Home,Detroit Lions
Ryan Succop,Tennessee Titans,1,0,2,0.0%,1,1,Home,Cincinnati Bengals
