Player,Team,G,FGM,FGA,FG%,EPM,EPA,Home or Away,Opponent
Josh Brown,New York Giants,1,5,5,100.0%,3,3,Home,Tennessee Titans
Nick Folk,New York Jets,1,5,5,100.0%,1,1,Home,Minnesota Vikings
Mason Crosby,Green Bay Packers,1,3,3,100.0%,4,5,Away,Atlanta Falcons
Dan Bailey,Dallas Cowboys,1,2,2,100.0%,5,5,Home,Chicago Bears
Graham Gano,Carolina Panthers,1,2,2,100.0%,5,5,Home,New Orleans Saints
Stephen Gostkowski,New England Patriots,1,3,3,100.0%,2,2,Home,San Diego Chargers
Matt Prater,Detroit Lions,1,2,2,100.0%,4,4,Away,Tampa Bay Buccaneers
Shaun Suisham,Pittsburgh Steelers,1,2,2,100.0%,4,4,Home,Cincinnati Bengals
Randy Bullock,Houston Texans,1,2,2,100.0%,3,3,Home,Jacksonville Jaguars
Chandler Catanzaro,Arizona Cardinals,1,3,5,60.0%,0,0,Away,Kansas City Chiefs
Matt Bryant,Atlanta Falcons,1,1,2,50.0%,4,4,Home,Green Bay Packers
Phil Dawson,San Francisco 49ers,1,2,3,66.7%,1,1,Home,Oakland Raiders
Josh Scobee,Jacksonville Jaguars,1,2,2,100.0%,1,1,Away,Houston Texans
Caleb Sturgis,Miami Dolphins,1,2,2,100.0%,1,1,Away,Baltimore Ravens
Adam Vinatieri,Indianapolis Colts,1,2,2,100.0%,1,1,Home,Cleveland Browns
Connor Barth,Denver Broncos,1,1,1,100.0%,3,3,Away,Buffalo Bills
Billy Cundiff,Cleveland Browns,1,1,2,50.0%,3,3,Away,Indianapolis Colts
Steve Hauschka,Seattle Seahawks,1,1,1,100.0%,3,3,Home,Philadelphia Eagles
Sebastian Janikowski,Oakland Raiders,1,1,1,100.0%,3,3,Away,San Francisco 49ers
Blair Walsh,Minnesota Vikings,1,1,3,33.3%,3,3,Away,New York Jets
Dan Carpenter,Buffalo Bills,1,1,1,100.0%,2,2,Home,Denver Broncos
Patrick Murray,Tampa Bay Buccaneers,1,1,1,100.0%,2,2,Home,Detroit Lions
Shayne Graham,New Orleans Saints,1,1,2,50.0%,1,1,Away,Carolina Panthers
Justin Tucker,Baltimore Ravens,1,0,0,0.0%,4,4,Home,Miami Dolphins
Greg Zuerlein,St. Louis Rams,1,1,3,33.3%,1,2,Home,Washington Redskins
Mike Nugent,Cincinnati Bengals,1,0,0,0.0%,3,3,Away,Pittsburgh Steelers
Jay Feely,Chicago Bears,1,0,0,0.0%,2,3,Away,Dallas Cowboys
Nick Novak,San Diego Chargers,1,0,0,0.0%,2,2,Away,New England Patriots
Cody Parkey,Philadelphia Eagles,1,0,0,0.0%,2,2,Away,Seattle Seahawks
Cairo Santos,Kansas City Chiefs,1,0,0,0.0%,2,2,Home,Arizona Cardinals
Ryan Succop,Tennessee Titans,1,0,1,0.0%,1,1,Away,New York Giants
