Player,Team,G,FGM,FGA,FG%,EPM,EPA,Home or Away,Opponent
Cody Parkey,Philadelphia Eagles,1,5,6,83.3%,4,4,Away,Tennessee Titans
Billy Cundiff,Cleveland Browns,1,4,5,80.0%,2,2,Home,Atlanta Falcons
Steve Hauschka,Seattle Seahawks,1,4,5,80.0%,1,1,Away,Arizona Cardinals
Adam Vinatieri,Indianapolis Colts,1,3,3,100.0%,2,2,Away,Jacksonville Jaguars
Stephen Gostkowski,New England Patriots,1,2,2,100.0%,4,4,Away,Detroit Lions
Justin Tucker,Baltimore Ravens,1,2,2,100.0%,4,4,Home,New Orleans Saints
Shayne Graham,New Orleans Saints,1,2,2,100.0%,3,3,Away,Baltimore Ravens
Nick Novak,San Diego Chargers,1,2,2,100.0%,3,3,Away,St. Louis Rams
Matt Prater,Detroit Lions,1,3,4,75.0%,0,0,Home,New England Patriots
Dan Carpenter,Buffalo Bills,1,1,1,100.0%,5,5,Away,New York Jets
Mike Nugent,Cincinnati Bengals,1,2,2,100.0%,2,2,Home,Houston Texans
Cairo Santos,Kansas City Chiefs,1,2,2,100.0%,2,2,Home,Oakland Raiders
Dan Bailey,Dallas Cowboys,1,1,1,100.0%,4,4,Home,New York Giants
Randy Bullock,Houston Texans,1,2,2,100.0%,1,1,Away,Cincinnati Bengals
Kai Forbath,Washington Redskins,1,2,2,100.0%,1,1,Home,San Francisco 49ers
Brandon McManus,Denver Broncos,1,1,2,50.0%,4,4,Away,Miami Dolphins
Patrick Murray,Tampa Bay Buccaneers,1,2,2,100.0%,1,1,Home,Chicago Bears
Blair Walsh,Minnesota Vikings,1,2,2,100.0%,1,1,Away,Green Bay Packers
Matt Bryant,Atlanta Falcons,1,1,1,100.0%,3,3,Away,Cleveland Browns
Mason Crosby,Green Bay Packers,1,1,1,100.0%,3,3,Home,Minnesota Vikings
Sebastian Janikowski,Oakland Raiders,1,1,1,100.0%,3,3,Away,Kansas City Chiefs
Ryan Succop,Tennessee Titans,1,1,1,100.0%,3,3,Home,Philadelphia Eagles
Greg Zuerlein,St. Louis Rams,1,1,2,50.0%,3,3,Home,San Diego Chargers
Phil Dawson,San Francisco 49ers,1,1,1,100.0%,2,2,Away,Washington Redskins
Josh Brown,New York Giants,1,0,0,0.0%,4,4,Away,Dallas Cowboys
Caleb Sturgis,Miami Dolphins,1,0,0,0.0%,4,4,Home,Denver Broncos
Chandler Catanzaro,Arizona Cardinals,1,1,2,50.0%,0,0,Home,Seattle Seahawks
Nick Folk,New York Jets,1,1,1,100.0%,0,0,Home,Buffalo Bills
Robbie Gould,Chicago Bears,1,0,1,0.0%,3,3,Away,Tampa Bay Buccaneers
Josh Scobee,Jacksonville Jaguars,1,1,1,100.0%,0,0,Home,Indianapolis Colts
