Player,Team,G,FGM,FGA,FG%,EPM,EPA,Home or Away,Opponent
Mike Nugent,Cincinnati Bengals,1,5,6,83.3%,0,0,Home,Baltimore Ravens
Caleb Sturgis,Miami Dolphins,1,4,4,100.0%,3,3,Away,New England Patriots
Ryan Succop,Tennessee Titans,1,4,4,100.0%,2,2,Home,Kansas City Chiefs
Matt Bryant,Atlanta Falcons,1,3,3,100.0%,4,4,Away,New Orleans Saints
Shaun Suisham,Pittsburgh Steelers,1,3,3,100.0%,3,3,Away,Cleveland Browns
Dan Carpenter,Buffalo Bills,1,3,3,100.0%,2,2,Home,Chicago Bears
Shayne Graham,New Orleans Saints,1,2,2,100.0%,4,4,Home,Atlanta Falcons
Steve Hauschka,Seattle Seahawks,1,2,2,100.0%,4,4,Away,Green Bay Packers
Cody Parkey,Philadelphia Eagles,1,2,2,100.0%,4,4,Away,Jacksonville Jaguars
Blair Walsh,Minnesota Vikings,1,2,2,100.0%,4,4,Home,St. Louis Rams
Billy Cundiff,Cleveland Browns,1,2,2,100.0%,3,3,Home,Pittsburgh Steelers
Nate Freese,Detroit Lions,1,2,3,66.7%,3,3,Away,New York Giants
Graham Gano,Carolina Panthers,1,2,3,66.7%,2,2,Home,Tampa Bay Buccaneers
Stephen Gostkowski,New England Patriots,1,2,2,100.0%,2,2,Home,Miami Dolphins
Robbie Gould,Chicago Bears,1,2,2,100.0%,2,2,Away,Buffalo Bills
Nick Folk,New York Jets,1,2,2,100.0%,1,1,Away,Oakland Raiders
Brandon McManus,Denver Broncos,1,1,1,100.0%,4,4,Away,Indianapolis Colts
Chandler Catanzaro,Arizona Cardinals,1,2,2,100.0%,0,0,Away,San Diego Chargers
Adam Vinatieri,Indianapolis Colts,1,1,1,100.0%,3,3,Home,Denver Broncos
Greg Zuerlein,St. Louis Rams,1,2,3,66.7%,0,0,Away,Minnesota Vikings
Dan Bailey,Dallas Cowboys,1,1,1,100.0%,2,2,Away,San Francisco 49ers
Randy Bullock,Houston Texans,1,1,1,100.0%,2,2,Away,Washington Redskins
Nick Novak,San Diego Chargers,1,1,1,100.0%,2,2,Home,Arizona Cardinals
Josh Scobee,Jacksonville Jaguars,1,1,3,33.3%,2,2,Home,Philadelphia Eagles
Mason Crosby,Green Bay Packers,1,1,1,100.0%,1,1,Home,Seattle Seahawks
Phil Dawson,San Francisco 49ers,1,0,1,0.0%,4,4,Home,Dallas Cowboys
Cairo Santos,Kansas City Chiefs,1,1,2,50.0%,1,1,Away,Tennessee Titans
Justin Tucker,Baltimore Ravens,1,1,2,50.0%,1,1,Away,Cincinnati Bengals
Josh Brown,New York Giants,1,0,0,0.0%,2,2,Home,Detroit Lions
Sebastian Janikowski,Oakland Raiders,1,0,0,0.0%,2,2,Home,New York Jets
Patrick Murray,Tampa Bay Buccaneers,1,0,0,0.0%,2,2,Away,Carolina Panthers
Kai Forbath,Washington Redskins,1,0,0,0.0%,0,1,Home,Houston Texans
