Player,Team,G,FGM,FGA,FG%,EPM,EPA,Home or Away,Opponent
Nick Novak,San Diego Chargers,1,4,4,100.0%,3,3,Away,Jacksonville Jaguars
Blair Walsh,Minnesota Vikings,1,4,5,80.0%,3,3,Away,Atlanta Falcons
Phil Dawson,San Francisco 49ers,1,4,4,100.0%,2,2,Away,Philadelphia Eagles
Randy Bullock,Houston Texans,1,3,3,100.0%,2,2,Away,Buffalo Bills
Cairo Santos,Kansas City Chiefs,1,2,2,100.0%,5,5,Away,New England Patriots
Adam Vinatieri,Indianapolis Colts,1,2,2,100.0%,5,5,Away,Tennessee Titans
Josh Brown,New York Giants,1,1,1,100.0%,6,6,Home,Washington Redskins
Patrick Murray,Tampa Bay Buccaneers,1,2,2,100.0%,3,3,Home,Pittsburgh Steelers
Dan Bailey,Dallas Cowboys,1,1,1,100.0%,5,5,Away,New Orleans Saints
Mason Crosby,Green Bay Packers,1,1,2,50.0%,5,5,Home,Chicago Bears
Caleb Sturgis,Miami Dolphins,1,1,1,100.0%,5,5,Home,Oakland Raiders
Justin Tucker,Baltimore Ravens,1,1,2,50.0%,5,5,Away,Carolina Panthers
Alex Henery,Detroit Lions,1,1,2,50.0%,3,3,Home,New York Jets
Shaun Suisham,Pittsburgh Steelers,1,1,2,50.0%,3,3,Away,Tampa Bay Buccaneers
Dan Carpenter,Buffalo Bills,1,1,1,100.0%,2,2,Home,Houston Texans
Nick Folk,New York Jets,1,1,1,100.0%,2,2,Away,Detroit Lions
Robbie Gould,Chicago Bears,1,1,1,100.0%,2,2,Away,Green Bay Packers
Shayne Graham,New Orleans Saints,1,1,2,50.0%,2,2,Home,Dallas Cowboys
Ryan Succop,Tennessee Titans,1,1,1,100.0%,2,2,Home,Indianapolis Colts
Matt Bryant,Atlanta Falcons,1,0,0,0.0%,4,4,Home,Minnesota Vikings
Graham Gano,Carolina Panthers,1,1,1,100.0%,1,1,Home,Baltimore Ravens
Cody Parkey,Philadelphia Eagles,1,0,0,0.0%,3,3,Home,San Francisco 49ers
Kai Forbath,Washington Redskins,1,0,0,0.0%,2,2,Away,New York Giants
Stephen Gostkowski,New England Patriots,1,0,0,0.0%,2,2,Home,Kansas City Chiefs
Sebastian Janikowski,Oakland Raiders,1,0,0,0.0%,2,2,Away,Miami Dolphins
Josh Scobee,Jacksonville Jaguars,1,0,0,0.0%,2,2,Home,San Diego Chargers
