Player,Team,G,FGM,FGA,FG%,EPM,EPA,Home or Away,Opponent
Randy Bullock,Houston Texans,1,6,6,100.0%,1,1,Away,Baltimore Ravens
Sebastian Janikowski,Oakland Raiders,1,4,5,80.0%,2,2,Away,Buffalo Bills
Josh Brown,New York Giants,1,3,4,75.0%,4,4,Home,St. Louis Rams
Mike Nugent,Cincinnati Bengals,1,3,3,100.0%,4,4,Away,Denver Broncos
Matt Bryant,Atlanta Falcons,1,3,3,100.0%,3,3,Home,New Orleans Saints
Cairo Santos,Kansas City Chiefs,1,4,4,100.0%,0,0,Home,Pittsburgh Steelers
Nick Folk,New York Jets,1,3,4,75.0%,1,1,Away,New England Patriots
Kai Forbath,Washington Redskins,1,2,2,100.0%,3,3,Away,Philadelphia Eagles
Blair Walsh,Minnesota Vikings,1,2,2,100.0%,3,3,Home,Miami Dolphins
Greg Zuerlein,St. Louis Rams,1,2,2,100.0%,3,3,Away,New York Giants
Mason Crosby,Green Bay Packers,1,2,3,66.7%,2,2,Home,Tampa Bay Buccaneers
Nick Novak,San Diego Chargers,1,1,1,100.0%,5,5,Home,San Francisco 49ers
Matt Prater,Detroit Lions,1,2,3,66.7%,2,2,Home,Chicago Bears
Shaun Suisham,Pittsburgh Steelers,1,2,2,100.0%,2,2,Away,Kansas City Chiefs
Garrett Hartley,Cleveland Browns,1,2,2,100.0%,1,1,Home,Carolina Panthers
Ryan Succop,Tennessee Titans,1,2,2,100.0%,1,1,Home,Jacksonville Jaguars
Dan Bailey,Dallas Cowboys,1,0,1,0.0%,6,6,Away,Indianapolis Colts
Dan Carpenter,Buffalo Bills,1,1,1,100.0%,3,3,Home,Oakland Raiders
Chandler Catanzaro,Arizona Cardinals,1,2,2,100.0%,0,0,Away,Seattle Seahawks
Cody Parkey,Philadelphia Eagles,1,1,3,33.3%,3,3,Home,Washington Redskins
Phil Dawson,San Francisco 49ers,1,0,1,0.0%,5,5,Away,San Diego Chargers
Graham Gano,Carolina Panthers,1,1,2,50.0%,2,2,Away,Cleveland Browns
Stephen Gostkowski,New England Patriots,1,1,1,100.0%,2,2,Home,New York Jets
Steve Hauschka,Seattle Seahawks,1,0,3,0.0%,5,5,Home,Arizona Cardinals
Caleb Sturgis,Miami Dolphins,1,0,1,0.0%,5,5,Away,Minnesota Vikings
Connor Barth,Denver Broncos,1,0,1,0.0%,4,4,Home,Cincinnati Bengals
Patrick Murray,Tampa Bay Buccaneers,1,1,1,100.0%,0,0,Away,Green Bay Packers
Josh Scobee,Jacksonville Jaguars,1,0,0,0.0%,3,3,Away,Tennessee Titans
Jay Feely,Chicago Bears,1,0,0,0.0%,2,2,Away,Detroit Lions
Shayne Graham,New Orleans Saints,1,0,0,0.0%,2,2,Away,Atlanta Falcons
Justin Tucker,Baltimore Ravens,1,0,0,0.0%,1,1,Home,Houston Texans
Adam Vinatieri,Indianapolis Colts,1,0,0,0.0%,1,1,Home,Dallas Cowboys
