Player,Team,G,FGM,FGA,FG%,EPM,EPA,Home or Away,Opponent
Adam Vinatieri,Indianapolis Colts,1,4,4,100.0%,4,4,Home,New York Giants
Stephen Gostkowski,New England Patriots,1,3,3,100.0%,4,4,Away,Denver Broncos
Caleb Sturgis,Miami Dolphins,1,3,4,75.0%,4,4,Away,San Diego Chargers
Steve Hauschka,Seattle Seahawks,1,3,4,75.0%,3,3,Away,Oakland Raiders
Billy Cundiff,Cleveland Browns,1,3,3,100.0%,1,1,Away,Tampa Bay Buccaneers
Kai Forbath,Washington Redskins,1,2,2,100.0%,2,2,Home,Minnesota Vikings
Mike Nugent,Cincinnati Bengals,1,1,1,100.0%,4,4,Away,Jacksonville Jaguars
Cody Parkey,Philadelphia Eagles,1,1,1,100.0%,4,4,Home,Houston Texans
Greg Zuerlein,St. Louis Rams,1,2,2,100.0%,1,1,Home,San Francisco 49ers
Josh Brown,New York Giants,1,1,1,100.0%,3,3,Away,Indianapolis Colts
Sebastian Janikowski,Oakland Raiders,1,1,2,50.0%,3,3,Home,Seattle Seahawks
Cairo Santos,Kansas City Chiefs,1,1,1,100.0%,3,3,Away,New York Jets
Dan Bailey,Dallas Cowboys,1,1,2,50.0%,2,2,Away,Arizona Cardinals
Patrick Murray,Tampa Bay Buccaneers,1,1,3,33.3%,2,2,Home,Cleveland Browns
Josh Scobee,Jacksonville Jaguars,1,1,1,100.0%,2,2,Home,Cincinnati Bengals
Shaun Suisham,Pittsburgh Steelers,1,0,0,0.0%,5,5,Away,Baltimore Ravens
Justin Tucker,Baltimore Ravens,1,1,1,100.0%,2,2,Home,Pittsburgh Steelers
Chandler Catanzaro,Arizona Cardinals,1,0,0,0.0%,4,4,Home,Dallas Cowboys
Phil Dawson,San Francisco 49ers,1,1,2,50.0%,1,1,Away,St. Louis Rams
Nick Folk,New York Jets,1,1,1,100.0%,1,1,Home,Kansas City Chiefs
Graham Gano,Carolina Panthers,1,1,1,100.0%,1,1,Away,New Orleans Saints
Shayne Graham,New Orleans Saints,1,0,0,0.0%,4,4,Home,Carolina Panthers
Randy Bullock,Houston Texans,1,0,1,0.0%,3,3,Away,Philadelphia Eagles
Brandon McManus,Denver Broncos,1,0,1,0.0%,3,3,Home,New England Patriots
Blair Walsh,Minnesota Vikings,1,0,0,0.0%,3,3,Away,Washington Redskins
