Player,Team,G,PassingComp,PassingAtt,PassingYard,PassingTD,PassingINT,RushingAtt,RushingYard,RushingTD,Home or Away,Opponent,Week
Aaron Rodgers,Green Bay Packers,1,18,27,315,6,0,0,0,0,Away,Chicago Bears,10
Peyton Manning,Denver Broncos,1,31,44,340,5,2,0,0,0,Home,Oakland Raiders,10
Drew Brees,New Orleans Saints,1,28,47,292,3,2,2,7,0,Away,San Francisco 49ers,10
Josh McCown,Tampa Bay Buccaneers,1,27,43,301,2,2,5,39,0,Away,Atlanta Falcons,10
Russell Wilson,Seattle Seahawks,1,10,17,172,0,2,14,107,1,Away,New York Giants,10
Mark Sanchez,Philadelphia Eagles,1,20,37,332,2,0,2,-1,0,Away,Carolina Panthers,10
Tony Romo,Dallas Cowboys,1,20,27,246,3,0,0,0,0,Home,Jacksonville Jaguars,10
Cam Newton,Carolina Panthers,1,25,40,306,2,3,2,6,0,Home,Philadelphia Eagles,10
Matthew Stafford,Detroit Lions,1,25,40,280,2,1,2,-1,0,Away,Miami Dolphins,10
Ben Roethlisberger,Pittsburgh Steelers,1,30,43,343,1,2,1,0,0,Home,New York Jets,10
Michael Vick,New York Jets,1,10,18,132,2,0,8,39,0,Away,Pittsburgh Steelers,10
Eli Manning,New York Giants,1,29,44,283,1,1,0,0,0,Home,Seattle Seahawks,10
Derek Carr,Oakland Raiders,1,30,47,192,2,2,0,0,0,Away,Denver Broncos,10
Jay Cutler,Chicago Bears,1,22,37,272,1,2,2,0,0,Home,Green Bay Packers,10
Alex Smith,Kansas City Chiefs,1,17,29,177,0,0,4,25,1,Home,Buffalo Bills,10
Kyle Orton,Buffalo Bills,1,29,48,259,1,0,2,3,0,Away,Kansas City Chiefs,10
Colin Kaepernick,San Francisco 49ers,1,14,32,210,1,0,4,24,0,Home,New Orleans Saints,10
Matt Ryan,Atlanta Falcons,1,20,31,219,1,0,3,9,0,Home,Tampa Bay Buccaneers,10
Blake Bortles,Jacksonville Jaguars,1,22,37,290,0,1,3,3,0,Away,Dallas Cowboys,10
Austin Davis,St. Louis Rams,1,17,30,216,1,2,3,0,0,Home,Arizona Cardinals,10
Ryan Tannehill,Miami Dolphins,1,27,38,207,1,1,2,0,0,Home,Detroit Lions,10
Zach Mettenberger,Tennessee Titans,1,16,27,179,1,1,0,0,0,Home,Baltimore Ravens,10
Joe Flacco,Baltimore Ravens,1,16,27,169,1,0,3,-2,0,Away,Tennessee Titans,10
Carson Palmer,Arizona Cardinals,1,25,36,241,0,1,1,1,0,Away,St. Louis Rams,10
Brian Hoyer,Cleveland Browns,1,15,23,198,0,0,4,1,0,Home,Cincinnati Bengals,10
Drew Stanton,Arizona Cardinals,1,3,5,85,1,0,2,3,0,Away,St. Louis Rams,10
Andy Dalton,Cincinnati Bengals,1,10,33,86,0,3,3,8,0,Away,Cleveland Browns,10
Brock Osweiler,Denver Broncos,1,2,5,13,0,0,3,2,0,Home,Oakland Raiders,10
Jimmy Clausen,Chicago Bears,1,1,3,11,0,0,0,0,0,Home,Green Bay Packers,10
Jason Campbell,Cincinnati Bengals,1,3,6,7,0,0,0,0,0,Away,Cleveland Browns,10
Matt Flynn,Green Bay Packers,1,1,5,4,0,0,0,0,0,Away,Chicago Bears,10
Brandon Weeden,Dallas Cowboys,1,1,1,8,0,0,3,-3,0,Home,Jacksonville Jaguars,10
Matt Barkley,Philadelphia Eagles,1,0,1,0,0,0,3,0,0,Away,Carolina Panthers,10
