Player,Team,G,FGM,FGA,FG%,EPM,EPA,Home or Away,Opponent
Graham Gano,Carolina Panthers,1,3,4,75.0%,4,4,Home,Cincinnati Bengals
Stephen Gostkowski,New England Patriots,1,3,4,75.0%,4,4,Home,Buffalo Bills
Mike Nugent,Cincinnati Bengals,1,3,4,75.0%,4,4,Away,Carolina Panthers
Dan Bailey,Dallas Cowboys,1,3,3,100.0%,3,3,Home,Seattle Seahawks
Chandler Catanzaro,Arizona Cardinals,1,3,3,100.0%,3,3,Away,Washington Redskins
Justin Tucker,Baltimore Ravens,1,2,3,66.7%,6,6,Home,Tampa Bay Buccaneers
Steve Hauschka,Seattle Seahawks,1,3,3,100.0%,2,2,Away,Dallas Cowboys
Ryan Succop,Tennessee Titans,1,3,3,100.0%,1,1,Away,Jacksonville Jaguars
Mason Crosby,Green Bay Packers,1,2,2,100.0%,3,3,Home,Miami Dolphins
Cody Parkey,Philadelphia Eagles,1,2,2,100.0%,3,3,Away,New York Giants
Adam Vinatieri,Indianapolis Colts,1,2,2,100.0%,3,3,Home,Houston Texans
Kai Forbath,Washington Redskins,1,2,2,100.0%,2,2,Home,Arizona Cardinals
Robbie Gould,Chicago Bears,1,2,2,100.0%,2,3,Home,Atlanta Falcons
Matt Bryant,Atlanta Falcons,1,2,2,100.0%,1,1,Away,Chicago Bears
Billy Cundiff,Cleveland Browns,1,1,1,100.0%,4,4,Away,Pittsburgh Steelers
Phil Dawson,San Francisco 49ers,1,1,1,100.0%,4,4,Home,St. Louis Rams
Brandon McManus,Denver Broncos,1,1,1,100.0%,4,4,Home,New York Jets
Nick Novak,San Diego Chargers,1,1,1,100.0%,4,4,Home,Oakland Raiders
Caleb Sturgis,Miami Dolphins,1,1,1,100.0%,3,3,Away,Green Bay Packers
Nick Folk,New York Jets,1,1,1,100.0%,2,2,Away,Denver Broncos
Patrick Murray,Tampa Bay Buccaneers,1,1,2,50.0%,2,2,Away,Baltimore Ravens
Matt Prater,Detroit Lions,1,1,3,33.3%,2,2,Home,Minnesota Vikings
Greg Zuerlein,St. Louis Rams,1,1,1,100.0%,2,2,Away,San Francisco 49ers
Randy Bullock,Houston Texans,1,0,1,0.0%,4,4,Away,Indianapolis Colts
Sebastian Janikowski,Oakland Raiders,1,0,1,0.0%,4,4,Away,San Diego Chargers
Shaun Suisham,Pittsburgh Steelers,1,1,1,100.0%,1,1,Home,Cleveland Browns
Blair Walsh,Minnesota Vikings,1,1,1,100.0%,0,0,Away,Detroit Lions
Dan Carpenter,Buffalo Bills,1,0,0,0.0%,2,2,Away,New England Patriots
Josh Scobee,Jacksonville Jaguars,1,0,1,0.0%,2,2,Home,Tennessee Titans
