Player,Team,G,FGM,FGA,FG%,EPM,EPA,Home or Away,Opponent
Stephen Gostkowski,New England Patriots,1,3,3,100.0%,6,6,Away,Chicago Bears
Shayne Graham,New Orleans Saints,1,3,3,100.0%,5,5,Away,Green Bay Packers
Dan Carpenter,Buffalo Bills,1,3,3,100.0%,4,5,Home,New York Jets
Randy Bullock,Houston Texans,1,3,3,100.0%,3,3,Home,Tennessee Titans
Mason Crosby,Green Bay Packers,1,3,3,100.0%,2,2,Home,New Orleans Saints
Billy Cundiff,Cleveland Browns,1,3,3,100.0%,2,2,Away,Oakland Raiders
Matt Prater,Detroit Lions,1,3,3,100.0%,1,1,Home,Atlanta Falcons
Cairo Santos,Kansas City Chiefs,1,2,2,100.0%,4,4,Away,St. Louis Rams
Justin Tucker,Baltimore Ravens,1,3,3,100.0%,1,1,Home,Cincinnati Bengals
Adam Vinatieri,Indianapolis Colts,1,2,2,100.0%,4,4,Home,Pittsburgh Steelers
Graham Gano,Carolina Panthers,1,3,3,100.0%,0,0,Away,Seattle Seahawks
Mike Nugent,Cincinnati Bengals,1,2,2,100.0%,3,3,Away,Baltimore Ravens
Caleb Sturgis,Miami Dolphins,1,2,2,100.0%,3,3,Home,Jacksonville Jaguars
Kai Forbath,Washington Redskins,1,2,2,100.0%,2,2,Home,Dallas Cowboys
Cody Parkey,Philadelphia Eagles,1,2,2,100.0%,2,2,Home,Arizona Cardinals
Steve Hauschka,Seattle Seahawks,1,2,2,100.0%,1,1,Home,Carolina Panthers
Sebastian Janikowski,Oakland Raiders,1,2,2,100.0%,1,1,Home,Cleveland Browns
Patrick Murray,Tampa Bay Buccaneers,1,2,2,100.0%,1,1,Away,Minnesota Vikings
Josh Scobee,Jacksonville Jaguars,1,2,3,66.7%,1,1,Away,Miami Dolphins
Shaun Suisham,Pittsburgh Steelers,1,0,0,0.0%,7,7,Away,Indianapolis Colts
Blair Walsh,Minnesota Vikings,1,2,3,66.7%,1,1,Home,Tampa Bay Buccaneers
Chandler Catanzaro,Arizona Cardinals,1,1,1,100.0%,3,3,Away,Philadelphia Eagles
Dan Bailey,Dallas Cowboys,1,1,1,100.0%,2,2,Away,Washington Redskins
Nick Folk,New York Jets,1,1,1,100.0%,2,2,Away,Buffalo Bills
Brandon McManus,Denver Broncos,1,0,1,0.0%,5,5,Away,San Diego Chargers
Ryan Succop,Tennessee Titans,1,1,1,100.0%,1,1,Away,Houston Texans
Matt Bryant,Atlanta Falcons,1,0,0,0.0%,3,3,Away,Detroit Lions
Nick Novak,San Diego Chargers,1,0,0,0.0%,3,3,Home,Denver Broncos
Robbie Gould,Chicago Bears,1,0,0,0.0%,1,1,Home,New England Patriots
Greg Zuerlein,St. Louis Rams,1,0,1,0.0%,1,1,Home,Kansas City Chiefs
