Player,Team,G,RushingAtt,RushingYard,RushingTD,ReceivingTarget,ReceivingRec,ReceivingYard,ReceivingTD,Home or Away,Opponent,Week
Darren Sproles,Philadelphia Eagles,1,4,26,1,7,7,152,0,Home,Indianapolis Colts,2
DeMarco Murray,Dallas Cowboys,1,29,167,1,2,1,6,0,Home,Tennessee Titans,2
Giovani Bernard,Cincinnati Bengals,1,27,90,1,6,5,79,0,Away,Atlanta Falcons,2
Knile Davis,Kansas City Chiefs,1,22,79,2,9,6,26,0,Home,Denver Broncos,2
Ahmad Bradshaw,Indianapolis Colts,1,13,70,0,5,5,26,2,Away,Philadelphia Eagles,2
Arian Foster,Houston Texans,1,28,138,1,3,2,12,0,Home,Oakland Raiders,2
Alfred Morris,Washington Redskins,1,22,85,2,0,0,0,0,Away,Jacksonville Jaguars,2
Bobby Rainey,Tampa Bay Buccaneers,1,22,144,0,3,3,30,0,Away,St. Louis Rams,2
Mark Ingram,New Orleans Saints,1,11,83,1,4,3,21,0,Home,Cleveland Browns,2
LeSean McCoy,Philadelphia Eagles,1,20,79,1,5,4,23,0,Home,Indianapolis Colts,2
Stevan Ridley,New England Patriots,1,25,101,1,0,0,0,0,Home,Minnesota Vikings,2
Jeremy Hill,Cincinnati Bengals,1,15,74,1,2,2,22,0,Away,Atlanta Falcons,2
Terrance West,Cleveland Browns,1,19,68,1,2,2,22,0,Away,New Orleans Saints,2
Matt Asiata,Minnesota Vikings,1,13,36,0,7,5,48,1,Away,New England Patriots,2
Frank Gore,San Francisco 49ers,1,13,63,1,2,2,12,0,Away,Chicago Bears,2
Zac Stacy,St. Louis Rams,1,19,71,1,0,0,0,0,Home,Tampa Bay Buccaneers,2
Darren McFadden,Oakland Raiders,1,12,37,1,3,2,31,0,Away,Houston Texans,2
Marshawn Lynch,Seattle Seahawks,1,6,36,0,4,4,27,1,Home,San Diego Chargers,2
Jonathan Stewart,Carolina Panthers,1,15,37,1,1,1,22,0,Away,Detroit Lions,2
Rashad Jennings,New York Giants,1,18,64,0,4,4,45,0,Away,Arizona Cardinals,2
Le'Veon Bell,Pittsburgh Steelers,1,11,59,0,5,5,48,0,Home,Baltimore Ravens,2
Chris Ivory,New York Jets,1,13,43,1,1,1,3,0,Home,Green Bay Packers,2
Bernard Pierce,Baltimore Ravens,1,22,96,0,2,1,7,0,Away,Pittsburgh Steelers,2
Robert Turbin,Seattle Seahawks,1,2,7,0,2,2,35,1,Home,San Diego Chargers,2
Andre Ellington,Arizona Cardinals,1,15,91,0,3,1,10,0,Home,New York Giants,2
Silas Redd,Washington Redskins,1,8,41,1,0,0,0,0,Away,Jacksonville Jaguars,2
Joique Bell,Detroit Lions,1,10,36,0,11,6,61,0,Home,Carolina Panthers,2
Trent Richardson,Indianapolis Colts,1,21,79,0,1,1,16,0,Away,Philadelphia Eagles,2
Jonathan Dwyer,Arizona Cardinals,1,9,31,1,0,0,0,0,Home,New York Giants,2
Montee Ball,Denver Broncos,1,12,60,0,3,3,29,0,Away,Kansas City Chiefs,2
Darrel Young,Washington Redskins,1,0,0,0,2,2,27,1,Away,Jacksonville Jaguars,2
