Player,Team,G,FGM,FGA,FG%,EPM,EPA,Home or Away,Opponent
Connor Barth,Denver Broncos,1,4,4,100.0%,5,5,Away,Oakland Raiders
Dan Bailey,Dallas Cowboys,1,3,3,100.0%,5,5,Home,Washington Redskins
Josh Brown,New York Giants,1,4,4,100.0%,2,2,Away,Philadelphia Eagles
Nick Folk,New York Jets,1,3,4,75.0%,4,4,Home,Miami Dolphins
Cairo Santos,Kansas City Chiefs,1,4,5,80.0%,1,1,Away,San Diego Chargers
Graham Gano,Carolina Panthers,1,2,2,100.0%,4,4,Home,Atlanta Falcons
Cody Parkey,Philadelphia Eagles,1,2,2,100.0%,4,4,Home,New York Giants
Jay Feely,Chicago Bears,1,3,4,75.0%,0,0,Home,Minnesota Vikings
Stephen Gostkowski,New England Patriots,1,3,3,100.0%,0,0,Away,Buffalo Bills
Shaun Suisham,Pittsburgh Steelers,1,2,2,100.0%,3,3,Away,Cincinnati Bengals
Adam Vinatieri,Indianapolis Colts,1,2,3,66.7%,3,3,Home,Tennessee Titans
Phil Dawson,San Francisco 49ers,1,2,2,100.0%,2,2,Away,Arizona Cardinals
Steve Hauschka,Seattle Seahawks,1,2,2,100.0%,2,2,Away,St. Louis Rams
Patrick Murray,Tampa Bay Buccaneers,1,2,2,100.0%,2,2,Away,New Orleans Saints
Justin Tucker,Baltimore Ravens,1,2,2,100.0%,2,2,Away,Cleveland Browns
Blair Walsh,Minnesota Vikings,1,2,2,100.0%,1,1,Away,Chicago Bears
Caleb Sturgis,Miami Dolphins,1,1,2,50.0%,3,3,Away,New York Jets
Greg Zuerlein,St. Louis Rams,1,2,2,100.0%,0,0,Home,Seattle Seahawks
Dan Carpenter,Buffalo Bills,1,1,1,100.0%,2,2,Home,New England Patriots
Chandler Catanzaro,Arizona Cardinals,1,1,1,100.0%,2,2,Home,San Francisco 49ers
Kai Forbath,Washington Redskins,1,1,1,100.0%,2,2,Away,Dallas Cowboys
Mike Nugent,Cincinnati Bengals,1,1,2,50.0%,2,2,Home,Pittsburgh Steelers
Josh Scobee,Jacksonville Jaguars,1,1,2,50.0%,2,2,Home,Houston Texans
Mason Crosby,Green Bay Packers,1,0,1,0.0%,4,4,Away,Detroit Lions
Garrett Hartley,Cleveland Browns,1,1,1,100.0%,1,1,Home,Baltimore Ravens
Ryan Succop,Tennessee Titans,1,1,1,100.0%,1,1,Away,Indianapolis Colts
Matt Bryant,Atlanta Falcons,1,1,1,100.0%,0,0,Away,Carolina Panthers
Randy Bullock,Houston Texans,1,0,0,0.0%,3,3,Away,Jacksonville Jaguars
Shayne Graham,New Orleans Saints,1,0,0,0.0%,3,3,Home,Tampa Bay Buccaneers
Sebastian Janikowski,Oakland Raiders,1,0,0,0.0%,2,2,Home,Denver Broncos
Matt Prater,Detroit Lions,1,0,0,0.0%,2,2,Home,Green Bay Packers
Nick Novak,San Diego Chargers,1,0,1,0.0%,1,1,Home,Kansas City Chiefs
