Player,Team,G,Tackle,Assist,Sack,PD,INT,FF,FR,Home or Away,Opponent
Robert Mathis,Indianapolis Colts,1,3,3,2.0,1,0,1,0,Away,Seattle Seahawks
Calais Campbell,Arizona Cardinals,1,4,0,2.0,0,0,1,0,Away,Carolina Panthers
Wallace Gilberry,Cincinnati Bengals,1,3,1,2.0,0,0,1,0,Away,New England Patriots
Chris Long,St. Louis Rams,1,5,0,1.0,0,0,1,1,Away,Jacksonville Jaguars
Sen'Derrick Marks,Jacksonville Jaguars,1,4,0,1.0,2,0,1,0,Home,St. Louis Rams
Osi Umenyiora,Atlanta Falcons,1,4,2,2.0,0,0,0,0,Away,New York Jets
Muhammad Wilkerson,New York Jets,1,5,2,1.0,0,0,1,0,Home,Atlanta Falcons
Mario Williams,Buffalo Bills,1,2,2,2.0,0,0,0,0,Home,Cleveland Browns
Dontari Poe,Kansas City Chiefs,1,6,1,1.0,0,0,0,0,Home,Tennessee Titans
Ahtyba Rubin,Cleveland Browns,1,5,3,1.0,0,0,0,0,Away,Buffalo Bills
Michael Brockers,St. Louis Rams,1,3,0,1.0,0,0,1,0,Away,Jacksonville Jaguars
Chris Clemons,Seattle Seahawks,1,2,1,1.0,0,0,1,0,Home,Indianapolis Colts
Ziggy Ansah,Detroit Lions,1,2,0,1.0,0,0,1,0,Home,Green Bay Packers
Mike Neal,Green Bay Packers,1,4,2,1.0,0,0,0,0,Away,Detroit Lions
Sheldon Richardson,New York Jets,1,3,2,1.0,1,0,0,0,Home,Atlanta Falcons
Kyle Williams,Buffalo Bills,1,2,6,1.0,0,0,0,0,Home,Cleveland Browns
Carlos Dunlap,Cincinnati Bengals,1,4,1,0.0,0,0,1,0,Away,New England Patriots
Bruce Irvin,Seattle Seahawks,1,3,1,1.0,0,0,0,0,Home,Indianapolis Colts
Ropati Pitoitua,Tennessee Titans,1,3,1,1.0,0,0,0,0,Away,Kansas City Chiefs
Geno Atkins,Cincinnati Bengals,1,1,4,1.0,0,0,0,0,Away,New England Patriots
Andre Branch,Jacksonville Jaguars,1,3,0,1.0,0,0,0,0,Home,St. Louis Rams
Nate Collins,Chicago Bears,1,2,2,1.0,0,0,0,0,Away,New Orleans Saints
Sean Lissemore,San Diego Chargers,1,2,2,1.0,0,0,0,0,Home,Oakland Raiders
Ray McDonald,San Francisco 49ers,1,3,0,1.0,0,0,0,0,Away,Houston Texans
Corey Peters,Atlanta Falcons,1,1,2,1.0,1,0,0,0,Away,New York Jets
Paul Soliai,Miami Dolphins,1,4,0,0.0,0,0,1,0,Away,Baltimore Ravens
Olivier Vernon,Miami Dolphins,1,3,0,1.0,0,0,0,0,Away,Baltimore Ravens
Tommy Kelly,New England Patriots,1,2,1,1.0,0,0,0,0,Home,Cincinnati Bengals
Jared Odrick,Miami Dolphins,1,5,1,0.0,1,0,0,0,Away,Baltimore Ravens
Armonty Bryant,Cleveland Browns,1,1,0,1.0,1,0,0,0,Away,Buffalo Bills
Kawann Short,Carolina Panthers,1,3,2,0.5,0,0,0,0,Home,Arizona Cardinals
Robert Ayers,Denver Broncos,1,1,1,1.0,0,0,0,0,Home,Dallas Cowboys
Malik Jackson,Denver Broncos,1,1,1,1.0,0,0,0,0,Home,Dallas Cowboys
Bennie Logan,Philadelphia Eagles,1,1,1,1.0,0,0,0,0,Home,New York Giants
Johnathan Hankins,New York Giants,1,5,0,0.0,0,0,0,0,Away,Philadelphia Eagles
Antonio Johnson,Tennessee Titans,1,1,0,1.0,0,0,0,0,Away,Kansas City Chiefs
Charles Johnson,Carolina Panthers,1,1,0,1.0,0,0,0,0,Home,Arizona Cardinals
Cameron Jordan,New Orleans Saints,1,3,0,0.0,0,0,0,1,Home,Chicago Bears
Shea McClellin,Chicago Bears,1,4,2,0.0,0,0,0,0,Away,New Orleans Saints
DeMarcus Ware,Dallas Cowboys,1,4,2,0.0,0,0,0,0,Away,Denver Broncos
Cullen Jenkins,New York Giants,1,2,0,0.5,0,0,0,0,Away,Philadelphia Eagles
Rob Ninkovich,New England Patriots,1,1,2,0.5,0,0,0,0,Home,Cincinnati Bengals
Cedric Thornton,Philadelphia Eagles,1,4,0,0.0,0,0,0,0,Home,New York Giants
Mario Addison,Carolina Panthers,1,1,1,0.5,0,0,0,0,Home,Arizona Cardinals
Jared Crick,Houston Texans,1,1,1,0.0,2,0,0,0,Home,San Francisco 49ers
Lavar Edwards,Tennessee Titans,1,2,1,0.0,1,0,0,0,Away,Kansas City Chiefs
Lawrence Guy,Indianapolis Colts,1,2,1,0.0,1,0,0,0,Away,Seattle Seahawks
Mathias Kiwanuka,New York Giants,1,1,1,0.5,0,0,0,0,Away,Philadelphia Eagles
Corey Liuget,San Diego Chargers,1,3,1,0.0,0,0,0,0,Home,Oakland Raiders
Ndamukong Suh,Detroit Lions,1,3,1,0.0,0,0,0,0,Home,Green Bay Packers
