Player,Team,G,FGM,FGA,FG%,EPM,EPA,Home or Away,Opponent
Alex Henery,Philadelphia Eagles,1,5,5,100.0%,3,3,Home,New York Giants
Mason Crosby,Green Bay Packers,1,5,5,100.0%,1,1,Away,Detroit Lions
Matt Prater,Denver Broncos,1,3,3,100.0%,6,6,Home,Dallas Cowboys
Garrett Hartley,New Orleans Saints,1,4,4,100.0%,2,2,Home,Chicago Bears
Steve Hauschka,Seattle Seahawks,1,4,5,80.0%,2,2,Home,Indianapolis Colts
Ryan Succop,Kansas City Chiefs,1,4,4,100.0%,2,2,Home,Tennessee Titans
Justin Tucker,Baltimore Ravens,1,4,4,100.0%,2,2,Home,Miami Dolphins
Billy Cundiff,Cleveland Browns,1,3,3,100.0%,4,4,Away,Buffalo Bills
Nick Folk,New York Jets,1,3,3,100.0%,3,3,Home,Atlanta Falcons
Caleb Sturgis,Miami Dolphins,1,3,4,75.0%,2,2,Away,Baltimore Ravens
Dan Bailey,Dallas Cowboys,1,2,2,100.0%,4,4,Away,Denver Broncos
Phil Dawson,San Francisco 49ers,1,2,2,100.0%,4,4,Away,Houston Texans
Greg Zuerlein,St. Louis Rams,1,2,2,100.0%,4,4,Away,Jacksonville Jaguars
Sebastian Janikowski,Oakland Raiders,1,2,2,100.0%,3,3,Away,San Diego Chargers
Jay Feely,Arizona Cardinals,1,2,2,100.0%,2,2,Away,Carolina Panthers
Josh Scobee,Jacksonville Jaguars,1,2,2,100.0%,2,2,Home,St. Louis Rams
Adam Vinatieri,Indianapolis Colts,1,2,2,100.0%,2,2,Away,Seattle Seahawks
Mike Nugent,Cincinnati Bengals,1,2,2,100.0%,1,1,Away,New England Patriots
Dan Carpenter,Buffalo Bills,1,1,1,100.0%,3,3,Home,Cleveland Browns
Graham Gano,Carolina Panthers,1,2,2,100.0%,0,0,Home,Arizona Cardinals
Stephen Gostkowski,New England Patriots,1,2,2,100.0%,0,0,Home,Cincinnati Bengals
Rob Bironas,Tennessee Titans,1,1,2,50.0%,2,2,Away,Kansas City Chiefs
Nick Novak,San Diego Chargers,1,1,2,50.0%,2,2,Home,Oakland Raiders
Matt Bryant,Atlanta Falcons,1,0,0,0.0%,4,4,Away,New York Jets
Robbie Gould,Chicago Bears,1,1,1,100.0%,1,1,Away,New Orleans Saints
David Akers,Detroit Lions,1,1,1,100.0%,0,0,Home,Green Bay Packers
Josh Brown,New York Giants,1,0,0,0.0%,3,3,Away,Philadelphia Eagles
Randy Bullock,Houston Texans,1,1,2,50.0%,0,0,Home,San Francisco 49ers
