Player,Team,G,FGM,FGA,FG%,EPM,EPA,Home or Away,Opponent
Josh Brown,New York Giants,1,5,5,100.0%,0,0,Home,Philadelphia Eagles
Mason Crosby,Green Bay Packers,1,3,3,100.0%,5,5,Home,Minnesota Vikings
Dan Bailey,Dallas Cowboys,1,3,3,100.0%,3,3,Home,Detroit Lions
Ryan Succop,Kansas City Chiefs,1,3,4,75.0%,2,2,Away,Cleveland Browns
Jay Feely,Arizona Cardinals,1,2,2,100.0%,3,3,Away,Atlanta Falcons
Nick Folk,New York Jets,1,3,3,100.0%,0,0,Home,Cincinnati Bengals
Stephen Gostkowski,New England Patriots,1,2,2,100.0%,3,3,Away,Miami Dolphins
Matt Prater,Denver Broncos,1,1,1,100.0%,6,6,Away,Washington Redskins
Greg Zuerlein,St. Louis Rams,1,3,4,75.0%,0,0,Away,Seattle Seahawks
David Akers,Detroit Lions,1,1,1,100.0%,4,4,Away,Dallas Cowboys
Matt Bryant,Atlanta Falcons,1,2,2,100.0%,1,1,Home,Arizona Cardinals
Graham Gano,Carolina Panthers,1,1,1,100.0%,4,4,Home,Tampa Bay Buccaneers
Rian Lindell,Tampa Bay Buccaneers,1,2,2,100.0%,1,1,Away,Carolina Panthers
Mike Nugent,Cincinnati Bengals,1,0,0,0.0%,7,7,Away,New York Jets
Blair Walsh,Minnesota Vikings,1,1,1,100.0%,4,4,Away,Green Bay Packers
Phil Dawson,San Francisco 49ers,1,0,0,0.0%,6,6,Home,Jacksonville Jaguars
Dan Carpenter,Buffalo Bills,1,1,2,50.0%,2,2,Home,New Orleans Saints
Billy Cundiff,Cleveland Browns,1,1,1,100.0%,2,2,Home,Kansas City Chiefs
Garrett Hartley,New Orleans Saints,1,0,2,0.0%,5,5,Away,Buffalo Bills
Caleb Sturgis,Miami Dolphins,1,1,3,33.3%,2,2,Home,New England Patriots
Josh Scobee,Jacksonville Jaguars,1,1,1,100.0%,1,1,Away,San Francisco 49ers
Shaun Suisham,Pittsburgh Steelers,1,1,3,33.3%,1,1,Home,Oakland Raiders
Kai Forbath,Washington Redskins,1,0,0,0.0%,3,3,Home,Denver Broncos
Sebastian Janikowski,Oakland Raiders,1,0,0,0.0%,3,3,Away,Pittsburgh Steelers
Steve Hauschka,Seattle Seahawks,1,0,0,0.0%,2,2,Home,St. Louis Rams
Alex Henery,Philadelphia Eagles,1,0,0,0.0%,1,1,Away,New York Giants
