Player,Team,G,Tackle,Assist,Sack,PD,INT,FF,FR,Home or Away,Opponent
Charles Tillman,Chicago Bears,1,5,2,0.0,2,2,0,0,Away,Cincinnati Bengals
Brandon Carr,Dallas Cowboys,1,4,0,0.0,1,1,0,0,Away,New York Giants
Tim Jennings,Chicago Bears,1,6,2,0.0,0,0,2,1,Away,Cincinnati Bengals
Dimitri Patterson,Miami Dolphins,1,2,0,0.0,3,2,0,0,Home,Cleveland Browns
Antoine Bethea,Indianapolis Colts,1,6,5,0.0,1,1,0,0,Away,Oakland Raiders
LaRon Landry,Indianapolis Colts,1,10,5,0.0,1,0,0,0,Away,Oakland Raiders
Brandon Boykin,Philadelphia Eagles,1,5,2,0.0,2,1,0,0,Home,Washington Redskins
Eric Reid,San Francisco 49ers,1,7,0,0.0,1,1,0,0,Away,Green Bay Packers
Da'Norris Searcy,Buffalo Bills,1,5,4,1.0,0,0,0,1,Away,New England Patriots
Cary Williams,Philadelphia Eagles,1,2,0,1.0,2,1,0,0,Home,Washington Redskins
Barry Church,Dallas Cowboys,1,7,1,0.0,0,0,1,1,Away,New York Giants
Charles Godfrey,Carolina Panthers,1,7,2,1.0,0,0,0,0,Away,Seattle Seahawks
Bacarri Rambo,Washington Redskins,1,6,4,1.0,0,0,0,0,Away,Philadelphia Eagles
Earl Thomas,Seattle Seahawks,1,8,2,0.0,0,0,1,0,Home,Carolina Panthers
Kyle Arrington,New England Patriots,1,4,1,0.0,1,0,2,0,Home,Buffalo Bills
Harrison Smith,Minnesota Vikings,1,7,3,0.0,1,0,0,1,Home,Detroit Lions
Brandon Flowers,Kansas City Chiefs,1,4,0,0.0,2,1,0,0,Home,Jacksonville Jaguars
Ryan Mundy,New York Giants,1,4,2,0.0,1,1,0,0,Home,Dallas Cowboys
Justin Rogers,Buffalo Bills,1,5,0,0.0,1,1,0,0,Away,New England Patriots
Eric Weddle,San Diego Chargers,1,9,2,0.0,1,0,0,0,Away,Houston Texans
Roman Harper,New Orleans Saints,1,2,1,0.0,1,1,0,1,Away,Atlanta Falcons
Ryan Clark,Pittsburgh Steelers,1,7,6,0.0,0,0,0,0,Away,Tennessee Titans
Janoris Jenkins,St. Louis Rams,1,4,0,0.0,3,0,1,0,Away,Arizona Cardinals
Trumaine Johnson,St. Louis Rams,1,3,0,0.0,2,1,0,0,Away,Arizona Cardinals
Danieal Manning,Houston Texans,1,5,0,1.0,1,0,0,0,Home,San Diego Chargers
Tyrann Mathieu,Arizona Cardinals,1,7,0,0.0,0,0,1,0,Home,St. Louis Rams
Robert McClain,Atlanta Falcons,1,8,2,0.0,1,0,0,0,Home,New Orleans Saints
Sam Shields,Green Bay Packers,1,7,2,0.0,2,0,0,0,Home,San Francisco 49ers
Jimmy Smith,Baltimore Ravens,1,6,0,0.0,1,0,1,0,Home,Denver Broncos
Greg Toler,Indianapolis Colts,1,3,0,0.0,2,1,0,0,Away,Oakland Raiders
Alterraun Verner,Tennessee Titans,1,3,0,0.0,2,1,0,0,Home,Pittsburgh Steelers
Josh Wilson,Washington Redskins,1,5,2,0.0,1,0,1,0,Away,Philadelphia Eagles
Will Allen,Dallas Cowboys,1,2,1,0.0,2,1,0,0,Away,New York Giants
Leonard Johnson,Tampa Bay Buccaneers,1,8,1,0.0,1,0,0,0,Home,New York Jets
Dawan Landry,New York Jets,1,3,1,0.0,1,1,0,0,Away,Tampa Bay Buccaneers
Leodis McKelvin,Buffalo Bills,1,5,1,0.0,4,0,0,0,Away,New England Patriots
Nolan Carroll,Miami Dolphins,1,3,0,0.0,1,1,0,0,Home,Cleveland Browns
Tashaun Gipson,Cleveland Browns,1,3,0,0.0,1,1,0,0,Away,Miami Dolphins
Steve Gregory,New England Patriots,1,7,2,0.0,1,0,0,0,Home,Buffalo Bills
Chris Harris,Denver Broncos,1,3,0,0.0,1,1,0,0,Away,Baltimore Ravens
Eric Berry,Kansas City Chiefs,1,6,1,0.5,0,0,0,0,Home,Jacksonville Jaguars
Tyvon Branch,Oakland Raiders,1,4,1,1.0,0,0,0,0,Home,Indianapolis Colts
Leon Hall,Cincinnati Bengals,1,6,1,0.0,2,0,0,0,Home,Chicago Bears
Tracy Porter,Oakland Raiders,1,4,1,1.0,0,0,0,0,Home,Indianapolis Colts
Shareece Wright,San Diego Chargers,1,7,1,0.0,1,0,0,0,Away,Houston Texans
Derek Cox,San Diego Chargers,1,7,0,0.0,1,0,0,0,Away,Houston Texans
Malcolm Jenkins,New Orleans Saints,1,4,2,0.0,0,0,1,0,Away,Atlanta Falcons
Christopher Owens,Cleveland Browns,1,8,0,0.0,0,0,0,0,Away,Miami Dolphins
Glover Quin,Detroit Lions,1,2,0,0.0,1,1,0,0,Away,Minnesota Vikings
Josh Robinson,Minnesota Vikings,1,5,0,0.0,0,0,1,0,Home,Detroit Lions
