Player,Team,G,ReceivingTarget,ReceivingRec,ReceivingYard,ReceivingTD,Home or Away,Opponent,Week
Jimmy Graham,New Orleans Saints,1,15,9,134,2,Away,Arizona Cardinals,3
Jordan Cameron,Cleveland Browns,1,11,6,66,3,Home,Minnesota Vikings,3
Scott Chandler,Buffalo Bills,1,6,5,79,1,Home,New York Jets,3
Zach Miller,Seattle Seahawks,1,3,2,5,2,Away,Jacksonville Jaguars,3
Antonio Gates,San Diego Chargers,1,7,5,55,1,Home,Tennessee Titans,3
Julius Thomas,Denver Broncos,1,4,3,37,1,Away,Oakland Raiders,3
Gavin Escobar,Dallas Cowboys,1,2,1,24,1,Away,St. Louis Rams,3
Luke Willson,Seattle Seahawks,1,5,5,76,0,Away,Jacksonville Jaguars,3
Jason Witten,Dallas Cowboys,1,6,5,67,0,Away,St. Louis Rams,3
Joseph Fauria,Detroit Lions,1,3,1,5,1,Home,Washington Redskins,3
Levine Toilolo,Atlanta Falcons,1,1,1,2,1,Home,Miami Dolphins,3
Dion Sims,Miami Dolphins,1,1,1,1,1,Away,Atlanta Falcons,3
Greg Olsen,Carolina Panthers,1,8,4,54,0,Away,New York Giants,3
David Johnson,Pittsburgh Steelers,1,3,2,51,0,Away,Chicago Bears,3
Logan Paulsen,Washington Redskins,1,6,4,51,0,Away,Detroit Lions,3
Jordan Reed,Washington Redskins,1,6,5,50,0,Away,Detroit Lions,3
Delanie Walker,Tennessee Titans,1,8,5,49,0,Away,San Diego Chargers,3
Ladarius Green,San Diego Chargers,1,2,2,48,0,Home,Tennessee Titans,3
Dallas Clark,Baltimore Ravens,1,7,4,46,0,Away,Houston Texans,3
Jared Cook,St. Louis Rams,1,7,5,44,0,Home,Dallas Cowboys,3
Charles Clay,Miami Dolphins,1,6,4,40,0,Away,Atlanta Falcons,3
Lance Kendricks,St. Louis Rams,1,5,5,36,0,Home,Dallas Cowboys,3
Heath Miller,Pittsburgh Steelers,1,4,3,35,0,Away,Chicago Bears,3
Brandon Myers,New York Giants,1,6,3,33,0,Home,Carolina Panthers,3
Kellen Davis,Seattle Seahawks,1,2,2,31,0,Away,Jacksonville Jaguars,3
Michael Hoomanawanui,New England Patriots,1,2,2,31,0,Away,Tampa Bay Buccaneers,3
Sean McGrath,Kansas City Chiefs,1,4,4,31,0,Home,Philadelphia Eagles,3
Owen Daniels,Houston Texans,1,9,5,29,0,Home,Baltimore Ravens,3
Kyle Rudolph,Minnesota Vikings,1,8,5,28,0,Away,Cleveland Browns,3
Jermaine Gresham,Cincinnati Bengals,1,5,4,27,0,Away,Green Bay Packers,3
Jeff Cumberland,New York Jets,1,3,3,26,0,Away,Buffalo Bills,3
Tony Gonzalez,Atlanta Falcons,1,5,4,24,0,Home,Miami Dolphins,3
Andrew Quarless,Green Bay Packers,1,5,3,21,0,Home,Cincinnati Bengals,3
Mychal Rivera,Oakland Raiders,1,3,2,21,0,Home,Denver Broncos,3
Brent Celek,Philadelphia Eagles,1,5,2,18,0,Away,Kansas City Chiefs,3
Ben Watson,New Orleans Saints,1,2,1,14,0,Away,Arizona Cardinals,3
Coby Fleener,Indianapolis Colts,1,2,2,13,0,Home,San Francisco 49ers,3
Robert Housler,Arizona Cardinals,1,3,1,13,0,Home,New Orleans Saints,3
Ryan Taylor,Green Bay Packers,1,3,2,11,0,Home,Cincinnati Bengals,3
Martellus Bennett,Chicago Bears,1,5,2,10,0,Home,Pittsburgh Steelers,3
Michael Egnew,Miami Dolphins,1,1,1,8,0,Away,Atlanta Falcons,3
Tyler Eifert,Cincinnati Bengals,1,2,1,7,0,Away,Green Bay Packers,3
Vance McDonald,San Francisco 49ers,1,3,1,6,0,Away,Indianapolis Colts,3
David Paulson,Pittsburgh Steelers,1,2,1,6,0,Away,Chicago Bears,3
Tim Wright,Tampa Bay Buccaneers,1,2,1,6,0,Home,New England Patriots,3
Zach Ertz,Philadelphia Eagles,1,1,1,5,0,Away,Kansas City Chiefs,3
Tony Scheffler,Detroit Lions,1,2,2,5,0,Home,Washington Redskins,3
Jacob Tamme,Denver Broncos,1,1,1,5,0,Away,Oakland Raiders,3
Nate Byham,Tampa Bay Buccaneers,1,1,1,3,0,Home,New England Patriots,3
John Carlson,Minnesota Vikings,1,2,1,3,0,Away,Cleveland Browns,3
Virgil Green,Denver Broncos,1,2,1,3,0,Away,Oakland Raiders,3
Bear Pascoe,New York Giants,1,1,1,2,0,Home,Carolina Panthers,3
Richie Brockel,Carolina Panthers,1,0,0,0,0,Away,New York Giants,3
Kevin Brock,Kansas City Chiefs,1,1,0,0,0,Home,Philadelphia Eagles,3
Jermichael Finley,Green Bay Packers,1,1,0,0,0,Home,Cincinnati Bengals,3
Steve Maneri,Chicago Bears,1,1,0,0,0,Home,Pittsburgh Steelers,3
Niles Paul,Washington Redskins,1,1,0,0,0,Away,Detroit Lions,3
Brandon Pettigrew,Detroit Lions,1,2,0,0,0,Home,Washington Redskins,3
Allen Reisner,Jacksonville Jaguars,1,1,0,0,0,Home,Seattle Seahawks,3
D.J. Williams,Jacksonville Jaguars,1,1,0,0,0,Home,Seattle Seahawks,3
