Player,Team,G,FGM,FGA,FG%,EPM,EPA,Home or Away,Opponent
Jay Feely,Arizona Cardinals,1,4,5,80.0%,4,4,Away,Indianapolis Colts
Blair Walsh,Minnesota Vikings,1,4,4,100.0%,2,2,Home,Green Bay Packers
Sebastian Janikowski,Oakland Raiders,1,4,6,66.7%,1,1,Away,Tennessee Titans
Justin Tucker,Baltimore Ravens,1,4,4,100.0%,1,1,Away,New York Jets
Rob Bironas,Tennessee Titans,1,3,3,100.0%,2,2,Home,Oakland Raiders
Nick Novak,San Diego Chargers,1,2,2,100.0%,5,5,Home,Kansas City Chiefs
Stephen Gostkowski,New England Patriots,1,2,2,100.0%,4,4,Away,Denver Broncos
Caleb Sturgis,Miami Dolphins,1,3,4,75.0%,1,1,Away,Carolina Panthers
Greg Zuerlein,St. Louis Rams,1,2,2,100.0%,4,4,Away,Chicago Bears
Phil Dawson,San Francisco 49ers,1,2,2,100.0%,3,3,Home,Washington Redskins
Shaun Suisham,Pittsburgh Steelers,1,2,2,100.0%,3,3,Home,Cleveland Browns
Mason Crosby,Green Bay Packers,1,2,2,100.0%,2,2,Away,Minnesota Vikings
Graham Gano,Carolina Panthers,1,2,3,66.7%,2,2,Home,Miami Dolphins
Ryan Succop,Kansas City Chiefs,1,1,1,100.0%,5,5,Away,San Diego Chargers
Josh Brown,New York Giants,1,2,2,100.0%,1,1,Away,Dallas Cowboys
Matt Bryant,Atlanta Falcons,1,2,3,66.7%,1,1,Away,New Orleans Saints
Matt Prater,Denver Broncos,1,1,1,100.0%,4,4,Home,New England Patriots
Josh Scobee,Jacksonville Jaguars,1,2,3,66.7%,1,1,Home,Houston Texans
Dan Bailey,Dallas Cowboys,1,1,1,100.0%,3,3,Home,New York Giants
Randy Bullock,Houston Texans,1,2,2,100.0%,0,0,Away,Jacksonville Jaguars
Kai Forbath,Washington Redskins,1,2,2,100.0%,0,0,Away,San Francisco 49ers
Rian Lindell,Tampa Bay Buccaneers,1,1,3,33.3%,3,3,Home,Detroit Lions
Garrett Hartley,New Orleans Saints,1,1,1,100.0%,2,2,Home,Atlanta Falcons
David Akers,Detroit Lions,1,0,0,0.0%,3,3,Away,Tampa Bay Buccaneers
Billy Cundiff,Cleveland Browns,1,1,2,50.0%,0,0,Away,Pittsburgh Steelers
Nick Folk,New York Jets,1,1,1,100.0%,0,0,Home,Baltimore Ravens
Robbie Gould,Chicago Bears,1,0,0,0.0%,3,3,Home,St. Louis Rams
Adam Vinatieri,Indianapolis Colts,1,1,1,100.0%,0,0,Home,Arizona Cardinals
