Player,Team,G,FGM,FGA,FG%,EPM,EPA,Home or Away,Opponent
Nick Novak,San Diego Chargers,1,4,4,100.0%,2,2,Away,Oakland Raiders
Dan Carpenter,Buffalo Bills,1,4,4,100.0%,1,1,Away,Miami Dolphins
Matt Prater,Denver Broncos,1,3,3,100.0%,4,4,Home,Houston Texans
Josh Brown,New York Giants,1,3,3,100.0%,2,2,Home,Detroit Lions
Kai Forbath,Washington Redskins,1,3,3,100.0%,2,2,Away,Dallas Cowboys
Stephen Gostkowski,New England Patriots,1,2,2,100.0%,5,5,Home,Baltimore Ravens
Adam Vinatieri,Indianapolis Colts,1,3,4,75.0%,2,2,Home,Kansas City Chiefs
Greg Zuerlein,St. Louis Rams,1,3,3,100.0%,2,2,Away,Tampa Bay Buccaneers
Phil Dawson,San Francisco 49ers,1,2,2,100.0%,4,4,Away,Atlanta Falcons
Alex Henery,Philadelphia Eagles,1,1,1,100.0%,7,7,Away,Chicago Bears
Jay Feely,Arizona Cardinals,1,3,3,100.0%,0,0,Home,Seattle Seahawks
Rob Bironas,Tennessee Titans,1,2,2,100.0%,2,2,Home,Jacksonville Jaguars
Shaun Suisham,Pittsburgh Steelers,1,1,1,100.0%,5,5,Home,Green Bay Packers
Randy Bullock,Houston Texans,1,2,2,100.0%,1,1,Away,Denver Broncos
Mason Crosby,Green Bay Packers,1,1,1,100.0%,4,4,Away,Pittsburgh Steelers
Billy Cundiff,Cleveland Browns,1,2,2,100.0%,1,1,Home,New York Jets
Shayne Graham,New Orleans Saints,1,2,2,100.0%,1,1,Home,Carolina Panthers
Sebastian Janikowski,Oakland Raiders,1,2,2,100.0%,1,1,Home,San Diego Chargers
Rian Lindell,Tampa Bay Buccaneers,1,2,2,100.0%,1,1,Home,St. Louis Rams
Dan Bailey,Dallas Cowboys,1,1,1,100.0%,3,3,Home,Washington Redskins
Matt Bryant,Atlanta Falcons,1,1,1,100.0%,3,3,Home,San Francisco 49ers
Nick Folk,New York Jets,1,1,2,50.0%,3,3,Away,Cleveland Browns
Mike Nugent,Cincinnati Bengals,1,0,0,0.0%,6,6,Away,Minnesota Vikings
Graham Gano,Carolina Panthers,1,1,1,100.0%,2,2,Away,New Orleans Saints
David Akers,Detroit Lions,1,1,1,100.0%,1,1,Away,New York Giants
Steve Hauschka,Seattle Seahawks,1,1,2,50.0%,1,1,Away,Arizona Cardinals
Josh Scobee,Jacksonville Jaguars,1,1,1,100.0%,1,2,Away,Tennessee Titans
Robbie Gould,Chicago Bears,1,1,1,100.0%,0,0,Home,Philadelphia Eagles
Blair Walsh,Minnesota Vikings,1,0,0,0.0%,2,2,Home,Cincinnati Bengals
Ryan Succop,Kansas City Chiefs,1,0,1,0.0%,1,1,Away,Indianapolis Colts
Justin Tucker,Baltimore Ravens,1,0,1,0.0%,1,1,Away,New England Patriots
