Player,Team,G,FGM,FGA,FG%,EPM,EPA,Home or Away,Opponent
Matt Prater,Denver Broncos,1,3,3,100.0%,6,6,Away,Tennessee Titans
Phil Dawson,San Francisco 49ers,1,4,4,100.0%,1,1,Away,Seattle Seahawks
Nick Folk,New York Jets,1,3,3,100.0%,4,4,Away,Oakland Raiders
Robbie Gould,Chicago Bears,1,3,3,100.0%,4,4,Away,Dallas Cowboys
Nick Novak,San Diego Chargers,1,3,3,100.0%,4,4,Away,New York Giants
Mason Crosby,Green Bay Packers,1,3,3,100.0%,1,1,Away,Atlanta Falcons
Caleb Sturgis,Miami Dolphins,1,2,3,66.7%,4,4,Home,Pittsburgh Steelers
Sebastian Janikowski,Oakland Raiders,1,2,3,66.7%,3,3,Home,New York Jets
Rian Lindell,Tampa Bay Buccaneers,1,2,2,100.0%,3,3,Away,Buffalo Bills
Josh Scobee,Jacksonville Jaguars,1,2,2,100.0%,3,3,Away,Houston Texans
Ryan Succop,Kansas City Chiefs,1,1,2,50.0%,6,6,Home,Washington Redskins
Randy Bullock,Houston Texans,1,2,2,100.0%,2,2,Home,Jacksonville Jaguars
Billy Cundiff,Cleveland Browns,1,2,3,66.7%,2,2,Home,New England Patriots
Blair Walsh,Minnesota Vikings,1,2,2,100.0%,2,2,Home,Baltimore Ravens
Graham Gano,Carolina Panthers,1,2,3,66.7%,1,1,Home,New Orleans Saints
Stephen Gostkowski,New England Patriots,1,2,2,100.0%,1,1,Away,Cleveland Browns
Garrett Hartley,New Orleans Saints,1,1,1,100.0%,4,4,Away,Carolina Panthers
Dan Carpenter,Buffalo Bills,1,2,2,100.0%,0,0,Home,Tampa Bay Buccaneers
Mike Nugent,Cincinnati Bengals,1,0,0,0.0%,6,6,Away,Indianapolis Colts
Steve Hauschka,Seattle Seahawks,1,1,1,100.0%,2,2,Home,San Francisco 49ers
Dan Bailey,Dallas Cowboys,1,0,0,0.0%,4,4,Home,Chicago Bears
Rob Bironas,Tennessee Titans,1,0,0,0.0%,4,4,Home,Denver Broncos
Jay Feely,Arizona Cardinals,1,0,2,0.0%,4,4,Away,St. Louis Rams
Kai Forbath,Washington Redskins,1,1,1,100.0%,1,1,Away,Kansas City Chiefs
Shaun Suisham,Pittsburgh Steelers,1,0,0,0.0%,4,4,Away,Miami Dolphins
Adam Vinatieri,Indianapolis Colts,1,0,1,0.0%,4,4,Home,Cincinnati Bengals
Greg Zuerlein,St. Louis Rams,1,1,1,100.0%,1,1,Home,Arizona Cardinals
Matt Bryant,Atlanta Falcons,1,0,1,0.0%,3,3,Home,Green Bay Packers
Justin Tucker,Baltimore Ravens,1,0,0,0.0%,3,3,Away,Minnesota Vikings
Josh Brown,New York Giants,1,0,0,0.0%,2,2,Home,San Diego Chargers
David Akers,Detroit Lions,1,0,0,0.0%,0,1,Home,Philadelphia Eagles
