Player,Team,G,RushingAtt,RushingYard,RushingTD,ReceivingTarget,ReceivingRec,ReceivingYard,ReceivingTD,Home or Away,Opponent,Week
DeMarco Murray,Dallas Cowboys,1,26,175,1,3,3,28,0,Away,St. Louis Rams,3
Jamaal Charles,Kansas City Chiefs,1,20,92,1,8,7,80,0,Home,Philadelphia Eagles,3
LeSean McCoy,Philadelphia Eagles,1,20,158,1,1,0,0,0,Away,Kansas City Chiefs,3
Joique Bell,Detroit Lions,1,20,63,1,5,4,69,0,Home,Washington Redskins,3
Johnathan Franklin,Green Bay Packers,1,13,103,1,3,3,23,0,Home,Cincinnati Bengals,3
Adrian Peterson,Minnesota Vikings,1,25,88,1,6,6,27,0,Away,Cleveland Browns,3
Ahmad Bradshaw,Indianapolis Colts,1,19,95,1,4,3,16,0,Home,San Francisco 49ers,3
Matt Forte,Chicago Bears,1,16,87,1,4,4,24,0,Home,Pittsburgh Steelers,3
Jason Snelling,Atlanta Falcons,1,11,53,0,5,4,58,1,Home,Miami Dolphins,3
Giovani Bernard,Cincinnati Bengals,1,10,50,1,4,4,49,0,Away,Green Bay Packers,3
Bilal Powell,New York Jets,1,27,149,0,3,2,9,0,Away,Buffalo Bills,3
Ronnie Hillman,Denver Broncos,1,9,66,1,1,1,12,0,Away,Oakland Raiders,3
Alfred Morris,Washington Redskins,1,15,73,1,1,0,0,0,Away,Detroit Lions,3
Bernard Pierce,Baltimore Ravens,1,24,65,1,2,2,7,0,Away,Houston Texans,3
Maurice Jones-Drew,Jacksonville Jaguars,1,19,43,1,5,2,19,0,Home,Seattle Seahawks,3
DeAngelo Williams,Carolina Panthers,1,23,120,0,2,1,-3,0,Away,New York Giants,3
Fred Jackson,Buffalo Bills,1,7,72,0,5,4,37,0,Home,New York Jets,3
Doug Martin,Tampa Bay Buccaneers,1,20,88,0,6,2,20,0,Home,New England Patriots,3
Marcel Reece,Oakland Raiders,1,0,0,0,5,4,45,1,Home,Denver Broncos,3
Frank Gore,San Francisco 49ers,1,11,82,0,4,2,21,0,Away,Indianapolis Colts,3
Brandon Bolden,New England Patriots,1,3,51,0,6,5,49,0,Away,Tampa Bay Buccaneers,3
Daniel Thomas,Miami Dolphins,1,5,21,1,1,1,16,0,Away,Atlanta Falcons,3
Trent Richardson,Indianapolis Colts,1,13,35,1,3,0,0,0,Home,San Francisco 49ers,3
Alfonso Smith,Arizona Cardinals,1,3,27,1,1,1,7,0,Home,New Orleans Saints,3
Jacquizz Rodgers,Atlanta Falcons,1,18,86,0,3,2,7,0,Home,Miami Dolphins,3
Chris Johnson,Tennessee Titans,1,19,90,0,2,1,1,0,Away,San Diego Chargers,3
BenJarvus Green-Ellis,Cincinnati Bengals,1,10,29,1,0,0,0,0,Away,Green Bay Packers,3
Danny Woodhead,San Diego Chargers,1,5,31,0,8,7,55,0,Home,Tennessee Titans,3
