Player,Team,G,FGM,FGA,FG%,EPM,EPA,Home or Away,Opponent
Justin Tucker,Baltimore Ravens,1,5,5,100.0%,1,1,Away,Pittsburgh Steelers
Adam Vinatieri,Indianapolis Colts,1,5,5,100.0%,1,1,Away,Tennessee Titans
Josh Scobee,Jacksonville Jaguars,1,3,3,100.0%,3,3,Home,Cleveland Browns
Phil Dawson,San Francisco 49ers,1,3,3,100.0%,2,2,Away,St. Louis Rams
Caleb Sturgis,Miami Dolphins,1,3,4,75.0%,2,2,Home,New York Jets
Blair Walsh,Minnesota Vikings,1,3,4,75.0%,2,2,Away,Chicago Bears
Matt Bryant,Atlanta Falcons,1,2,2,100.0%,4,4,Home,Buffalo Bills
Stephen Gostkowski,New England Patriots,1,2,3,66.7%,4,4,Home,Houston Texans
Steve Hauschka,Seattle Seahawks,1,2,2,100.0%,4,4,Away,New Orleans Saints
Graham Gano,Carolina Panthers,1,2,2,100.0%,3,3,Away,Tampa Bay Buccaneers
David Akers,Detroit Lions,1,1,2,50.0%,5,5,Away,Green Bay Packers
Robbie Gould,Chicago Bears,1,2,4,50.0%,2,2,Home,Minnesota Vikings
Dan Bailey,Dallas Cowboys,1,1,1,100.0%,4,4,Away,Oakland Raiders
Randy Bullock,Houston Texans,1,1,1,100.0%,4,4,Away,New England Patriots
Dan Carpenter,Buffalo Bills,1,1,1,100.0%,4,4,Away,Atlanta Falcons
Greg Zuerlein,St. Louis Rams,1,2,2,100.0%,1,1,Home,San Francisco 49ers
Josh Brown,New York Giants,1,1,1,100.0%,3,3,Home,Washington Redskins
Alex Henery,Philadelphia Eagles,1,1,1,100.0%,3,3,Away,Arizona Cardinals
Sebastian Janikowski,Oakland Raiders,1,1,1,100.0%,3,3,Home,Dallas Cowboys
Rian Lindell,Tampa Bay Buccaneers,1,2,3,66.7%,0,0,Home,Carolina Panthers
Kai Forbath,Washington Redskins,1,1,1,100.0%,2,2,Away,New York Giants
Mike Nugent,Cincinnati Bengals,1,1,1,100.0%,2,2,Home,San Diego Chargers
Matt Prater,Denver Broncos,1,0,0,0.0%,5,5,Home,Kansas City Chiefs
Mason Crosby,Green Bay Packers,1,1,1,100.0%,1,1,Home,Detroit Lions
Billy Cundiff,Cleveland Browns,1,0,1,0.0%,4,4,Away,Jacksonville Jaguars
Nick Novak,San Diego Chargers,1,1,1,100.0%,1,1,Away,Cincinnati Bengals
Ryan Succop,Kansas City Chiefs,1,0,0,0.0%,4,4,Away,Denver Broncos
Jay Feely,Arizona Cardinals,1,0,0,0.0%,3,3,Home,Philadelphia Eagles
Nick Folk,New York Jets,1,1,1,100.0%,0,0,Away,Miami Dolphins
Rob Bironas,Tennessee Titans,1,0,0,0.0%,2,2,Home,Indianapolis Colts
Shaun Suisham,Pittsburgh Steelers,1,0,0,0.0%,2,2,Home,Baltimore Ravens
Garrett Hartley,New Orleans Saints,1,0,0,0.0%,1,1,Home,Seattle Seahawks
